"","year","admin_name","seed","access","simday","duration","coverage","net_life_lognormal_mu","net_life_lognormal_sigma","bio_mortality","indoor_net_protection","net_type_PBO","block_initial","kill_initial"
"1",2021,"Bubanza",41,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"2",2021,"Bubanza",48,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"3",2021,"Bubanza",51,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"4",2021,"Bubanza",9,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"5",2021,"Bubanza",14,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"6",2021,"Bubanza",35,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"7",2021,"Bubanza",38,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"8",2021,"Bubanza",32,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"9",2021,"Bubanza",21,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"10",2021,"Bubanza",28,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"11",2021,"Bubanza",43,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"12",2021,"Bubanza",19,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"13",2021,"Bubanza",42,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"14",2021,"Bubanza",25,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"15",2021,"Bubanza",22,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"16",2021,"Bubanza",36,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"17",2021,"Bubanza",34,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"18",2021,"Bubanza",18,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"19",2021,"Bubanza",23,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"20",2021,"Bubanza",12,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"21",2021,"Bubanza",40,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"22",2021,"Bubanza",16,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"23",2021,"Bubanza",17,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"24",2021,"Bubanza",20,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"25",2021,"Bubanza",33,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"26",2021,"Bubanza",44,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"27",2021,"Bubanza",46,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"28",2021,"Bubanza",24,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"29",2021,"Bubanza",5,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"30",2021,"Bubanza",15,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"31",2021,"Bubanza",31,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"32",2021,"Bubanza",6,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"33",2021,"Bubanza",30,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"34",2021,"Bubanza",13,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"35",2021,"Bubanza",2,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"36",2021,"Bubanza",26,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"37",2021,"Bubanza",27,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"38",2021,"Bubanza",3,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"39",2021,"Bubanza",50,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"40",2021,"Bubanza",45,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"41",2021,"Bubanza",29,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"42",2021,"Bubanza",47,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"43",2021,"Bubanza",7,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"44",2021,"Bubanza",8,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"45",2021,"Bubanza",1,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"46",2021,"Bubanza",49,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"47",2021,"Bubanza",39,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"48",2021,"Bubanza",37,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"49",2021,"Bubanza",10,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"50",2021,"Bubanza",4,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"51",2021,"Bubanza",11,0.8696819,0,-1,0.78271371,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"52",2021,"Bugarama",40,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"53",2021,"Bugarama",1,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"54",2021,"Bugarama",2,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"55",2021,"Bugarama",20,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"56",2021,"Bugarama",46,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"57",2021,"Bugarama",18,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"58",2021,"Bugarama",50,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"59",2021,"Bugarama",28,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"60",2021,"Bugarama",12,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"61",2021,"Bugarama",9,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"62",2021,"Bugarama",38,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"63",2021,"Bugarama",10,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"64",2021,"Bugarama",42,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"65",2021,"Bugarama",24,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"66",2021,"Bugarama",31,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"67",2021,"Bugarama",35,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"68",2021,"Bugarama",3,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"69",2021,"Bugarama",32,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"70",2021,"Bugarama",8,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"71",2021,"Bugarama",22,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"72",2021,"Bugarama",11,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"73",2021,"Bugarama",30,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"74",2021,"Bugarama",34,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
