"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
0,28396436.1110197,10488079.1092889,19083.4860856709,12175.0401568067,11373.8069276942,8352.7163569278,27653.3539652841,3993.15721706736,1405.50879599674,2837.42127660339,0.944555416983581,0.602615270631256,0.773585343807419,3.07704408370034,2.2597250518057,2.66838456775302,0.209339170874089,0.17455300470348,9217.78465509469,1331.05240568912
1,29414848.6901045,11314903.6936267,21047.1455003538,13427.6131171376,13263.7950696168,9330.76220015917,27926.3175750705,4031.64803246672,1455.91610176783,3097.59493029063,1.04174861999287,0.664612568689711,0.85318059434129,3.63112806582714,2.55441163880526,3.0927698523162,0.221532484284633,0.196472972609102,9308.77252502351,1343.88267748891
2,29220888.7078162,11627143.1902995,20983.844265697,13150.0615731027,12502.818398617,9102.51461445408,27761.9827371466,4009.72838993564,1446.31586672031,3187.72739883774,1.03861546477016,0.650874889251407,0.844745177010785,3.42780475991863,2.49556875321055,2.96168675656459,0.218871999603961,0.201434358011757,9253.99424571553,1336.57612997855
3,30244585.9013003,11882168.4470493,20708.7543791769,13372.5756892888,14556.0904184378,9778.92683058912,27124.7249130273,3913.70103054305,1496.98473954132,3302.22745587476,1.02499962742768,0.661888438497877,0.843444032962779,4.04534926803681,2.71770601577198,3.38152764190439,0.227440257058392,0.213014660047086,9041.57497100911,1304.56701018102
4,28738689.9632834,11593743.2197582,19748.2243315633,12855.5873995113,12362.5573685134,9089.00596689174,27260.0137137841,3931.01924494037,1422.44897813579,3205.98066559198,0.97745727297651,0.636299608059129,0.80687844051782,3.41857837882597,2.51335369836772,2.96596603859685,0.21709532274063,0.204251166157185,9086.67123792802,1310.33974831346
5,30994704.2122793,11386367.2922502,21046.1173168282,13712.0609034826,12958.3604442154,9650.52914383921,27803.5324885081,4017.16686387577,1534.11256361041,3069.88261672384,1.04169772906475,0.678691584244572,0.860194656654659,3.4937082607562,2.60188266375553,3.04779546225586,0.224600756008483,0.191017110390478,9267.84416283603,1339.05562129192
6,27634226.2104904,10555319.5998371,18705.2285994785,12091.6095238022,11052.6768306955,8073.53737236086,27578.8753047306,3986.06942584401,1367.78248712469,2913.10847616125,0.925833200508369,0.598485791562652,0.76215949603551,3.05037154538334,2.22817413812766,2.6392728417555,0.206460822700829,0.178489022928229,9192.95843491019,1328.68980861467
7,31535244.7384443,12454301.9759728,22289.2567114519,14326.0699812355,13601.1370749825,9952.17901706529,27991.8498169132,4041.64893775673,1560.86713454133,3409.74397482921,1.10322810375552,0.709082551485304,0.906155327620411,3.72372496521432,2.72471171048584,3.22421833785008,0.232250820135291,0.208900767506081,9330.61660563774,1347.21631258558
8,28590437.1647249,11592569.63853,21673.9548414215,13926.9903655875,13169.8215426585,9561.06394475245,27385.8288338734,3956.61344361217,1415.11106391336,3222.43854479037,1.07277314852311,0.689329723774696,0.881051436148905,3.66087432643234,2.65773180109899,3.15930306376567,0.215872043750887,0.205155111632099,9128.60961129112,1318.87114787072
9,30199086.0437835,12047974.8450339,21804.3098695617,13696.9656511058,14167.2685217047,9735.78786000115,27165.0029848814,3920.81557858748,1494.73268052566,3348.06575103543,1.07922519546087,0.677944430273899,0.878584812867386,3.93700577344693,2.70552174225797,3.32126375785245,0.229443573889468,0.215562905305125,9055.00099496047,1306.93852619583
10,28508858.5229508,10291053.6338277,17697.4301832711,11378.6642043929,11242.1556948488,7834.47320746871,27695.1125202565,3997.21981412764,1411.07325092406,2817.29743005705,0.875951252892367,0.563197880305872,0.719574566599119,3.077672848122,2.14477953556665,2.61122619184432,0.209028462894619,0.171078421252848,9231.70417341882,1332.40660470921
11,29968747.7480555,11545115.7134482,19491.1281904695,12676.2813072644,12428.4519141555,9010.4875623213,27871.9929889378,4023.40799936466,1483.33186602081,3102.72520442991,0.964732053293613,0.627424681330877,0.796078367312245,3.34011992284987,2.42154929909026,2.88083461097007,0.22133021840902,0.194734024868389,9290.66432964592,1341.13599978822
12,29159091.3114803,11497592.3734689,20110.3730129926,13079.5610648522,13454.0752112981,9378.44191778346,27747.8799531658,4004.74741574198,1443.25714541528,3158.87124395365,0.995382168735171,0.647385399088593,0.821383783911882,3.6963992041524,2.5766516610501,3.13652543260125,0.218854328641126,0.197201241737685,9249.29331772194,1334.91580524733
13,30931378.7095668,12340287.6403177,20463.5412552099,12791.5330963875,12446.0225254262,9002.93094157305,27753.2872995967,4006.41416966281,1530.97820721705,3401.54009920706,1.01286256905592,0.633129178991555,0.822995874023736,3.43068540457307,2.48161400291025,2.95614970374166,0.229671972777043,0.211307849047326,9251.09576653223,1335.4713898876
14,27744445.1297917,11221886.1255317,19827.2212800121,12949.0346148624,11838.9179497987,9049.40146371692,26748.9350879975,3859.64007080579,1373.23787807437,3090.14636939738,0.981367302582609,0.640924867462242,0.811146085022425,3.2600570805053,2.49191399427065,2.87598553738798,0.208377755615778,0.191201811329205,8916.31169599918,1286.5466902686
15,30872068.2586763,11439579.1398404,20428.1498212913,12923.8284141277,12514.5981590983,8925.87049380428,27938.6962506061,4033.84007106196,1528.04257965818,3073.40437914462,1.01111083614546,0.63967726242097,0.825394049283213,3.3622234100777,2.39806107619783,2.88014224313777,0.226339477335884,0.193669627950776,9312.89875020202,1344.61335702065
16,27783020.6904624,10954916.7770638,18492.9740904421,11872.0394182982,10802.7683444008,8116.57222524349,27719.6624519325,4002.45528141171,1375.14721238735,3014.35386061108,0.915327460341743,0.587617958943898,0.75147270964282,2.97248871232042,2.23335524312846,2.60292197772444,0.207932752636568,0.183777570043048,9239.88748397749,1334.15176047057
17,30995789.9641121,12267348.1466101,22651.1422718667,14046.4000774341,15417.0151757567,10276.7496220067,27977.8714940717,4040.39660797893,1534.16630393703,3346.9715099483,1.12113997608762,0.695240021801947,0.908189998944781,4.20631337311132,2.80386500722516,3.50508919016824,0.232700734614578,0.21214919511503,9325.95716469055,1346.79886932631
18,28523114.7366372,11506671.6427569,18956.9652564366,12407.2001596604,11983.1320006942,8581.03580284382,27037.2180386652,3902.38688217316,1411.77887587134,3176.92721990014,0.938293147392059,0.614106252274648,0.776199699833354,3.30847524067702,2.36917564551798,2.8388254430975,0.2137720658476,0.199877356683486,9012.40601288839,1300.79562739105
19,31045997.3349157,12286043.5958033,21624.0889781952,14147.0672765052,13750.9457019809,10162.9781897196,27405.1221427637,3955.7051038795,1536.65136583044,3372.14636295839,1.07030498987424,0.700222641212691,0.885263815543466,3.77421756439252,2.78942929609943,3.28182343024598,0.231568708203488,0.212872271888345,9135.04071425456,1318.56836795983
20,28119625.2303983,10265565.210551,19899.5247221968,12698.581254914,11939.3770042862,8602.64037368058,27734.8476498506,4004.52979527126,1391.8077764033,2779.54068587399,0.984946030686872,0.628528438592852,0.806737234639862,3.23274787766124,2.32928128497115,2.78101458131619,0.213652918378191,0.184993227440839,9244.94921661686,1334.84326509042
21,29423177.239733,11366583.1486282,19316.0070986853,12446.3229650054,11378.4171376972,8396.16380549429,27861.1242814123,4021.49254230149,1456.3283313066,3139.42021529371,0.956064267170559,0.616042672986793,0.786053470078676,3.14268873178851,2.31899824575403,2.73084348877127,0.220422868008307,0.197054100627698,9287.04142713742,1340.4975141005
22,28716301.883473,11270032.2976596,21009.1734896266,13432.3679996899,11936.3808658062,8927.07473631035,27625.0919284148,3989.23381260112,1421.34085868812,3111.99888689757,1.03986915896226,0.664847916154622,0.852358537558441,3.29599800487602,2.46503700334722,2.88051750411162,0.215551910958734,0.197896157768013,9208.36397613826,1329.74460420037
23,31387876.0561455,12415638.6646258,20067.0387522495,13395.5721858235,12330.8936481207,9526.28394484767,27579.2569273723,3979.07502149358,1553.57298049976,3407.29198683141,0.993237298005469,0.663026672113895,0.828131985059682,3.3840349459766,2.61435048380078,2.99919271488869,0.232509015776919,0.213514759493246,9193.08564245742,1326.35834049786
24,28352408.4240022,11537622.6517133,19611.8403805013,12667.2402409455,11626.1091799587,8768.84869874858,27034.2669548592,3900.16842090458,1403.3296034696,3202.49248066125,0.970706818725811,0.626977185096255,0.798842001911033,3.22705364459424,2.43396519972235,2.8305094221583,0.215905449890957,0.202876431881079,9011.4223182864,1300.05614030153
25,30422257.8419702,10858949.2294524,20626.013082786,13179.1171873243,11983.2246742542,8897.0572757468,27956.7582918396,4037.54948927105,1505.7787823725,2984.08491202486,1.02090426773483,0.652313024699174,0.836608646217003,3.29304053203028,2.44494875304945,2.86899464253986,0.226273806579065,0.190616319195541,9318.9194306132,1345.84982975702
26,27484667.3127986,10518495.8625529,17580.3770686147,11850.3330874358,10132.5627617493,7998.05649987076,27567.4324445867,3980.54623965425,1360.37992627503,2928.9320455597,0.87015759689958,0.586543583313214,0.728350590106397,2.82146688693279,2.22710207721497,2.52428448207388,0.209877538537799,0.185105834260733,9189.14414819556,1326.84874655142
27,31217830.6695691,12224863.7490246,22745.192347318,14472.4311526045,14376.5106847633,10188.7909147542,28030.0464382713,4046.00244215043,1545.15642126615,3296.9540722203,1.12579507462865,0.716326837808676,0.921060956218664,3.87723711442025,2.74784049843338,3.31253880642682,0.23514725313616,0.217357314575631,9343.34881275711,1348.66748071681
