"Run_Number","cases_U1_sum","deaths_1_U1_sum","deaths_2_U1_sum","incidence_U1","death_rate_1_U1","death_rate_2_U1","death_rate_mean_U1","average_PfPR_U1"
0,1454584.17763838,4298.44678823677,3128.4411866942,4229.42453115407,12.4983872171258,9.09641813975967,10.7974026784427,0.227828003701399
1,1548553.47948616,5684.39302867893,3983.51973569752,4769.19552795136,17.5066487342039,12.2683425278271,14.8874956310155,0.263586591772427
2,1682314.22590504,6120.63035029608,4165.1173553646,5129.64363157247,18.6627753686829,12.7001052405676,15.6814403046253,0.276296691770423
3,1701885.29491341,5333.30902184713,3929.74208868324,5510.41583817848,17.2683497482019,12.7238381518177,14.9960939500098,0.318325915678483
4,1737718.0132354,5505.55839936802,4007.95589575412,5156.32716873836,16.3366323750546,11.8927994755053,14.11471592528,0.286098523100177
5,1542609.17717326,4860.00965390548,3714.37828165711,4519.74440622435,14.2395117133214,10.8828864170794,12.5611990652004,0.244045228633421
6,1533976.343048,3952.41898529798,3286.49917961549,4706.07464606112,12.1255968917764,10.0826264587349,11.1041116752557,0.2455501559091
7,1773547.09251525,5435.97833034095,4083.44077225068,5385.04015849801,16.5053196124023,12.3985952423922,14.4519574273972,0.274687593307574
8,1782073.59584062,6071.25072919485,4191.44585770128,5412.24424417162,18.4386839526163,12.729625067701,15.5841545101587,0.297547289113922
9,1759105.81760447,5767.88509171719,3909.96283354076,5401.21566936356,17.709901828928,12.0052769491198,14.8575893890239,0.29709948090026
10,1368054.77351722,4342.69465281853,3183.20967676942,4237.26826726982,13.4506034429613,9.8593372228539,11.6549703329076,0.219290326429011
11,1638734.26621913,5709.46611777092,3983.05864211333,4806.23748454826,16.7452714193257,11.6818975129181,14.2135844661219,0.258143645514057
12,1680117.80520951,5700.25800412768,3655.29872434414,5221.62064744286,17.7157725475047,11.3602648769184,14.5380187122116,0.284898202062619
13,1827105.84219428,5542.01909187562,3863.33191764635,5651.78653258922,17.1431277507153,11.9504446862548,14.546786218485,0.308683062832161
14,1648968.18948885,3587.54197304002,3115.72205951397,5151.7466709277,11.208286208451,9.7342149169128,10.4712505626819,0.276587205650225
15,1467108.91248996,5705.78665576602,3580.42651991274,4439.64548027892,17.266386784274,10.8347950730005,14.0505909286373,0.238378391208203
16,1482124.52098651,4702.3918915744,3345.27363186657,4768.54516904168,15.1293415769024,10.7629879881766,12.9461647825395,0.251183975636612
17,1739630.80212418,6676.09102223408,4439.65613128112,5219.48409049241,20.0305437422018,13.3204784119618,16.6755110770818,0.281245405476032
18,1686163.40035629,5741.75358489686,3997.87619351146,5398.2286423212,18.3821441341873,12.7991449533939,15.5906445437906,0.299179383574139
19,1833878.93278062,4981.78588308043,3951.04681946816,5288.34394876468,14.36594137045,11.3936062874877,12.8797738289688,0.287655084819103
20,1444176.67790124,4695.79794480396,3246.9767309059,4326.28912149695,14.0671012599902,9.72689860155221,11.8969999307712,0.240200688184501
21,1508634.15284068,4682.31478785524,3452.7868398368,4701.26470189006,14.5912123186611,10.7597092792248,12.6754607989429,0.25789817363092
22,1710987.81351197,5352.53087187084,3994.66810755167,5164.74600594781,16.1570189009496,12.0582075398986,14.1076132204241,0.285654295479688
23,1862852.97663991,6318.75322363826,4515.84921091483,5730.52453497396,19.4378036445032,13.8916946339306,16.6647491392169,0.31280145224264
24,1644507.55515662,5416.33111785221,3774.87964867872,5170.65271065779,17.0300021356092,11.8689583557363,14.4494802456727,0.279123149508958
25,1433972.10418683,4617.54479793686,3413.81808285569,4392.21545234062,14.1434073606852,10.4564269355166,12.2999171481009,0.237473172093842
26,1475854.89088273,3938.59730093626,3200.46079018831,4608.28133695365,12.2980684265136,9.99327496232057,11.1456716944171,0.251821770920357
27,1684769.57601547,5695.63277325715,3943.90320424655,5179.14419632822,17.5089245686621,12.1239388946363,14.8164317316492,0.302605732711756
28,1741237.48219332,6196.06462414025,4294.26773138148,5382.203041501,19.1521709166159,13.2736752345508,16.2129230755833,0.288244931068954
29,1742460.98442978,6635.68590390345,4360.11045266518,5369.67763849285,20.4489480870144,13.4363912926847,16.9426696898496,0.28965813268447
30,1410033.97850482,6233.20146758582,4173.65285359272,4166.37152074058,18.417877493368,12.3323186900116,15.3750980916898,0.225407157495859
31,1530613.26878817,5673.31255999257,3863.51994425442,4741.2803052014,17.5738481133389,11.9677722609508,14.7708101871449,0.255112752314244
32,1687470.87243869,6598.52579100606,4463.65453884694,4932.41849875055,19.2872607211319,13.0471065184211,16.1671836197765,0.289657886257964
33,1799852.87044969,5916.2689566558,4344.62785903659,5651.03119375565,18.5754185653836,13.6409080763037,16.1081633208437,0.31721048945581
34,1540422.73035521,4834.18775753923,3635.76007895313,4899.47232730509,15.375629479058,11.5639074550944,13.4697684670762,0.277185402268818
35,1425538.41989572,4105.99762682625,3190.89122394712,4393.42701653694,12.6544473665288,9.83414232437551,11.2442948454522,0.238071827720143
36,1578908.65565499,4848.6046911994,3569.92017502068,4611.02418884811,14.1598017296373,10.4255481913541,12.2926749604957,0.248060685286557
37,1750735.42403222,6174.57068155488,4277.02189696685,5249.16797152389,18.5129964325962,12.8236431655429,15.6683197990695,0.309884556919268
38,1763970.72138525,6717.22886702593,4625.20229151674,5303.9738786225,20.1976178036877,13.9072331757778,17.0524254897327,0.294914785296217
39,1639406.20172742,5090.18678751901,3766.65822869554,5232.96553747398,16.2478170512747,12.0231292778065,14.1354731645406,0.285444527267047
40,1331394.25053723,4324.49838451907,3360.95255242886,4146.93618338914,13.4696531989181,10.4684662298169,11.9690597143675,0.223602620824255
41,1543308.76171272,6008.14066413582,4145.47532019133,4664.70345736243,18.159810417464,12.5298407799143,15.3448255986891,0.269774231678237
42,1560830.41265186,5158.1979165714,3750.57610966121,4979.40519025946,16.4558284295106,11.9651936530249,14.2105110412677,0.286685580953606
43,1673609.431811,5190.31086406376,3867.15008473817,5435.71543080889,16.8576086619907,12.5601152749951,14.7088619684929,0.314735415736459
44,1682170.55021416,5610.06816293948,3886.86336223009,5179.0283340206,17.272149942199,11.9667862933954,14.6194681177972,0.279470317197982
45,1426059.18810981,5470.81687032885,3854.63491457489,4475.78994396236,17.1705545868213,12.0980505803326,14.634302583577,0.23604811026721
46,1482459.45667244,5359.39680546574,3849.68759640156,4728.85169875587,17.0957745749895,12.2799997315174,14.6878871532535,0.255736775833183
47,1779755.33945424,5650.62499918797,4225.97265947445,5218.24148217831,16.5676287730865,12.3905490520867,14.4790889125866,0.295269032543916
48,1752173.87365415,5346.58942863601,4181.81782040917,5474.9157684676,16.7061769442519,13.0666828618266,14.8864299030393,0.294388374637072
49,1678949.40007398,6620.97546114269,4199.68830395631,5310.92475572299,20.9437535652163,13.2846341758835,17.1141938705499,0.289489059057876
