"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
0,4654458.96993763,2385462.42610101,4288.43640262609,2690.90683185531,2995.15313984946,2069.25856135988,4149.95358092916,598.799857324702,1566.05146496416,4407.40451466417,1.44289855257403,0.905389565860874,1.17414405921745,5.53387524625972,3.82318305480566,4.67852915053269,0.244714826879875,0.280996861288347,1383.31786030972,199.599952441567
1,4493653.21958927,2109449.01156746,3980.30235404484,2544.38494028867,2500.81816533192,1822.91789064775,4150.33811506866,598.857523482468,1511.94634070928,3910.39148156956,1.33922296292919,0.856090426171533,1.09765669455036,4.63589212019008,3.37923436504061,4.00756324261534,0.232956335386206,0.247428390940559,1383.44603835622,199.619174494156
2,4809258.07427527,2529577.80945506,3146.36350405009,2269.01046516184,2523.44387213667,1933.47677646356,4150.29070507305,598.841401498861,1618.13557735808,4810.63073959487,1.05863371159837,0.763437208478244,0.911035460038309,4.79896550940971,3.6769941530884,4.23797983124905,0.252924259307766,0.313856880472031,1383.43023502435,199.61380049962
3,5238700.02728914,2838267.78394662,4101.00509393553,2965.9444126056,3109.03124978053,2413.4124751422,4150.75778190339,598.926054944043,1762.62674249203,5326.88849197335,1.3798349231703,0.997929431189186,1.18888217717974,5.83505998951678,4.52951592972796,5.18228795962237,0.264352179484941,0.321424143795656,1383.58592730113,199.642018314681
4,4521135.88313907,2365811.72521635,3663.83422387419,2408.23681193379,2690.50168321118,1852.0985559402,4150.32200253383,598.857508099995,1521.19322972286,4364.52503969208,1.23274326634807,0.810281670043397,1.02151246819574,4.96352344548257,3.41681057593007,4.19016701070632,0.240869340410677,0.288036726926306,1383.44066751128,199.619169366665
5,4972178.47087549,2486134.22492007,3782.05302011577,2547.5773604611,2808.15701233977,1970.81313238552,4150.56955042165,598.892916318792,1672.95220103362,4662.88495160831,1.27251947239827,0.857164556230494,1.06484201431438,5.26685685082569,3.69637117952791,4.4816140151768,0.258125510978929,0.30239650716795,1383.52318347388,199.630972106264
6,4347524.81913521,2053230.55944521,3301.25999169302,2122.19978607477,2058.57120566191,1537.10613987142,4149.8791470773,598.764562315165,1462.77959607107,3869.60432504415,1.11075058983444,0.714040902582832,0.912395746208637,3.87966953063132,2.89689462273809,3.3882820766847,0.220106115339227,0.231085849937567,1383.29304902577,199.588187438388
7,4942286.0126928,2597504.97645273,3966.43974579538,2522.07549910651,2726.02139481363,1861.31844756995,4150.4965874826,598.877554249078,1662.89450620147,4993.61747202135,1.33455871342189,0.848584133115455,1.09157142326867,5.24068603896786,3.57832320054849,4.40950461975818,0.254919049949752,0.303130932148842,1383.4988624942,199.625851416359
8,4885010.30790491,2707654.2029419,3824.85394396204,2653.16604046697,2997.39410515401,2207.07128656802,4150.78368193143,598.929515944295,1643.62337244151,5049.60227667944,1.28692038342234,0.892691200266856,1.0898057918446,5.58994870210758,4.11604708656619,4.85299789433688,0.261608521366609,0.331032254090453,1383.59456064381,199.643171981432
9,4741147.95027451,2421164.91890926,4502.13485949985,2766.46913984194,3411.42402838646,2228.55989587311,4150.63669529333,598.904211921354,1595.21906651134,4599.173018954,1.51480009550507,0.930813458064638,1.22280677678485,6.48023983208656,4.23330623377775,5.35677303293215,0.256241184960799,0.304439060013551,1383.54556509778,199.634737307118
10,4661912.88192135,2269415.35740812,3154.82801987197,2116.12361735555,2350.84701341484,1759.67489735341,4150.21444572861,598.838126610262,1568.55942772787,4492.88191494609,1.0614817047784,0.711996498929139,0.886739101853767,4.65409648211752,3.48372169805583,4.06890909008667,0.241942067595686,0.260255125111832,1383.40481524287,199.612708870087
