"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
0,38688401.0845989,14249919.0916883,28029.8806554585,18073.6062823236,15460.6102214853,11827.5495355957,39310.4874915117,5673.75542217005,1155.64678290964,2339.21116984801,0.837270098962983,0.539869944743134,0.688570021853058,2.53795350626654,1.94156442626638,2.23975896626646,0.17094264867511,0.143529838629609,13103.4958305039,1891.25180739002
1,40248309.8360579,14518936.2472296,27528.3325944505,17673.0194132767,15758.539723414,11611.2725500599,42430.7666284757,6134.8251740304,1202.24223476908,2427.90159495141,0.822288544105983,0.52790416395324,0.675096354029612,2.635191936729,1.94167304433788,2.28843249053344,0.18126230501865,0.151673342569016,14143.5888761586,2044.9417246768
2,39354676.9591561,15072956.3432501,29888.6178811831,19090.0803468623,18418.0903184793,13122.6569554108,40806.8841777775,5892.95318098503,1175.54886077733,2493.20456716512,0.892791744597444,0.570232661983028,0.731512203290236,3.04652026150503,2.17060724581896,2.608563753662,0.179260500139851,0.157477654509933,13602.2947259258,1964.31772699501
3,41985511.3743411,16113100.3726053,31867.076530015,20437.6876085776,18988.3093776985,13885.7467517741,42056.6520303605,6074.81867760005,1254.13353326427,2639.00894713413,0.951889544158679,0.610486535313733,0.781188039736206,3.10991163586944,2.27421222906747,2.69206193246845,0.187294740134841,0.167672046329058,14018.8840101202,2024.93955920002
4,39079984.0966088,15649082.3629891,26652.5361374553,17138.3446944665,15328.4304876149,11591.9953367559,40237.5626894679,5799.37509572351,1167.34361284794,2627.70442105863,0.796127955153315,0.511933095070217,0.654030525111766,2.57386239179471,1.9464615680805,2.26016197993761,0.179417445394687,0.166398799397608,13412.5208964893,1933.12503190784
5,39906083.9854279,14282462.6158243,28560.8783474269,18116.0801203778,17906.3695120179,12514.662894399,39893.3777685149,5771.82626417415,1192.01973416885,2343.12161289433,0.853131332750181,0.541138664900318,0.69713499882525,2.93764475641582,2.05310371850468,2.49537423746025,0.17723557933769,0.14761846716849,13297.792589505,1923.94208805805
6,39190113.9437349,14148188.1265288,27922.5185026988,17533.3528132529,15790.1389998505,11484.9208326754,42511.0936682955,6139.37615875108,1170.63326038998,2361.44398397391,0.834063124185926,0.523732235094134,0.67889767964003,2.63549851145903,1.91692370529654,2.27621110837779,0.175394586211586,0.14364694560004,14170.3645560985,2046.45871958369
7,42794244.1542904,16185523.7441802,27474.451110083,17502.7112063461,15975.3852621575,11747.544913864,41961.0804209123,6060.80990484196,1278.29088816085,2670.54335652778,0.820679070405286,0.522816951095513,0.671748010750399,2.63587139064108,1.9382955115377,2.28708345108939,0.188507502724087,0.16237860480133,13987.0268069708,2020.26996828065
8,39591012.4907553,15653212.7119605,29826.9228628697,19137.2268517726,18116.5341967806,13352.6450993744,41072.9965879779,5932.67843663035,1182.60835119625,2603.77528746182,0.89094887574175,0.571640957627138,0.731294916684444,3.0135273125108,2.22109594827353,2.61731163039216,0.180703626234936,0.166730604949314,13690.9988626593,1977.55947887678
9,41596931.4472143,16087475.2360911,29993.4883462408,19349.9631162017,18120.8557959769,13415.1585558809,41549.2812094985,5988.41620085519,1242.52640735319,2675.15774636001,0.895924291101528,0.577995523148161,0.736959907124844,3.01328499605254,2.23078294155824,2.62203396880539,0.188995089352965,0.170891034720638,13849.7604031662,1996.1387336184
10,37186139.0282128,13586266.0232084,24082.5873684778,15453.1242780569,13874.7137098955,10238.1636963038,38134.6373197986,5515.10786166375,1110.77327395398,2240.62891143532,0.719361975070108,0.461594505257245,0.590478240163677,2.28819932004677,1.68846433146232,1.98833182575454,0.16414122709567,0.133094372524876,12711.5457732662,1838.36928722125
11,39831913.9153703,14067407.0117944,27349.3639531749,17902.0573452305,14653.2097510767,11511.6712419258,42007.9314724184,6065.77487866,1189.80422770057,2378.9445861583,0.816942638647663,0.534745670498002,0.675844154572832,2.47800991170152,1.94674313152757,2.21237652161454,0.178286103759906,0.146501145079356,14002.6438241395,2021.92495955333
12,40356358.6940263,15616719.3303733,29622.870323962,18533.9460102397,17759.8570918535,12557.8878505999,41426.1213844448,5986.02050253739,1205.46972186101,2597.62818657195,0.884853698543354,0.553620580869151,0.719237139706253,2.95410991228882,2.08883330451376,2.52147160840129,0.181430760845856,0.162867655804077,13808.7071281483,1995.34016751246
13,41922963.8799756,16271287.0333906,28590.8227885954,18559.1343000518,17178.2468523104,12774.9132597678,41641.9995005008,6013.64261894437,1252.26520041473,2681.41537246388,0.854025791971348,0.554372970869058,0.704199381420203,2.83087718182587,2.10523290052834,2.4680550411771,0.188846316229683,0.168820121411128,13880.6665001669,2004.54753964812
14,38047616.1313315,14963323.0492084,28696.5901601876,18619.9541066741,16616.4098206115,12554.3625570045,38732.1197867682,5590.49651265797,1136.50613483371,2526.46753024736,0.85718512963563,0.556189696603124,0.706687413119377,2.80558133664561,2.11972897055797,2.46265515360179,0.172887352102691,0.15813289583193,12910.7065955894,1863.49883755266
15,39181119.1739544,13835807.9992581,26376.4268651168,16509.1576407668,15773.080434975,11118.6060938304,39399.3049347699,5695.85432005612,1170.36458098043,2262.69581454655,0.787880398175921,0.493138883521737,0.640509640848829,2.57951563686325,1.81832701591775,2.1989213263905,0.173448805414103,0.140384075211259,13133.1016449233,1898.61810668537
16,39552250.3397906,14687007.4321769,27402.3328385168,17612.6240626241,16308.3668004493,12140.93629203,41795.1661395156,6044.19034224971,1181.45050145821,2439.12380983143,0.818524852443623,0.526100116984956,0.672312484714289,2.70838875421911,2.01628867693353,2.36233871557632,0.176429828764815,0.149506610922743,13931.7220465052,2014.73011408324
17,42256970.0416024,15889979.8791855,29129.0613518199,18782.9938954318,17177.4109957397,12781.6128505602,42954.8770880918,6208.13556087135,1262.2421737539,2634.43576958564,0.870103315120165,0.561059797255566,0.715581556187866,2.84788189161444,2.11909255660034,2.48348722410739,0.19018104313296,0.165217801489644,14318.2923626972,2069.37852029045
18,38805321.1694542,15509422.1589931,26947.4441146279,17458.1430655001,16896.6884355199,12155.1042254018,40132.9302847594,5797.9707790607,1159.13925910748,2596.37222131609,0.804937041223549,0.521485672801631,0.66321135701259,2.82860908913868,2.03483886340249,2.43172397627059,0.174097780203227,0.158951268966397,13377.6434282531,1932.65692635357
