"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
0,25621451.4862776,9667719.60030595,12607.6887615995,8310.15338569914,7399.15067730001,5528.66458201867,15463.9149998062,2227.43742799767,1268.15827484042,2684.44092309088,0.624029627603188,0.411318999117273,0.517674313360231,2.05452616495323,1.53514728060011,1.79483672277667,0.176084507710886,0.136197070532851,5154.63833326874,742.479142665889
1,22389930.7937172,9185186.88350844,12806.7831404877,7850.78617038729,6926.2571914071,5010.19870505412,14844.8418842339,2135.19535525644,1108.21106385655,2535.47872527121,0.633883994526799,0.388582178933604,0.511233086730202,1.91192383751059,1.38301510760267,1.64746947255663,0.158413240176087,0.130267818590912,4948.28062807796,711.731785085479
2,26013808.9936642,10897285.490408,13427.2560686675,8479.09683257439,8061.25017420008,5590.21524426945,15480.1271673173,2230.77321607465,1287.57838536595,2983.903895703,0.664594896233798,0.419681016790224,0.542137956512011,2.20733831560207,1.53071744884325,1.86902788222266,0.179933652752429,0.155443772379013,5160.04238910576,743.591072024882
3,23529650.3299723,10163143.3315438,16220.5075124588,10185.4607496866,11180.5371684271,7325.64728657484,14368.782883579,2069.50601175623,1164.62257362888,2801.31226789184,0.802849551090141,0.504139132776897,0.653494341933519,3.0817410430812,2.01920064931461,2.55047084619791,0.163918131767119,0.144682950556759,4789.59429452633,689.835337252076
4,26300475.9647752,11084161.208055,13360.7968640562,8658.65248328394,8504.40157168974,6077.78658144628,15163.5894039865,2182.90448956746,1301.76724159576,3065.98159289011,0.661305434264309,0.428568295653548,0.544936864958929,2.35239619741348,1.68117202866799,2.01678411304073,0.184631182691977,0.15776757104641,5054.52980132883,727.634829855821
5,23291607.9238806,8976957.7951029,13466.4974721235,8338.44489443691,7860.91655668781,5393.52847093321,14697.2514112796,2117.70289959169,1152.84043680459,2433.55350162999,0.666537187073006,0.412719314432459,0.539628250752732,2.13100712392617,1.46212563277737,1.79656637835177,0.159928037223187,0.123502760542154,4899.08380375988,705.900966530564
6,23814419.9824754,9623413.30327132,13495.2059454545,8465.76127409344,7667.15033314654,5440.07919285071,15020.5641019746,2165.73204939104,1178.71752025743,2728.49911560705,0.667958140449993,0.419020960553899,0.543489550501946,2.17384541679253,1.54241024455218,1.85812783067236,0.166579199819298,0.137905948858065,5006.8547006582,721.910683130347
7,23541420.5846646,9949951.87381878,12259.1068967263,8055.00337720566,7238.14128001415,5492.62760905853,14664.8903666966,2113.40800228612,1165.20515365534,2723.99325729295,0.606776234420721,0.398690105130923,0.502733169775822,1.98158225206823,1.50371386330678,1.7426480576875,0.163662665125525,0.140443319636714,4888.29678889887,704.469334095373
8,26447207.6403857,11165702.211298,16327.904909732,10104.7454516273,9595.34304615398,6664.81779028592,15528.5012432512,2236.41631097957,1309.02986638134,3087.60610325102,0.808165288105326,0.500144051811445,0.654154669958386,2.65336108660632,1.84299488710353,2.24817798685493,0.185456817593485,0.158685499118807,5176.16708108375,745.472103659858
9,23743461.9212394,10111395.0967578,14579.4779006291,9183.05358789142,9414.03402800454,6329.1335820011,14669.1238937035,2111.40007165621,1175.20538307148,2846.72700590246,0.721625219103542,0.454524030460361,0.588074624781952,2.65039439617964,1.7818822545688,2.21613832537422,0.168904652712614,0.147725557924884,4889.70796456784,703.800023885404
10,25760101.8439136,9652044.71812205,14731.940860934,9278.45858901573,8936.22870434676,6232.6655693045,15643.3879633002,2253.42910113676,1275.02090705467,2620.64897886682,0.729171519312989,0.459246192344973,0.594208855828981,2.42629611785752,1.69224543988584,2.05927077887168,0.175090246450092,0.130039879308832,5214.46265443341,751.143033712252
11,21495736.2119852,8953179.15297753,11937.9748820229,7833.24468520267,7247.86714234215,5406.71016874879,14341.9275209019,2065.10905626041,1063.95204680796,2421.51114499332,0.590881497856698,0.387713946327742,0.48929772209222,1.96028592332765,1.46231955238155,1.7113027378546,0.150826986780056,0.126079533843297,4780.64250696729,688.369685420136
12,26413744.8631095,10865554.592703,15817.6431492501,10169.3827021628,9670.85348171238,6979.52262646044,15582.3378139031,2247.6560376529,1307.37359417815,3006.86063040505,0.782909393674976,0.503343334419358,0.643126364047167,2.67624706576,1.93146623354311,2.30385664965155,0.183860489992581,0.154521506077297,5194.11260463438,749.218679217634
13,24492984.7658714,10465402.4834281,13521.9252456857,8422.60392981959,7763.86919446292,5778.59707476705,14913.0446371427,2147.82398576617,1212.30373396355,2902.68611726705,0.669280637799697,0.416884846474245,0.543082742136971,2.15338830615741,1.60275283561878,1.87807057088809,0.171402667001766,0.147768539464308,4971.01487904758,715.941328588723
14,25883608.7094902,10804623.5691184,14382.7038092811,9327.01629586593,8885.30862171912,6437.93618969199,15179.1418368969,2184.43263290741,1281.13399762897,2994.93166140554,0.711885697033496,0.4616496025414,0.586767649787448,2.46291709677004,1.7845303730642,2.12372373491712,0.180576302563823,0.153604945063451,5059.71394563228,728.144210969136
15,23284192.3429625,9032522.26424681,12954.6172524835,8019.96541134508,7678.39274711317,5132.58995908523,15009.3678607694,2160.8183432802,1152.47339552634,2425.76327362906,0.641201185456891,0.396955867460451,0.519078526458671,2.06209988545209,1.37840216244232,1.72025102394721,0.159216682029983,0.122316106075432,5003.12262025646,720.272781093398
