"Run_Number","cases_U1_sum","deaths_1_U1_sum","deaths_2_U1_sum","incidence_U1","death_rate_1_U1","death_rate_2_U1","death_rate_mean_U1","average_PfPR_U1"
0,1369743.93355167,3749.99486605099,2327.34458455783,4147.76186113914,11.3554696639853,7.04750053575873,9.201485099872,0.189510006449434
1,1339132.92652938,3208.04200326985,2139.08706269675,4280.67984805161,10.254845118842,6.83781774095077,8.54633142989637,0.20476186217754
2,1632391.39196717,3751.66814249834,2633.97844711033,4951.31979354227,11.3794454100672,7.98930310777051,9.68437425891884,0.235209124581611
3,1776377.82558671,6124.09572567379,3790.3188411627,5373.75265565409,18.5261126294739,11.4661620096201,14.996137319547,0.253049307201445
4,1600147.54563014,3763.17689974631,2794.64566749006,5027.93872560754,11.8245488781443,8.78125721237239,10.3029030452584,0.241867720930688
5,1306096.36294932,4081.66188760812,2685.68378243082,3867.18316188592,12.0852753074255,7.9519638796893,10.0186195935574,0.188174432991522
6,1437735.41752593,3514.5578870954,2639.137099079,4772.95339080176,11.6675299084218,8.76133272665422,10.214431317538,0.223869415506824
7,1591535.40092172,3986.61920202293,2700.56897837005,4901.54063989947,12.2778142560965,8.31709341222731,10.2974538341619,0.228342947572672
8,1764404.47635357,4996.77879965906,3225.56552576835,5511.75956608674,15.6092572410371,10.0762279176686,12.8427425793528,0.25678808081638
9,1666276.77341428,4283.21533891138,2964.0005401445,5236.29776971463,13.4600633485353,9.31441262665485,11.3872379875951,0.244808507566202
10,1360213.68339988,4350.40705245326,2850.67703071515,4166.53449958039,13.3259364263692,8.73204286987329,11.0289896481212,0.194383783230181
11,1421329.75792108,3636.48919839091,2569.75379905544,4257.39973582932,10.8926081834946,7.69734756081316,9.2949778721539,0.19694897821788
12,1706860.28571716,5227.97546238682,3547.4419547388,5164.21278017656,15.8175674501465,10.7330079871765,13.2752877186615,0.241140573664349
13,1762548.06244849,4090.98303458843,2947.55628654402,5308.1117527513,12.3204555886201,8.87689731692498,10.5986764527725,0.252345843127208
14,1689181.90712454,4653.8507030861,3081.75892876189,5166.01086773786,14.2328325964006,9.42491750034966,11.8288750483751,0.241875749402462
15,1277337.65924883,3047.37771511464,2126.61234794155,3914.10414639386,9.33798018401252,6.51650888751329,7.9272445357629,0.182213768366693
16,1601138.37662873,4227.07697279193,3006.40547972488,4755.02240510846,12.5534719591599,8.92835099301819,10.7409114760891,0.227442620775418
17,1596138.08313078,4774.60640026708,3184.8819138467,4872.76641540155,14.5761459862846,9.72295930460578,12.1495526454452,0.238445826690738
18,1687518.35769549,4425.21762961229,3159.6416757582,5454.27866458915,14.3028785395373,10.2123725654571,12.2576255524972,0.260032616701274
19,1657648.94001634,5576.86388741982,3666.38599022806,4944.51959457283,16.6349533377924,10.9362826665646,13.7856180021785,0.229624898044397
20,1339976.62210048,4026.96721684571,2718.99904291215,4153.89709943794,12.4835069251923,8.42883528820284,10.4561711066976,0.190201868721123
21,1520032.68268439,4137.30054803718,2975.97594715072,4522.62215679105,12.3098978995715,8.85455616183987,10.5822270307057,0.207431093345119
22,1667242.43061485,4921.90260929337,3191.66547671529,5047.07732266176,14.8995866393307,9.66181171571529,12.280699177523,0.243520772561774
23,1665771.76090185,3627.61258612866,2755.69845515278,5297.94636005537,11.5375331407745,8.76443156413137,10.1509823524529,0.248622608988727
24,1785872.63685456,4696.14758143962,3425.7672609134,5348.86478726474,14.0654254484815,10.2605110202807,12.1629682343811,0.251282053773562
25,1264189.3764451,2667.38728224242,1944.13838109896,3978.27068225946,8.39398655050917,6.11799851184497,7.25599253117707,0.181188620509778
26,1458605.4938735,4173.43189680495,2864.11308729011,4436.17450631088,12.6929949614165,8.71085808629874,10.7019265238576,0.208043254774928
27,1641854.37858864,3967.91443558407,2760.75235347956,4963.07228487689,11.9943926945206,8.34532810561515,10.1698604000679,0.232172638102584
28,1797383.70770002,4251.13267677932,2871.2567263989,5579.85045782359,13.1973403960301,8.91361320940595,11.055476802718,0.254251939598103
29,1671519.73768055,5244.98653220667,3416.5598321665,5100.00337257363,16.0030709780763,10.4243260033695,13.2136984907229,0.237519989029362
30,1322952.9523265,3567.06564547191,2527.62182302058,3993.33068505203,10.7671800970761,7.62962112018037,9.19840060862821,0.185742338685538
31,1364658.84676139,3102.03704296341,2467.08826230744,4262.84711897314,9.68997467969863,7.70655619621585,8.69826543795724,0.199306880215493
32,1707539.33853686,4590.99788908795,3167.65767514729,5204.76468404236,13.9938583775838,9.6553633797213,11.8246108786525,0.240162887860497
33,1752649.789345,3954.65886031519,2689.33450515618,5449.86557476583,12.2970141061832,8.36248726230582,10.3297506842445,0.262345862380587
34,1620244.12457536,4146.2714388429,2988.99650375915,5116.35098136153,13.0929528602209,9.43855000819846,11.2657514342097,0.238079799975773
35,1262770.42807546,3255.60344243676,2382.97246340438,3833.60291931885,9.88357866448567,7.23438717699963,8.55898292074265,0.17859885426674
36,1456513.84769532,3722.95361729448,2786.14476834771,4640.53161619295,11.8615308697628,8.87680738859184,10.3691691291773,0.220550881767193
37,1614989.84873774,4173.71734849218,3007.32737743568,4980.72199838123,12.8719854362602,9.27477137818244,11.0733784072213,0.235104110041417
38,1706059.48525078,3989.48371734914,2902.22698292135,5309.57820653495,12.4160241680256,9.03227658364549,10.7241503758356,0.250118230666681
39,1583909.88846005,3973.68088592656,2713.34583794891,4998.04867726646,12.5390027807034,8.56199880759129,10.5505007941474,0.226894295625614
40,1346323.28097019,3180.41211646535,2296.21179815298,4192.06221335423,9.90288561802235,7.14974096411573,8.52631329106904,0.195542366063931
41,1421094.92254203,3994.90688785427,2878.64666048915,4397.80754679224,12.3628839857587,8.90843659155571,10.6356602886572,0.218729780199837
42,1569378.78216867,3135.95456325067,2271.40610622887,4961.21960395175,9.91357818333818,7.18051284418808,8.54704551376313,0.231478148245274
43,1715374.35185226,3507.62160014676,2698.53714276755,5283.83811286357,10.8044664864822,8.31225754806035,9.55836201727127,0.248654376029956
44,1724118.2942453,3302.80516397347,2857.55566147008,5169.52736860581,9.90299896783317,8.56798065921013,9.23548981352165,0.243770856961652
45,1262443.99086158,3305.84003817833,2343.03197288687,3964.26579291805,10.3808396056172,7.35747610909034,8.86915785735375,0.184533021394641
46,1442009.4419247,2990.5609402779,2349.70002305532,4466.90081915254,9.2638360925174,7.27864648634984,8.27124128943362,0.211154800632226
47,1579324.5696865,3317.04427908803,2472.40283499987,4843.52529937316,10.172822099572,7.58244752941498,8.8776348144935,0.227115792844149
48,1715603.4316525,4523.19781000272,3252.73193349333,5444.93650281085,14.3556048039582,10.3234340243053,12.3395194141317,0.254530171116244
49,1587604.08463967,3751.56477768907,2747.88770798229,5013.54371486565,11.8471816708403,8.67763901642894,10.2624103436346,0.230198354585389
