"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
0,2876761.47149239,1242786.44674672,1666.83002912149,990.711444959414,704.71968186429,568.783536080794,1914.47071397924,275.718340560672,1169.56212616956,2875.05644479347,0.677658294627838,0.40277881759385,0.540218556110844,1.63029526788013,1.3158212140004,1.47305824094026,0.163999854230272,0.146032029127561,638.156904659747,91.906113520224
1,1367036.050111,526356.914741426,1353.23027467297,722.489436989454,329.755295600246,329.755287697656,1274.92293565333,183.277184327709,555.775515336286,1184.58806717972,0.550162706546012,0.293731785006865,0.421947245776438,0.742127969287282,0.742127951502175,0.742127960394729,0.0817809538874171,0.0513234518641505,424.974311884444,61.092394775903
2,2342173.41392872,907343.252744642,1657.77204538646,960.692366569768,475.804008578776,475.804003408649,1997.94773867106,287.280078866181,952.222610389453,1985.53192903057,0.673975724897626,0.390574407358603,0.532275066128115,1.04119807816521,1.04119806685146,1.04119807250834,0.138172601800515,0.0959865004980318,665.982579557021,95.7600262887269
3,1896043.77002846,746017.493356743,1264.47624143444,749.875368643066,597.477453034918,437.465272963917,1672.7203439219,239.115615858677,770.846316234424,1668.6526514094,0.514079299266947,0.304865675935721,0.409472487601334,1.33640610983273,0.97849929007188,1.15745269995231,0.10999827981037,0.0866358178782658,557.573447973968,79.7052052862258
4,3103568.6320622,1426228.4177551,1454.22397657782,1062.04590936237,1120.62421494405,833.550142162898,2003.97782645204,287.922061407475,1261.77174020089,3121.42782447722,0.591222213877461,0.431780209847971,0.511501211862716,2.4525858283031,1.82429867085357,2.13844224957834,0.175672501031699,0.157156378925373,667.992608817345,95.9740204691585
5,1766033.21931868,884745.661679018,924.415704288984,610.845695852459,657.709688695515,495.944046889809,1273.75654856217,184.890177647769,717.9898602441,1814.72180507879,0.375825944308089,0.248342449619955,0.312084196964022,1.34904319420145,1.01724203346981,1.18314261383563,0.103101293728035,0.0930787712871095,424.585516187389,61.6300592159231
6,2279502.06216608,830788.81080806,674.541018463595,448.602617940392,242.67231795531,242.672309006583,1895.59736392298,271.085656294847,926.743250997378,1979.29863294305,0.274238109610663,0.182381694430651,0.228309902020657,0.578150525059292,0.57815050373955,0.578150514399421,0.1288655494067,0.0935036393454475,631.865787974328,90.3618854316156
7,1650522.98334323,609864.809929857,1620.06909743506,930.456017073926,753.678039616466,583.015202435252,1506.40523145719,218.832221625327,671.02858155605,1337.2288261409,0.658647398094773,0.378281664441125,0.518464531267949,1.65256296771807,1.27835664901613,1.4654598083671,0.0930197594275066,0.0641347510036184,502.135077152395,72.9440738751091
8,2946776.1780293,1282828.46945324,2119.34272032256,1197.08363934051,1390.555314725,699.953341646796,2005.43717109218,288.385952172195,1198.02696409648,2870.28045511363,0.861629649390621,0.486680491345558,0.67415507036809,3.11131521996132,1.56611927772118,2.33871724884125,0.172760521685938,0.145113521248292,668.479057030728,96.128650724065
9,2168984.10778428,931435.955457802,1048.77714043968,708.542959232141,326.257288934967,326.257280250172,1730.46314515355,249.283276009618,881.811609988004,2110.73969426517,0.426385723809883,0.288061772967265,0.357223748388574,0.739336082382505,0.739336062701773,0.739336072542139,0.131379750775634,0.10370472713372,576.821048384516,83.0944253365393
