"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
0,35734461.9320702,13960836.5813469,19072.4387645869,12807.7190592377,11392.4566476552,8717.0494825718,21807.3186488704,3142.03769490697,1067.4107694578,2335.57899964531,0.569705696866081,0.382574593735551,0.476140145300816,1.90590172340991,1.45831932003029,1.6821105217201,0.147862452710225,0.119201914077651,7269.10621629012,1047.34589830232
1,34492705.2496734,13367642.3570078,20905.5129768268,12807.0425488433,10902.4596281778,7904.58978281094,23133.6529531115,3331.67889467555,1030.3187192583,2236.81687746235,0.624460772207072,0.382554385946163,0.503507579076617,1.82431613973991,1.32268049693437,1.57349831833714,0.144187201053027,0.113765443777066,7711.21765103716,1110.55963155852
2,36335699.9184513,15030217.7220924,19269.9978951159,12306.039587185,11323.8818860991,8124.36057995807,22300.6124921741,3212.55226493966,1085.37012485233,2494.83664535217,0.575606911887376,0.367589113548305,0.47159801271784,1.87962915903435,1.3485468321022,1.61408799556827,0.151808649004171,0.129205526233996,7433.53749739136,1070.85075497989
3,37404748.3842477,15376554.1714751,24664.0565115879,15405.0320053283,16357.5549766486,10870.2120609824,22980.1387463997,3310.09042309797,1117.3032724014,2540.34213164684,0.736730822728793,0.460157958935776,0.598444390832284,2.70241210186063,1.7958547390075,2.24913342043406,0.154805931806426,0.131744204400101,7660.04624879991,1103.36347436599
4,37654673.7216328,15745711.7353464,20383.3390915985,12998.5526713995,12302.0994783274,8888.11791098824,22592.666596756,3256.21273130802,1124.76869883464,2615.8915291209,0.608863111056279,0.388274913308945,0.498569012182612,2.04379188166633,1.47661488689577,1.76020338428105,0.158488292990845,0.134594412645122,7530.88886558532,1085.40424376934
5,35290010.4297298,13697550.1961872,19722.7230726132,12444.6380404741,11666.1698200464,8191.51480729894,21710.5633908008,3132.65897322338,1054.13472458544,2236.08526159817,0.589130096621035,0.371729136195132,0.480429616408083,1.904468318807,1.33724098604603,1.62085465242651,0.144859079629779,0.11427966013916,7236.85446360027,1044.21965774113
6,33499217.8353367,13319070.9470061,20404.2531646637,12395.2356045977,11335.9596909911,7896.39804291666,21613.2045226474,3115.70513834333,1000.64262766359,2273.74905397545,0.609487827523691,0.370253454479478,0.489870641001585,1.93520461943997,1.34802402144507,1.64161432044252,0.140430204616868,0.115565535019253,7204.40150754912,1038.56837944778
7,35819919.3018599,14775256.581203,19053.3757201607,12399.7612277652,11502.3109029022,8426.58456456154,22065.3644131492,3182.25795225651,1069.9634346418,2442.52434542441,0.56913627178399,0.370388637679289,0.46976245473164,1.90146778531895,1.39301391042533,1.64724084787214,0.149478677430338,0.126272893085201,7355.12147104973,1060.75265075217
8,38053363.9648914,16039238.0012022,23720.5698865498,14855.3530345061,14402.159163037,9939.78356418227,23208.7341436076,3344.1030088454,1136.6778262238,2642.47022800866,0.708548286041391,0.44373870364335,0.57614349484237,2.37276090076816,1.6375829162977,2.00517190853293,0.159829240811001,0.137160101962051,7736.24471453586,1114.70100294847
9,37528624.3522016,15402467.2701951,22465.8578667592,14502.6075583353,13745.3088718346,9815.27393417778,22975.9309859066,3310.2830282089,1121.00352518602,2595.47036235139,0.671069251796001,0.433201975236524,0.552135613516262,2.31622253580419,1.65397219468955,1.98509736524687,0.157229577546861,0.133821485334605,7658.64366196887,1103.42767606963
10,35277058.304855,13804288.653348,21025.0515417165,13421.4839918416,13037.1516118168,9152.91915248888,21525.4245975802,3101.35393186634,1053.74783649951,2254.36418585257,0.628031464044305,0.400908136863256,0.51446980045378,2.12908382440133,1.49475381539277,1.81191881989705,0.145054897625493,0.113003363715501,7175.14153252673,1033.78464395545
