"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
0,25419684.14899,9492433.00280679,13302.8108687046,8553.76873779759,6991.80581280417,5438.24482729178,15463.1526228857,2227.57236004486,1258.17160728137,2631.88722324424,0.658435361900557,0.423376974240474,0.540906168070515,1.93855931147294,1.50781649694985,1.72318790421139,0.17506324601699,0.134059709683488,5154.38420762857,742.524120014954
1,21814051.7338545,9093969.56894849,12525.5700339587,8005.30423177243,7408.84146590046,5410.90004932939,14538.2924507047,2092.76034507887,1079.70737836226,2490.76688316883,0.619965082546759,0.396230198338859,0.508097640442809,2.02922352290724,1.48200305145342,1.75561328718033,0.154206243808904,0.129589355430865,4846.09748356823,697.586781692956
2,25915868.4208756,10945317.2615996,15847.0245979513,9922.39030376444,9271.73997312389,6804.68378996679,15329.0499650101,2210.27156591748,1282.73072293391,2978.40487478363,0.784363656612309,0.491118209155892,0.6377409328841,2.52299635302143,1.85166888149537,2.1873326172584,0.178956378011004,0.153492662629059,5109.68332167005,736.757188639159
3,22833097.8199861,9722408.5525047,13322.4235852695,8533.33382518873,8088.0482214456,5851.38454807714,14304.2489678582,2057.49121926247,1130.14604017124,2656.69455762332,0.659406112086872,0.422365528673682,0.540885820380277,2.21009779373794,1.59891876580654,1.90450827977224,0.160850012462027,0.13863847334229,4768.08298928605,685.830406420824
4,26370593.7353918,11182905.9659988,16044.7961828289,10106.5043663284,10026.1714127525,6973.71502877145,15294.2142414772,2201.57063920292,1305.2377877929,3141.45006520566,0.794152550579739,0.500231110978805,0.647191830779272,2.81650556072983,1.95902367403151,2.38776461738067,0.184735529225499,0.162202791974818,5098.07141382574,733.856879734307
5,23067533.2815851,8793068.46095689,11273.0721223895,7560.3435433165,6693.80996263135,5040.81104593814,14760.8869918387,2129.43134199836,1141.74964782407,2379.87979756177,0.557971499098629,0.374206442996727,0.466088971047678,1.81170693365106,1.36431604334954,1.5880114885003,0.157494892451799,0.119599865665509,4920.29566394625,709.810447332787
6,23856036.6866962,9471386.27906204,12464.7878389911,8092.40081663051,7467.78332088349,5646.30150780323,15111.3503227841,2177.22617223611,1180.77737888244,2677.8520183759,0.616956609605543,0.400541127204746,0.508748868405145,2.11137187835212,1.59638298381461,1.85387743108337,0.166451979382402,0.135201306520183,5037.11677426138,725.742057412037
7,22794611.5584756,9662479.02602904,15969.3705684219,9679.16376701539,9817.64037195414,6602.19798321612,14595.5403152671,2105.71888421202,1128.2411258057,2617.88842577344,0.790419287571732,0.479079478820716,0.634749383196224,2.65992681887427,1.78875603645468,2.22434142766447,0.159287641001887,0.134450824247818,4865.18010508904,701.906294737339
8,26337513.5851169,11178817.1123274,15363.7280344248,9849.08810831849,9276.47042377443,6657.40969432647,15378.9425804528,2214.95220890695,1303.60045407952,3106.52017098519,0.760442430425482,0.487490046802617,0.62396623861405,2.57787046674414,1.8500506175319,2.21396054213802,0.184321136301933,0.161271597935774,5126.31419348427,738.317402968983
9,23522401.0481068,10072919.0708086,14494.5268134147,9267.02907684127,8964.37209380238,6229.41514876503,14648.6868537185,2109.53818117091,1164.26376348147,2831.11859195367,0.717420483697925,0.4586804776957,0.588050480696813,2.51954774197519,1.75085423805066,2.13520099001292,0.167141481380246,0.147470700983557,4882.89561790616,703.179393723636
10,25036843.1558769,9388162.89724697,12957.8379196083,8524.9882466901,7411.97744499431,5430.31511136572,15507.9586119616,2234.61266148768,1239.22252574223,2561.77572132854,0.641360595460143,0.421952456274679,0.531656525867411,2.02252816375707,1.48178611339814,1.7521571385776,0.171051606354518,0.127665270641616,5169.31953732054,744.87088716256
