"admin_name","pop_size","pfpr_u1","mortality_pp_u1","node_id.x","lon.x","lat.x","cluster_id.x","seasonality_archetype.x","deaths_u1","cases_pp_u1","node_id.y","lon.y","lat.y","cluster_id.y","seasonality_archetype.y","clinical_cases_u1","mortality_rate_u1","incidence_u1","frac_u1","pop_size_u1"
"Busoni",218791.205835172,0.270044628237335,0.00168628140854458,5,30.25180248,-2.47173859,1,"Gitega",368.943542752902,0.683660432565769,5,30.25180248,-2.47173859,1,"Gitega",149578.89042286,13.4464093311064,5462.15492365332,0.0418824534965005,9163.51250383485
"Buye",194429.100944065,0.078307721990323,0.000604971045691659,7,29.8634721,-2.84840217,1,"Gitega",117.62397651102,0.226633484203128,7,29.8634721,-2.84840217,1,"Gitega",44064.144577435,4.88532309360166,1833.38710049985,0.0410561012249272,7982.50084943112
"Gashoho",175175.077974295,0.203332067910597,0.00116958965159477,12,30.20685363,-2.81184823,1,"Gitega",204.882958416043,0.599249603914846,12,30.20685363,-2.81184823,1,"Gitega",104973.596091849,9.55367644073354,4881.66134919396,0.041033596482246,7188.06346334319
"Gihofi",293350.813541338,0.125786856864715,0.000843793416092968,13,30.11562611,-3.91875872,1,"Gitega",247.527485071697,0.315456062727263,13,30.11562611,-3.91875872,1,"Gitega",92539.29263759,6.7536196077969,2514.42276634832,0.0419803692305704,12314.9754665536
"Kinyinya",335969.532434028,0.292214379840882,0.00183227898949213,22,30.41267628,-3.52205978,1,"Gitega",615.589915388365,0.785706501945483,22,30.41267628,-3.52205978,1,"Gitega",263973.446089,15.2049007090859,6498.37088740917,0.0403641132476416,13561.1122549243
"Kiremba",294281.031087941,0.286803373366058,0.00194508630014527,23,30.02654773,-2.83495738,1,"Gitega",572.402001961779,0.74984957550563,23,30.02654773,-2.83495738,1,"Gitega",220666.506240652,15.4714409220611,6018.11291228872,0.0414946011065833,12211.0739982282
"Kirundo",256307.246344997,0.286196411792702,0.0017733843382487,24,30.06174634,-2.49096793,1,"Gitega",454.531256447868,0.785450732161789,24,30.06174634,-2.49096793,1,"Gitega",201316.71430005,14.4965009437564,6390.3674072633,0.0410105402477368,10511.2986420181
"Mukenke",165895.919547284,0.257382195134116,0.00149305983775897,29,30.2945314,-2.59545461,1,"Gitega",247.692534724143,0.837123893233327,29,30.2945314,-2.59545461,1,"Gitega",138875.438042945,12.1683701414676,6789.44573802514,0.0411321381128595,6823.65387517872
"Murore",149893.801163942,0.262388545916074,0.00165511487318502,31,30.73189158,-3.13601584,1,"Gitega",248.091459704678,0.67978999137788,31,30.73189158,-3.13601584,1,"Gitega",101896.305800834,13.2852211652629,5409.56955357047,0.041838964341975,6271.40140198125
"Muyinga",326814.238908712,0.1505159229265,0.00116184679478828,34,30.3660234,-2.92732926,1,"Gitega",379.708075967258,0.400383683640397,34,30.3660234,-2.92732926,1,"Gitega",130851.088840403,9.47830197670245,3214.15055692671,0.0414910619294976,13559.869826003
"Vumbi",220988.71850429,0.311269122314,0.00214294038524515,43,30.03599031,-2.63887858,1,"Gitega",473.565649566416,0.807376613140647,43,30.03599031,-2.63887858,1,"Gitega",178421.123088286,17.4308639503515,6576.35349545937,0.0409008119534564,9038.61801937928
