"admin_name","pop_size","pfpr_u1","mortality_pp_u1","node_id.x","lon.x","lat.x","cluster_id.x","seasonality_archetype.x","deaths_u1","cases_pp_u1","node_id.y","lon.y","lat.y","cluster_id.y","seasonality_archetype.y","clinical_cases_u1","mortality_rate_u1","incidence_u1","frac_u1","pop_size_u1"
"Busoni",218791.205835172,0.190793636287262,0.00147023739432581,5,30.25180248,-2.47173859,1,"Gitega",321.675012368506,0.506628362659264,5,30.25180248,-2.47173859,1,"Gitega",110845.830376519,11.7630158970811,4047.74428026519,0.0418824534965005,9163.51250383485
"Buye",194429.100944065,0.0543878203715647,0.000571023121483141,7,29.8634721,-2.84840217,1,"Gitega",111.023512128241,0.165550364175047,7,29.8634721,-2.84840217,1,"Gitega",32187.8084675169,4.6342841471683,1339.24562484132,0.0410561012249272,7982.50084943112
"Gashoho",175175.077974295,0.139738660260866,0.00104047374499418,12,30.20685363,-2.81184823,1,"Gitega",182.265069409563,0.433879761296037,12,30.20685363,-2.81184823,1,"Gitega",76004.9210165018,8.50844727618369,3534.51057302216,0.041033596482246,7188.06346334319
"Gihofi",293350.813541338,0.0877270692899585,0.000770270367054152,13,30.11562611,-3.91875872,1,"Gitega",225.959438822121,0.231236630166589,13,30.11562611,-3.91875872,1,"Gitega",67833.4535799264,6.15664389610846,1843.13036268138,0.0419803692305704,12314.9754665536
"Kinyinya",335969.532434028,0.204141731384036,0.0015747370064857,22,30.41267628,-3.52205978,1,"Gitega",529.063655775562,0.576756606886619,22,30.41267628,-3.52205978,1,"Gitega",193772.647543934,13.0616359657256,4770.20151167459,0.0403641132476416,13561.1122549243
"Kiremba",294281.031087941,0.204108400712178,0.00165830460759643,23,30.02654773,-2.83495738,1,"Gitega",488.00758978136,0.559079021737287,23,30.02654773,-2.83495738,1,"Gitega",164526.350976486,13.2514978399119,4487.03418607409,0.0414946011065833,12211.0739982282
"Kirundo",256307.246344997,0.198246052937945,0.00152855335258481,24,30.06174634,-2.49096793,1,"Gitega",391.779300692427,0.572472745171766,24,30.06174634,-2.49096793,1,"Gitega",146728.912922536,12.4920174061722,4657.59470644767,0.0410105402477368,10511.2986420181
"Mukenke",165895.919547284,0.181483600892625,0.00133490969080431,29,30.2945314,-2.59545461,1,"Gitega",221.456070668562,0.619309132663879,29,30.2945314,-2.59545461,1,"Gitega",102740.858047305,10.910861100566,5022.87150716035,0.0411321381128595,6823.65387517872
"Murore",149893.801163942,0.182779132228065,0.00142548946930931,31,30.73189158,-3.13601584,1,"Gitega",213.672035073943,0.497804545769427,31,30.73189158,-3.13601584,1,"Gitega",74617.8156020689,11.4302356747439,3961.38270433337,0.041838964341975,6271.40140198125
"Muyinga",326814.238908712,0.103944786773814,0.00100722374863095,34,30.3660234,-2.92732926,1,"Gitega",329.175062819605,0.291075394788129,34,30.3660234,-2.92732926,1,"Gitega",95127.5836127353,8.19954433093099,2336.65901107548,0.0414910619294976,13559.869826003
"Vumbi",220988.71850429,0.215427614977317,0.00179955744483172,43,30.03599031,-2.63887858,1,"Gitega",397.681893608217,0.588027391694471,43,30.03599031,-2.63887858,1,"Gitega",129947.419735981,14.6536935978151,4789.68046616199,0.0409008119534564,9038.61801937928
