"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
0,2863716.50581025,1257736.00441769,1725.48865900154,1085.22677626884,609.974892292371,609.974871132502,3245.26247045505,466.994731816393,1164.25862848642,2796.01151019791,0.701506261364234,0.441204510143372,0.571355385753803,1.35600540478351,1.35600535774404,1.35600538126377,0.151308094054583,0.12696866606343,1081.75415681835,155.664910605464
1,2595913.06459919,979914.876732434,1508.26341217891,1045.89767991344,738.038942750592,577.044313795088,3254.81422429592,468.591783316641,1055.38176636137,2202.49995028893,0.613192223495886,0.425215064369165,0.519203643932525,1.65884891975502,1.29699028214185,1.47791960094843,0.132793398423167,0.0932224521272889,1084.93807476531,156.197261105547
2,2603584.23501104,996904.981078265,1622.70967163131,1141.58488786218,1243.73819261892,907.305159590192,3361.6940783293,484.683785772237,1058.50052002447,2156.15581697572,0.659720937073195,0.464117189374927,0.561919063224061,2.69001899851036,1.96236485397688,2.32619192624362,0.14169239146421,0.0989447743149234,1120.56469277643,161.561261924079
3,3172007.90530001,1321088.31983292,1986.69650310452,1228.77608683047,1165.201966793,850.491871674773,3345.27849940266,482.112160166986,1289.59607764239,2756.78192750378,0.807701649667586,0.499565218368352,0.653633434017969,2.43148597692019,1.7747644772292,2.10312522707469,0.163083165471278,0.127537924104374,1115.09283313422,160.704053388995
4,3365608.67380877,1511545.49615675,1649.67800027808,1203.87299093049,791.289171916955,791.289148615289,3369.50880800088,485.754109809788,1368.30546272314,3380.50507726226,0.670685049358458,0.489440737045306,0.580062893201882,1.76968345977628,1.76968340766312,1.7696834337197,0.175610529428372,0.153512849226485,1123.16960266696,161.918036603263
5,3027895.51347196,1305183.73430859,1651.36210440528,1176.442581275,989.84934826832,818.773254959989,3281.57630871229,474.192937140931,1231.00644584148,2820.47234629548,0.671369730526227,0.478288763356732,0.57482924694148,2.13904191448445,1.76935037021768,1.95419614235106,0.161370181737189,0.141552267192709,1093.85876957076,158.06431238031
6,2304517.03847386,882510.978625955,1647.21201070862,1036.56736767509,1287.64978538765,808.428401282677,3148.2886177642,450.662535984133,936.913217873855,1990.63225292447,0.669682488655196,0.42142177808963,0.545552133372413,2.90448193319341,1.82352819256602,2.36400506287972,0.120296097267966,0.0885461743293523,1049.42953925473,150.220845328044
7,2951718.92425622,1066827.21713142,2050.54497256221,1231.07879292371,1253.24330006974,745.52868284275,3369.25258818324,486.163044263326,1200.03646291783,2327.27660007021,0.833659572293984,0.500501395337153,0.667080483815569,2.73394206635411,1.62636594792403,2.18015400713907,0.16043557812813,0.106869891351212,1123.08419606108,162.054348087775
8,3249649.03546571,1447196.97102525,1788.11745715824,1183.54762433789,687.316195289687,687.316185377295,3372.29992652144,486.20050434053,1321.16147719833,3103.18126284199,0.726968320369632,0.481177355043429,0.60407283770653,1.473791599605,1.47379157835015,1.47379158897757,0.174371394379627,0.150741258484978,1124.09997550715,162.066834780177
9,3406907.61989822,1528179.25284052,1413.02442059814,1101.52478574499,950.010208274338,789.447508938053,3364.65603560909,485.122187355363,1385.09576100668,3377.72620433514,0.57447232315265,0.447830549460202,0.511151436306426,2.0998023424998,1.74491149054059,1.9223569165202,0.179373994290298,0.148676136436145,1121.5520118697,161.707395785121
10,2575597.21023214,1074919.42326741,1932.79943277722,1291.25286184316,1085.82853767369,911.407731467727,3145.30465753428,452.250333137878,1047.12225160356,2436.19787362844,0.785789519381161,0.524965471585086,0.655377495483124,2.46092229551948,2.06561490038107,2.26326859795027,0.139862022020971,0.101686319776947,1048.43488584476,150.750111045959
11,2167694.25085251,758181.547185996,1943.71856630508,1189.41852667565,920.700098492807,746.965559747943,3068.59821180136,439.47850038369,881.28721203895,1845.56715291149,0.790228749102265,0.483564200490551,0.636896474796408,2.24117016005911,1.81826517216563,2.02971766611237,0.118561391171365,0.0832154543490804,1022.86607060045,146.49283346123
12,2886106.29218751,1034088.12465711,1813.21475957597,1032.68827010378,1133.00933562651,661.426376110289,3379.1642268174,487.506523240469,1173.36131093659,2396.38437695509,0.73717175734822,0.419844711082832,0.578508234215526,2.62562329660246,1.53278216471377,2.07920273065811,0.156249922801474,0.111128266627141,1126.3880756058,162.50217441349
13,3273563.33335598,1394996.28895192,1534.71655659231,939.802573263579,688.129881431612,530.820102432925,3364.4885118794,485.039501672543,1330.8839576207,3000.02598166932,0.623946884989583,0.38208155478235,0.503014219885967,1.4798659605101,1.14156153066729,1.3107137455887,0.173495003260185,0.142889422683159,1121.49617062647,161.679833890848
14,2762337.6984646,1131251.81070753,1644.63072380231,1180.41997089194,1187.82899008822,869.645465196291,3291.65175921532,473.803555515223,1123.04255456347,2771.03400834053,0.66863305322848,0.479905791498655,0.574269422363567,2.90962144455584,2.13022170346924,2.51992157401254,0.157377058615323,0.129298925117302,1097.21725307177,157.934518505074
15,2672962.85398737,1039862.82593382,2136.14899246299,1084.8964777172,693.805020401964,529.921402228709,3120.91792678884,453.809437829137,1086.70675329225,2469.08967666293,0.868462325499617,0.441070225573671,0.654766275536644,1.64739691694722,1.25826544718593,1.45283118206658,0.145399117282125,0.107365957932934,1040.30597559628,151.269812609712
