"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
0,2377932.38869506,1108236.88884407,2069.31496380594,1114.01940446787,1703.98433106616,819.944508089586,2823.97507161127,407.551092359237,966.760604926645,2450.10131962292,0.841290608472947,0.45291030076528,0.647100454619113,3.76718578869592,1.81274160922694,2.78996369896143,0.130118666535327,0.110874138404001,941.325023870423,135.850364119746
1,1384576.32609518,551096.789642002,533.796383062159,351.381657927139,213.310843874665,213.310843874665,1958.19602880931,281.394837870715,562.906604471394,1232.4666647849,0.217017656452387,0.142856014659099,0.179936835555743,0.477045973146463,0.477045973146463,0.477045973146463,0.0738282888896691,0.0492719174470962,652.732009603103,93.7982792902385
2,2287252.66705879,825899.353919742,1300.22409727971,867.497824166383,730.625629888785,601.88805328104,3324.61338195161,480.182994967996,929.894299155956,1895.31903748226,0.52861277334977,0.352685688310876,0.440649230830323,1.6766796814025,1.38124564500815,1.52896266320533,0.126514605164463,0.0819784090526411,1108.20446065054,160.060998322665
3,1606426.90078749,754586.80068317,999.838640714419,622.566495934618,335.540816363497,335.540810580979,2371.38966341627,338.26713267035,653.101093100467,1660.10745150445,0.406489525825649,0.25310760098907,0.329798563407359,0.738197128580321,0.738197115858655,0.738197122219488,0.0898247101612088,0.0745516088492515,790.463221138758,112.755710890117
4,2668753.50936821,1199305.12094067,1629.27631677413,1170.91340986035,748.577991543968,748.577972403049,3309.71102312935,475.985828053838,1084.99542265488,2795.96711561191,0.662390640324973,0.476040850368552,0.569215745346762,1.74517677885517,1.74517673423151,1.74517675654334,0.146556415720549,0.121614724718312,1103.23700770978,158.661942684613
5,1931530.04348712,980752.235161167,1797.53728767226,1128.94241481391,1352.82904204159,859.930071728223,2047.80760947467,296.120178685803,785.273442656766,1999.20673724828,0.730798000763127,0.458977327135773,0.59488766394945,2.75766379951225,1.75291774143033,2.25529077047129,0.106051856806994,0.099887611676346,682.602536491557,98.7067262286009
6,1877848.9457777,622213.662901358,1202.60477418703,765.686186563898,638.946645647652,472.177713686884,2967.06763572791,429.317321924045,763.449117145493,1530.05512587516,0.488925137025763,0.311293645027776,0.400109391026769,1.57120238372026,1.16110907591106,1.36615572981566,0.10783316419142,0.0683666330855478,989.022545242636,143.105773974682
7,1368745.55735296,474601.388031155,1320.93503870423,762.681860088786,626.55599342258,488.791030847222,2749.48688368591,396.195066462275,556.470524270612,1054.36734224264,0.537032912776506,0.310072220695325,0.423552566735915,1.3919474199005,1.08589084040478,1.23891913015264,0.0716528032979005,0.0444412249575687,916.495627895303,132.065022154092
8,2927557.17757972,1270522.02842802,2103.12320063581,1351.00805194868,1446.55610099139,999.403072009945,3293.71895413423,475.494912830856,1190.21338092269,2714.14540184975,0.855035520500104,0.549259250503511,0.702147385501808,3.09019718050949,2.13496908498818,2.61258313274884,0.155554091096191,0.128558406385619,1097.90631804474,158.498304276952
9,2161623.65892476,1039568.55664905,924.971452595933,554.274153920551,504.423322823002,373.094612845689,2580.39101778404,371.339295618441,878.819181765153,2308.02847780572,0.376051886631751,0.225342999189938,0.300697442910844,1.11991016513393,0.828336895971026,0.97412353055248,0.120409254906979,0.104882918922952,860.130339261347,123.779765206147
10,2365287.08307497,1115528.51273848,1219.46266600808,810.923225047894,547.29273951722,547.292727417905,2569.48834214199,371.798620787365,961.619591090897,2526.62613765602,0.495778799380581,0.329684994965979,0.41273189717328,1.23959551443376,1.23959548702931,1.23959550073153,0.122644037515743,0.106598000814019,856.496114047331,123.932873595788
11,941096.188916191,394124.696035041,878.532393233626,526.453158553263,515.650915802722,344.194272435445,1939.32063218005,281.376766879541,382.607480858637,876.382846256231,0.357171848942384,0.214032230877597,0.285602039909991,1.14661076002617,0.7653566477226,0.955983703874384,0.051518472204498,0.0369397800961601,646.440210726682,93.7922556265137
