"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
0,36630608.8019985,13557224.8514299,23417.1580108043,14495.5327866671,13576.771173999,9542.08371801539,38747.5066371222,5596.97327853566,1094.17923799654,2217.76571147859,0.699485183192165,0.432990647373677,0.566237915282921,2.22096320686974,1.56094675110744,1.89095497898859,0.147788155719069,0.112325780332593,12915.8355457074,1865.65775951189
1,31971076.8215239,12341686.933222,20887.1476108562,13684.4721321865,12755.9345511766,9441.26188788378,37186.9343164317,5374.68245254315,954.996098033603,2065.26053330315,0.62391218721762,0.408763757406177,0.516337972311899,2.13458081836672,1.57990278534273,1.85724180185473,0.132439517073195,0.10697969505423,12395.6447721439,1791.56081751438
2,37495218.9622178,14648988.7033442,24897.0409841595,15849.8763162199,13880.0316216369,10337.681197059,40267.3540262128,5817.63919585101,1120.00568525508,2421.44788995083,0.743690214914747,0.473445737245699,0.608567976080223,2.29434085610228,1.70879757152712,2.0015692138147,0.154499453956582,0.126107514978185,13422.4513420709,1939.21306528367
3,31445064.8155569,12910040.7567084,21332.5477282115,13791.7672954472,12935.1715618803,9528.65244709847,35553.8376464819,5135.77126831187,939.283789811342,2143.38185112846,0.637216567814889,0.411968731164924,0.524592649489906,2.14755417813537,1.58198886476861,1.86477152145199,0.131370417301103,0.113635318986246,11851.279215494,1711.92375610396
4,38848570.7713193,15630843.7864255,26765.8162354346,17245.5089023473,15651.8699632843,11739.61784371,40463.8006087558,5840.60280414275,1160.43115181579,2615.05142754056,0.799511702662321,0.515134157109708,0.657322929886015,2.61856912207847,1.96404652368386,2.29130782288116,0.161047432159625,0.136840980469142,13487.9335362519,1946.86760138092
5,30765731.4419355,11661718.1031261,21284.7134563489,13732.2928006413,11968.9670570129,9175.26760406047,34484.1228962962,4986.6485590335,918.991676264649,1909.88125686285,0.635787728140951,0.410192190737801,0.522989959439376,1.96020051625755,1.50266637117549,1.73143344371652,0.126290699505816,0.0996656601146255,11494.7076320987,1662.2161863445
6,36499217.9180533,13391181.4894903,25357.7097592872,15873.398147812,13196.619420629,9933.21047236597,41198.9146032349,5947.40836180919,1090.25450996234,2253.96136177835,0.757450679887158,0.474148349094352,0.615799514490755,2.22121328902427,1.67192660488519,1.94656994695473,0.149506141361729,0.114377978544061,13732.9715344116,1982.4694539364
7,33509474.7469016,13475744.4295119,23610.6549353507,14533.5190841571,12621.0384304688,9240.95903735688,36405.371175322,5264.46919172019,1000.94900803911,2217.27753557812,0.705265057575342,0.434125321882274,0.569695189728808,2.0766455711538,1.52049268876429,1.79856912995905,0.135857980211841,0.110261351609797,12135.1237251073,1754.82306390673
8,38296317.264871,15369864.8789625,23801.9181574138,15472.6235374505,14070.4582749296,10533.2677278356,40538.6193556198,5853.75559249126,1143.93499353099,2564.60042696672,0.710978209865683,0.462176960353749,0.586577585109716,2.347782728324,1.75757061788728,2.05267667310564,0.158951939829259,0.136318460177166,13512.87311854,1951.25186416375
9,32608950.5675216,13573571.9762044,23623.085167369,14784.0612592026,13868.1552015711,10129.2352927233,36040.7472754682,5197.09093113837,974.049786524187,2256.82978954757,0.705636356394628,0.441609173642944,0.573622765018786,2.30580910020169,1.68415211515657,1.99498060767913,0.136501380009721,0.11847134414506,12013.5824251561,1732.36364371279
