"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
0,38884199.7344208,14448968.69916,25325.5328405094,16606.8642039677,14299.814822905,11058.9222539184,40372.7034754275,5838.16849159659,1161.49541126907,2388.37270917718,0.756489535160909,0.49605743978839,0.62627348747465,2.3637180050988,1.82800784292006,2.09586292400943,0.168427863043423,0.140161144148112,13457.5678251425,1946.05616386553
1,39759579.5246169,14368634.5613099,27010.1382533206,17454.290610858,14792.9943833609,11480.5575041712,44388.4210902978,6414.16272106037,1187.64355412337,2381.90814446574,0.806809754431029,0.521370597567488,0.664090175999258,2.45225485082914,1.90314767248836,2.17770126165875,0.174931832332322,0.140675197572779,14796.1403634326,2138.05424035346
2,40963572.5291991,15796597.7375494,30384.5276793786,19217.1212764236,17823.3619975,12818.8657315241,42725.669744757,6169.71876698334,1223.60757960347,2600.86279873186,0.907604881011245,0.574027454154053,0.740816167582649,2.9345635014455,2.11058808719351,2.5225757943195,0.180263925586129,0.15645548864999,14241.889914919,2056.57292232778
3,40052678.4002446,15424339.8139233,28395.5081723976,18268.6844772625,17511.3862726611,12729.1794619554,42105.1197453453,6083.02623643053,1196.39860119685,2554.13976535245,0.848191621999561,0.545697052663776,0.696944337331668,2.89973694595841,2.1078440851478,2.50379051555311,0.177453221485178,0.15622656258489,14035.0399151151,2027.67541214351
4,39884475.0253748,15832769.3103449,28550.6236544976,18343.0531044418,17513.6728206423,12604.7222880172,41570.5383921069,6004.49042882998,1191.37426099169,2633.05604865377,0.852825018646695,0.547918490157697,0.700371754402196,2.91259736377291,2.09621826804357,2.50440781590824,0.178088826281015,0.159908647939949,13856.8461307023,2001.49680960999
5,38494395.7503568,14257991.4964921,27704.9676803154,18113.5243983627,15507.385768603,11873.0183068517,40286.4687122332,5833.7006601806,1149.85172201027,2292.88441089364,0.827564744801959,0.541062323882286,0.684313534342122,2.49380448089701,1.90934737145359,2.2015759261753,0.165389856276323,0.135706726670147,13428.8229040777,1944.56688672687
6,38869257.5238955,14056071.0305185,26578.8602568054,17254.3233802716,14610.8735646323,11311.3279700511,42959.4181490138,6214.82775506454,1161.04907807776,2359.74963673872,0.793927210432308,0.515397451088541,0.654662330760425,2.45289053475312,1.89895896302795,2.17592474889054,0.17008545345163,0.136272277433107,14319.8060496713,2071.60925168818
7,40583902.1449063,15404894.976048,25961.7273246462,17012.7763825029,15353.2134377172,11541.017756714,42810.746270778,6182.6911551532,1212.26658731965,2555.06215799446,0.775493063047468,0.50818229090959,0.641837676978529,2.54649023698745,1.91419790792283,2.23034407245514,0.176949204477376,0.149507733537314,14270.248756926,2060.89705171773
8,40046751.8547136,16121808.1166328,28311.438477782,18238.8750005167,16885.5895679469,12432.000151619,42036.6503288688,6065.43280608103,1196.22157156821,2664.31152250661,0.845680407542541,0.544806624914481,0.695243516228511,2.79053506435075,2.05452893448037,2.42253199941556,0.178547684875581,0.162205362448253,14012.2167762896,2021.81093536034
9,39957184.9243982,15576470.0855886,27906.4383767136,17936.7785153533,16593.5878451715,12176.9076707705,42143.9754229519,6092.93775283111,1193.54615123622,2625.82206547964,0.83358280074679,0.535782813606178,0.684682807176484,2.79728390770888,2.05273676741435,2.42501033756161,0.177807737972072,0.157399939693059,14047.9918076506,2030.9792509437
