"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
0,4926737.83762377,2556621.34135743,2680.51003660435,2193.03659671181,2130.83595054629,1836.05495345227,4150.61850517267,598.906179974121,1657.66312646397,4545.69722325761,0.901891432879389,0.737874841562213,0.819883137220801,3.788646721721,3.26452328651259,3.52658500411679,0.245047944989238,0.273750266919685,1383.53950172422,199.635393324707
1,4715351.58021415,2274152.10516384,3874.12121178544,2463.22207140382,2882.34908815478,1952.51891052855,4150.42461729798,598.853113094846,1586.53955222521,4202.60897169097,1.30349697749008,0.828782154568159,1.06613956602912,5.32655054598991,3.6082342391044,4.46739239254716,0.234621418229076,0.252632679242217,1383.47487243266,199.617704364949
2,4903904.73980416,2582491.14433268,4895.60674390894,3060.7912883281,3182.98164546625,2201.97955969558,4150.67315034501,598.911340656925,1649.98064252308,4840.27336246803,1.64718867707405,1.02984185960071,1.33851526833738,5.96575183058606,4.12709372920141,5.04642277989374,0.250057958387624,0.293227708916424,1383.55771678167,199.637113552308
3,5271841.35178552,2834696.19015414,4723.37926275477,3240.32187899072,3579.39863397465,2711.7944617618,4150.8232752791,598.936033040972,1773.77755939977,5329.66851684292,1.58924056733442,1.09024719270795,1.33974388002118,6.72982461929648,5.09859420462797,5.91420941196222,0.260106999763287,0.311455834253412,1383.60775842637,199.645344346991
4,4926409.04163681,2603797.03646856,3705.60173709131,2581.69310629743,3310.92881535761,2179.73159978186,4150.6304249507,598.908682052153,1657.55249890438,4776.20254548161,1.24679647332316,0.868643229496368,1.05771985140976,6.07331002160865,3.99832992722991,5.03581997441928,0.251973984216314,0.298205381650449,1383.54347498357,199.636227350718
5,4850979.80015692,2460634.53362774,4368.40063385679,2931.99411840998,2690.78313604399,2169.30296382806,4150.70643614186,598.915714274609,1632.17337860626,4701.65327619526,1.46980352741051,0.986506426216015,1.22815497681326,5.14140932926778,4.14499197160551,4.64320065043665,0.24893769362159,0.282953704741027,1383.56881204729,199.63857142487
6,4654027.46412846,2222420.2029892,3359.37283852335,2241.37025842824,2160.41369954094,1667.6584662477,4150.39784370567,598.862462400033,1565.90627938858,4114.81105697221,1.13030339060026,0.754137312072102,0.942220351336181,4.000006014411,3.08766968863031,3.54383785152065,0.226775157417666,0.233020394415648,1383.46594790189,199.620820800011
7,4900156.93722904,2591462.82704557,3764.45002223524,2591.72809576352,2927.20007619746,2063.00106675106,4150.69851676158,598.910140069582,1648.71964704518,4910.26811744165,1.26659672159165,0.872019628355136,1.0693081749734,5.54641843885202,3.90894604336831,4.72768224111016,0.248272291060517,0.285100359568058,1383.56617225386,199.636713356527
8,5006705.68825445,2853150.87954695,3605.64331010424,2531.66923837706,2335.49647343579,1937.53430879075,4150.88231912295,598.9452053253,1684.56931909324,5261.63439183647,1.21316419897513,0.851812067776853,1.03248813337599,4.30700270873646,3.57310131321036,3.94005201097341,0.253742532499906,0.319459380391396,1383.62743970765,199.6484017751
9,4847851.96010374,2503210.02432369,3861.88871896763,2699.1397864347,2844.03367937359,2064.94950068032,4150.89975629262,598.945154799055,1631.12097734349,4786.09428564497,1.29938120089366,0.908159647338292,1.10377042411598,5.43774322121029,3.94814774202644,4.69294548161836,0.250843004778013,0.298939006000017,1383.63325209754,199.648384933018
10,4909398.56995768,2526869.35708008,3915.59328232168,2436.78868944451,2728.67598363933,1867.67383173663,4150.58170837323,598.899120683613,1651.82911101657,4754.50004967797,1.31745077904637,0.819888309588819,1.06866954431759,5.13421481938415,3.51417270580032,4.32419376259224,0.242666066677688,0.262761636798146,1383.52723612441,199.633040227871
11,4679106.12095571,2269512.68338057,3263.42948017334,2291.0175306628,2102.67327738495,1744.32158103108,4150.43455187187,598.870375660989,1574.34430999907,4208.97815234795,1.09802203676987,0.770841763420063,0.934431900094965,3.89956220595178,3.23497263487101,3.5672674204114,0.233394972293494,0.252184445445206,1383.47818395729,199.623458553663
12,4849576.51887386,2607408.22241137,3330.64881238955,2326.83068446313,2442.17552665864,1941.55055717072,4150.49680514091,598.885274715,1631.70122690758,4853.54641341948,1.1206388294779,0.78289155101863,0.951765190248263,4.54597487515509,3.61408914117546,4.08003200816527,0.248101518248697,0.294096555485481,1383.49893504697,199.628424905
13,5255732.31180842,2811505.33670457,4611.02341200585,3012.3090152006,3610.93328862382,2472.44434825207,4150.84982282614,598.939709249145,1768.3574695852,5329.39686138115,1.55143702329222,1.01352938690592,1.28248320509907,6.84476614140273,4.68668402563261,5.76572508351767,0.270146810218959,0.333089190609057,1383.61660760871,199.646569749715
14,4850844.69697266,2522337.72471392,4907.30463226987,3043.78913547803,3424.06518328764,2346.82232432563,4150.63579296364,598.90610456196,1632.12792143476,4817.29699748609,1.65112457925365,1.02412127068793,1.33762292497079,6.53946486429332,4.48208819375661,5.51077652902496,0.250029029957329,0.292747313962223,1383.54526432121,199.63536818732
15,5145118.74703038,2589561.83635526,3761.21617681464,2386.26461467108,2584.07685717773,1828.68478958519,4150.56618511733,598.897959065953,1731.14013964753,4866.45939624616,1.26550865348511,0.802888846960415,1.03419875022276,4.85615169550623,3.43657376785206,4.14636273167914,0.252492327582305,0.28471349435997,1383.52206170578,199.632653021984
16,4802081.49828702,2364015.74525035,3763.82084944105,2454.92444860147,2345.29692528634,1774.33771018749,4150.44705290212,598.865572909321,1615.72092779034,4215.87315016737,1.26638502846418,0.82599031465094,1.04618767155756,4.18249089768127,3.16426941179984,3.67338015474055,0.235333768307029,0.255668706070738,1383.48235096737,199.62185763644
17,4997356.99831244,2692440.78873398,3185.97559549656,2218.06555134806,2390.55676307229,1725.19091769481,4150.57042740681,598.883041527265,1681.42383437123,5005.89370485584,1.07196169971487,0.746296149243253,0.90912892447906,4.44461883857848,3.2075440212833,3.82608142993089,0.250330667538977,0.293519095822692,1383.52347580227,199.627680509088
18,5322191.33258971,3050732.92118165,3966.60228111888,2683.75139720688,2981.57034272237,2174.07181038311,4150.81579847208,598.935051918566,1790.71844591496,5515.50750273756,1.33461340048286,0.902982029563744,1.1187977150233,5.39046649447615,3.93056674951857,4.66051662199736,0.25478790642663,0.313176678843773,1383.60526615736,199.645017306189
19,4941352.29802778,2572539.38051962,3617.92591149935,2701.09778329535,2506.87313706596,2107.18676422687,4150.66389864539,598.911037044864,1662.58034611789,4955.04959639539,1.21729683523481,0.908818440094191,1.0630576376645,4.82856776463578,4.05871918023003,4.44364347243291,0.247757406969135,0.285556320412382,1383.5546328818,199.637012348288
20,4868105.69366823,2478795.6490415,3387.05289540998,2356.644447824,2579.12649153929,1922.75422937213,4150.65265765262,598.909087194138,1637.93560162625,4640.88623562609,1.13961669509335,0.792922767984759,0.966269731539053,4.82872908024977,3.59984641776962,4.21428774900969,0.247185597810482,0.282644550135039,1383.55088588421,199.636362398046
21,4682472.81058576,2264738.80794066,3209.39607023924,2190.31300296704,2195.32606135181,1607.09955102933,4150.52436059762,598.879314146763,1575.47707521653,4085.85944699769,1.07984181403488,0.736958454071955,0.908400134053419,3.96063055729187,2.8993996392943,3.43001509829308,0.233649418813852,0.243535769037793,1383.50812019921,199.626438048921
