"admin_name","pop_size","pfpr_u1","mortality_pp_u1","node_id.x","lon.x","lat.x","cluster_id.x","seasonality_archetype.x","deaths_u1","cases_pp_u1","node_id.y","lon.y","lat.y","cluster_id.y","seasonality_archetype.y","clinical_cases_u1","mortality_rate_u1","incidence_u1","frac_u1","pop_size_u1"
"Bubanza",201303.876182995,0.0772491421536431,0.000665823519075629,1,29.42838636,-3.04668647,1,"Gitega",134.032855243727,0.188222634159006,1,29.42838636,-3.04668647,1,"Gitega",37889.9458415818,5.61621543788941,1557.6125184561,0.0401595671628177,8084.27653570653
"Bugarama",195016.1571555,0.0111332621486054,0.000214360800968154,2,29.4303905,-3.72944816,1,"Gitega",41.8038196495844,0.0145454380651352,2,29.4303905,-3.72944816,1,"Gitega",2836.595435606,1.74789010172991,117.012160135011,0.0418634852873725,8164.0560258792
"Buhiga",277009.19890515,0.0483085515361036,0.000490798707711629,3,30.1393365,-3.0502219,1,"Gitega",135.955756846881,0.139154180384263,3,30.1393365,-3.0502219,1,"Gitega",38546.9880325474,3.93332560404099,1106.68267295269,0.0419416918930703,11618.234472026
"Bururi",161565.439110322,0.028949173523974,0.000432696600653844,4,29.64527524,-4.00189913,1,"Gitega",69.908816286182,0.0407027206571301,4,29.64527524,-4.00189913,1,"Gitega",6576.15293595399,3.64552743324271,339.007160952545,0.0400694605338975,6473.83998607287
"Busoni",218791.205835172,0.302543822830552,0.00194120239316863,5,30.25180248,-2.47173859,1,"Gitega",424.718012371486,0.663019740187461,5,30.25180248,-2.47173859,1,"Gitega",145062.888448137,15.2603049738954,5258.10231998637,0.04226960230797,9248.21725913393
"Butezi",125726.232208091,0.19259924345569,0.00131083186140573,6,30.17161805,-3.44652457,1,"Gitega",164.805950992862,0.424847454096833,6,30.17161805,-3.44652457,1,"Gitega",53414.4696667947,10.5538960289071,3389.02237360509,0.041997072245482,5280.13365719545
"Buye",194429.100944065,0.0910760743251755,0.000716970639627604,7,29.8634721,-2.84840217,1,"Gitega",139.399956866086,0.234412176439195,7,29.8634721,-2.84840217,1,"Gitega",45576.5487154142,5.81041581352784,1901.0995186736,0.041364575954367,8042.47731374006
"Cankuzo",179215.356633093,0.0955466131914542,0.000632066625688377,8,30.52891483,-3.14505865,1,"Gitega",113.276045738618,0.271272674412373,8,30.52891483,-3.14505865,1,"Gitega",48616.2290896263,5.15809981508061,2194.63168400901,0.0412388458377834,7390.6344639555
"Cibitoke",305498.934537512,0.0878358441501515,0.00072884457208303,9,29.19244319,-2.90271457,1,"Gitega",222.661240214814,0.201128052486425,9,29.19244319,-2.90271457,1,"Gitega",61444.4057402075,5.90641362375342,1606.78235103554,0.0416800918230182,12733.2236433577
"Fota",170992.624432377,0.0153916947064361,0.000299151924675462,10,29.67894889,-3.45736142,1,"Gitega",51.152772704254,0.0335703356687176,10,29.67894889,-3.45736142,1,"Gitega",5740.27979906986,2.46311021143966,270.29185137458,0.0410515578535289,7019.51361441246
