"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
0,27099325.9568947,9903236.69448919,18074.1057954952,11352.392447359,10350.9254331244,7544.23361398411,27327.0487054378,3947.1012963043,1341.30708688537,2718.66882932587,0.89459517300081,0.561897534535263,0.728246353768036,2.84156980165596,2.07106761155212,2.45631870660404,0.195061758468953,0.159417229886221,9109.01623514595,1315.70043210143
1,25038942.7893157,9917187.15348369,17110.7207709313,11375.4094248475,9180.61199419956,7483.39674553562,26907.0189988757,3884.91053731842,1239.32644910977,2682.79749131984,0.846911508731739,0.563036781875695,0.704974145303717,2.48353917755476,2.02440850462539,2.25397384109007,0.183581180448383,0.157386035904905,8969.00633295858,1294.97017910614
2,27812729.9946045,11164837.7966926,18831.5383008239,12261.1906284549,11684.7977826745,8521.33270095599,27364.9364752305,3954.19938691718,1376.61770284367,3052.66890245996,0.932085020122868,0.60687937071788,0.769482195420374,3.19483538160044,2.32988672270987,2.76236105215516,0.203061168633232,0.18285784999059,9121.64549174351,1318.06646230573
3,24101717.8380935,9878233.97464468,17047.2557261606,11271.1088485834,10741.8832723199,7878.49278293584,25379.0921525779,3664.03424110021,1192.93760272001,2699.99942523842,0.843770245570586,0.557874324981686,0.700822285276136,2.9360590906924,2.15341386327478,2.54473647698359,0.176799405166192,0.163322135504594,8459.69738419263,1221.3447470334
4,26702583.5569239,10942240.7529505,20241.6817775831,12897.9072574962,12448.6672154128,8855.65846628222,26258.0547835784,3789.57906404902,1321.66994190267,3043.53126617945,1.00188142177178,0.638394269952988,0.820137845862384,3.46253649026647,2.46315850960135,2.96284749993391,0.197612458168314,0.183701515565471,8752.68492785948,1263.19302134967
5,24966538.9895237,9354230.31547454,17718.2557991298,11580.2216626848,9986.77563616061,7504.59342294822,26361.0300787788,3812.91223554185,1235.74275370963,2499.76165976542,0.876982036690623,0.573174159703065,0.725078098196844,2.66879882128359,2.00547712405369,2.33713797266864,0.176918183414207,0.145513552783707,8787.01002625961,1270.97074518062
6,26230600.7637889,10084099.0637135,17850.4306522906,11675.3696114384,10227.9017639814,7865.78438280497,27243.2952066145,3937.57473653763,1298.30870161475,2796.82440342151,0.88352415761033,0.577883598534449,0.73070387807239,2.83670807561134,2.18157493048063,2.50914150304599,0.190730673572689,0.159907522541328,9081.09840220485,1312.52491217921
7,25343675.7195423,10158856.731856,16103.2166084344,10524.8173550166,9256.07354938716,7005.61792437916,26407.0530954809,3814.85268057011,1254.40949728486,2795.14055158554,0.797044125484891,0.520935912904733,0.658990019194812,2.54674587990016,1.92754827302,2.23714707646008,0.182907404375526,0.159965018331692,8802.35103182698,1271.61756019004
8,26774329.5781734,10944374.1998858,18773.5479239474,11989.8380598468,11694.1446658945,8337.94378325512,26575.8788976668,3838.0130388472,1325.221079924,3083.47386817318,0.929214730891345,0.593448515504084,0.761331623197714,3.29471460216508,2.34913676199343,2.82192568207925,0.198140514330565,0.185560775012411,8858.62629922227,1279.33767961573
9,24608600.4604487,10279451.9983097,18281.8055366944,11307.2873704216,11227.0793572256,7844.1555887968,25648.7248672066,3704.50120346318,1218.02624347313,2869.69132678198,0.904875470571971,0.559665015562397,0.732270243067184,3.13423830976801,2.18983514518091,2.66203672747446,0.182181234237187,0.170173642393796,8549.57495573553,1234.83373448773
