"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
0,37072620.9726634,13702295.4371714,24806.5273468323,16048.7453402669,14002.251412065,10379.4989036005,38992.042141816,5626.63327586269,1107.38241850325,2252.9101256346,0.740986515851094,0.479386079607164,0.610186297729129,2.30222842096556,1.70658108242937,2.00440475169746,0.159648649106931,0.130313137493239,12997.3473806053,1875.54442528756
1,33445194.9964623,12519616.5742386,22915.9746366118,14356.6044871619,12964.598895979,9584.32741263843,38616.9858961054,5580.63346715675,999.0289316152,2095.0097412962,0.684514521758861,0.428840772013692,0.556677646886277,2.16947226921971,1.60382382113575,1.88664804517773,0.147306112754692,0.123568991734525,12872.3286320351,1860.21115571892
2,37799107.0335443,14435882.8250124,28630.8700326633,17968.4323188924,16899.682685251,12328.4559657824,40694.4364441977,5878.03930545578,1129.08301236469,2389.64961268436,0.855222028245633,0.536728332552458,0.695975180399045,2.79749570378382,2.04079586823627,2.41914578601004,0.166728881540533,0.141046530217172,13564.8121480659,1959.34643515193
3,32591581.6608016,13050583.0904154,25155.7099664589,15627.5537616761,15396.1918752535,10809.2412432626,36623.6211526086,5287.12975934378,973.530966396942,2142.38327232216,0.751416819500426,0.46680482323209,0.609110821366258,2.52743832995706,1.77444467159999,2.15094150077852,0.14500245930574,0.128918311967656,12207.8737175362,1762.37658644793
4,38281300.8223686,15195561.8944647,27456.6176779738,17161.3651344722,16745.4982939142,11690.5552436866,40596.940228605,5857.98880598912,1143.486442984,2541.01837145875,0.82014637461359,0.51262073003801,0.6663835523258,2.8002004203324,1.9549073507826,2.3775538855575,0.16991016367101,0.150946560378774,13532.313409535,1952.66293532971
5,31638375.8218917,11839958.547375,21780.7261450284,13987.892689946,12080.7613384607,9169.47020015738,35321.7081840596,5103.57523984611,945.058110701041,1966.02906943331,0.650603937957983,0.417827119592604,0.534215528775293,2.00601445328249,1.52259358786427,1.76430402057338,0.138581520308632,0.115313950998978,11773.9027280199,1701.19174661537
6,36892292.5638973,13531752.2161942,24611.5601021855,15933.6904957029,12235.7938501841,9872.81095878628,41551.5126140124,6001.31152245119,1101.99589593794,2260.69403359527,0.735162722085204,0.475949319305601,0.605556020695403,2.04418361432224,1.64940980833445,1.84679671132835,0.160172723748274,0.130228725690367,13850.5042046708,2000.4371741504
7,34987091.2016891,13593743.3495432,26197.0874064502,16417.3343761476,15244.0992799171,11040.024264806,38365.8952435303,5544.20656888642,1045.08633743185,2256.96515999364,0.782523416169774,0.490396065070247,0.636459740620011,2.53097326362376,1.83297194087374,2.18197260224875,0.151769885716517,0.128014848773933,12788.6317478434,1848.06885629547
8,38431676.3818671,15085925.6928916,26207.2966873699,16988.7712834977,16053.3784763559,11614.8039839636,41022.4149594718,5923.45429452645,1147.97825517295,2515.38406434274,0.782828373788075,0.507465243560484,0.645146808674279,2.67669437198112,1.93661916719455,2.30665676958783,0.171371168031686,0.152780157506034,13674.1383198239,1974.48476484215
9,33694353.1823147,13790452.3762391,21871.6519272525,14544.4104053142,13014.7018667361,9993.24985065625,37362.3644864914,5383.2415947408,1006.47144275145,2297.42538656091,0.653319948047957,0.434450652469839,0.543885300258898,2.16818895068876,1.6648290625115,1.91650900660013,0.15012578113569,0.137030099140605,12454.1214954971,1794.4138649136
10,36068294.7585655,13295152.6693952,23834.8458324646,15373.2830999494,13720.0433142359,10340.828325576,37764.3135312453,5453.19751246011,1077.38256516798,2175.74533255979,0.711961780152238,0.459209599237947,0.585585689695093,2.24527848199766,1.69227157623888,1.96877502911827,0.153229693847093,0.120819151461287,12588.1045104151,1817.73250415337
11,30963869.2294666,11636157.880268,20875.0157105704,13627.6186174085,11888.8437125318,9041.58052155198,36617.8609570224,5287.01839458466,924.910176133186,1975.15419526429,0.623549799754123,0.407065507294817,0.51530765352447,2.01804579976255,1.53474333046364,1.7763945651131,0.137265963599919,0.116892998591823,12205.9536523408,1762.33946486155
12,39071459.0970815,15255017.5021743,28705.6605276224,18406.6671414684,16462.6852648904,12412.9371769288,41283.3085912212,5965.64878395264,1167.08896577021,2546.2176202383,0.857456067194484,0.549818681304827,0.703637374249656,2.74778965621816,2.07184549963987,2.40981757792902,0.170356677216361,0.149716406571982,13761.1028637404,1988.54959465088
13,34192737.4767496,13821557.5000413,25628.2625529058,16561.6929387537,15480.7253055195,11320.107693271,38252.2402032007,5519.17034544231,1021.35849391846,2259.42995949233,0.765532261363448,0.494708145791712,0.63012020357758,2.5306565160878,1.85051434809568,2.19058543209174,0.152236317484177,0.133836378097817,12750.7467344002,1839.72344848077
14,35927723.4443676,14358050.1178219,25583.9067890826,16273.9866777718,15986.3174444556,11259.7327893985,37600.6335234061,5431.55816279612,1073.18361192959,2413.81652896175,0.764207326904315,0.486114179496757,0.625160753200536,2.68755415728484,1.89294012040025,2.29024713884255,0.159592667304902,0.142525429004971,12533.544507802,1810.51938759871
15,30830256.7898898,11387052.9499902,20643.5666369461,12895.4458299386,10864.003059138,8170.80816331022,34814.9949414734,5029.98183865283,920.919088840229,1862.07757783862,0.616636270896817,0.385195047346799,0.500915659121808,1.77654539684988,1.33613839687412,1.556341896862,0.134405664994163,0.107896944020552,11604.9983138245,1676.66061288428
16,37123970.9125275,13736721.5886693,24360.7389769265,15793.9415091102,13040.1563440639,10018.851653871,41393.1239034255,5986.25164802679,1108.91627338334,2281.21086657868,0.727670537906862,0.47177492950806,0.599722733707461,2.16553463371497,1.66379678847843,1.9146657110967,0.162184732877505,0.132688794252612,13797.7079678085,1995.41721600893
17,35263451.0499433,13815897.2125795,25774.8020849681,16518.182852217,16222.8350079702,11741.2608590945,39828.7359729339,5753.62240062685,1053.34137926886,2268.17661833569,0.769909489009185,0.493408472243036,0.63165898062611,2.66332721516576,1.92758044885643,2.2954538320111,0.154859062260573,0.132055512039886,13276.2453243113,1917.87413354228
18,37390706.8916883,14735844.5929813,27707.1397093911,17711.1920589539,16469.1808064384,12033.434809576,39786.5008923806,5740.85800415798,1116.88384422012,2480.12014793572,0.827629624671463,0.529044404798951,0.678337014735207,2.77184974911441,2.02529036810794,2.39857005861117,0.163743112731358,0.144696744160888,13262.1669641269,1913.61933471933
19,31507692.0807165,12821083.9404249,21715.4309220491,14218.0479645311,14027.2048160377,10205.2196521525,35005.140476946,5044.7785815136,941.154505464488,2153.98679704547,0.648653528732993,0.424702001861899,0.536677765297446,2.35661930875686,1.71451247755867,2.03556589315776,0.139640412620483,0.126318083637229,11668.380158982,1681.59286050453
20,36530713.5779362,13541083.5235475,24480.2945498555,16055.0073420989,13931.9855649086,10983.0585115367,38843.2599659144,5612.12414228131,1091.19530505852,2237.14412681089,0.731241737784888,0.479573129525715,0.605407433655301,2.30172568001294,1.81452871188462,2.05812719594878,0.159714982551473,0.133699260017125,12947.7533219715,1870.7080474271
21,33028286.3225704,12204038.808202,22278.5347074784,14762.7801393584,12677.6493333444,9896.36353547537,38436.2058008969,5554.4291326452,986.575608287187,2067.25059116485,0.665473791649848,0.440973493258248,0.553223642454048,2.14747580623253,1.67635187749028,1.91191384186141,0.147392775172378,0.122257444364053,12812.068600299,1851.4763775484
22,38468881.7253346,14872590.8745047,27401.632276141,17443.9045698192,16460.7809388474,11946.8023239855,40662.7523908353,5871.65222709495,1149.08960209553,2425.63938258387,0.818503926206479,0.521060360013667,0.669782143110073,2.68466461898044,1.94845904506661,2.31656183202353,0.168260887393014,0.144202162124157,13554.2507969451,1957.21740903165
23,33505366.3331242,13370972.4731127,25022.1953177381,16049.3611120174,15748.5928608981,11280.3252909965,37286.2798161894,5375.91357615961,1000.82628714521,2213.90814172616,0.747428653281612,0.479404473095202,0.613416563188407,2.60758430440147,1.86774776877862,2.23766603659005,0.148102330567026,0.131605084166389,12428.7599387298,1791.9711920532
24,37184872.4513866,14982414.346587,26589.5129601751,17131.0671568519,16662.892411348,11858.3268185634,39815.2902893029,5741.30312182778,1110.73544051053,2498.57162588077,0.794245413357045,0.511715710461495,0.65298056190927,2.7788198364426,1.97757706027087,2.37819844835673,0.166081339310271,0.147858861234528,13271.7634297676,1913.76770727593
25,32212517.9971256,11691744.0657232,21750.2820434967,14056.1441863459,12049.1167119855,9242.48678624543,36155.5118050544,5235.69967360727,962.208097238117,1936.83417173845,0.649694553568671,0.419865834557091,0.534780194062881,1.99603590840276,1.53109443200371,1.76356517020324,0.140934637264143,0.113441343220923,12051.8372683515,1745.23322453576
26,36132173.4935742,13126928.7055758,27364.845413043,16890.0291367282,15600.7579714019,11214.1243251198,40827.1303279248,5899.27982653062,1079.2906630097,2233.0651486069,0.81740507955475,0.50451575376373,0.66096041665924,2.65389640632322,1.90767168499461,2.28078404565892,0.159960092560827,0.131877914655241,13609.0434426416,1966.42660884354
27,33661528.9127666,13003494.292158,26288.5196736992,17033.4396903742,15352.229689286,11461.4772737554,38554.7187204588,5566.33705425167,1005.49096125206,2151.21437569952,0.785254555284814,0.508799516863526,0.64702703607417,2.53977403800992,1.89611300809547,2.21794352305269,0.150513254145438,0.132110901530925,12851.5729068196,1855.44568475056
28,38247375.32145,15348129.0581065,26329.5020430301,17184.8865456496,15502.6380141946,11720.5481626774,39987.932178129,5776.59896624686,1142.47306701352,2556.03998883221,0.786478724336661,0.513323329328613,0.649901026832637,2.58177153362824,1.95191151191252,2.26684152277038,0.168368492092311,0.148218756263907,13329.310726043,1925.53298874895
29,33550450.4763276,13707084.130367,25273.5912395747,15894.243128284,15099.5919112877,11029.8282453299,36871.1311105372,5319.03479812017,1002.17297875284,2279.16840682449,0.754938006993899,0.47477100172271,0.614854504358304,2.51070997396936,1.83400319355764,2.1723565837635,0.148577049233118,0.134171309158779,12290.3770368457,1773.01159937339
30,35674849.8454251,13084252.8742618,23989.7702548485,15453.5069510042,15483.8775511585,11140.4729116722,37870.9539328985,5475.27966979937,1065.63011907622,2145.62223842742,0.716589469725932,0.461605935937967,0.58909770283195,2.53912488012253,1.82687132812165,2.18299810412209,0.153324076075915,0.125233934962455,12623.6513109662,1825.09322326646
31,32812012.8308522,12210789.9579952,23801.3198564281,15293.3119790036,13314.4402239459,9904.45543742002,38584.5452647268,5562.40399049387,980.115383570579,2005.65796228399,0.71096033824034,0.456820811744645,0.583890574992493,2.18693574620259,1.62683577217226,1.90688575918743,0.144341321205287,0.117918865420091,12861.5150882423,1854.13466349796
32,39126751.9586017,15012371.8571601,29135.3528607985,18499.6388648813,18055.9552943702,12908.0028154933,41309.394220426,5967.90014919017,1168.74059819084,2459.76486212521,0.870291246435674,0.552595804940121,0.711443525687897,2.9584535213876,2.11496571413666,2.53670961776213,0.172879629187537,0.148107520020393,13769.7980734753,1989.30004973006
33,33502528.1646125,13627089.5798829,25345.1237232864,16275.3046192243,15539.0109557258,11269.8676882785,37706.1221510571,5443.2876313258,1000.74150927334,2246.07834182858,0.757074727105288,0.486153547233778,0.621614137169533,2.56120984282784,1.85755040219922,2.20938012251353,0.150225383142011,0.135174790215448,12568.7073836857,1814.42921044193
34,36531082.6856195,14429476.8094551,26004.2011796073,16600.2850489826,15333.4874157497,11165.9517669416,38353.3002388966,5527.991073988,1091.20633053631,2423.76745905452,0.77676178370967,0.495860916306426,0.636311350008048,2.57561714280336,1.87558224733079,2.22559969506708,0.160688556217331,0.144103280590972,12784.4334129655,1842.66369132933
35,30941333.9049245,11409656.8067629,22056.1331279872,14228.3689722136,12839.2934609342,9564.33486863628,34265.1337201531,4955.01685170194,924.237031868269,1869.86693304451,0.658830517111543,0.425010296828616,0.541920406970079,2.10416235061736,1.56744710295118,1.83580472678427,0.133950606190124,0.110659178753083,11421.711240051,1651.67228390065
36,37744160.9448281,13721076.9258617,29328.9039233374,18247.4671070571,16658.9018632471,11939.71605131,41752.6446419138,6024.85192820277,1127.44173826501,2312.70576815668,0.87607273795461,0.545063276520739,0.710568007237674,2.80788006936037,2.01245502311644,2.41016754623841,0.166063433060394,0.138125706392677,13917.5482139712,2008.28397606759
37,35076816.0322986,13628705.3452303,26904.0334441383,17232.8419514871,16867.1247018304,12119.376846503,39522.6751593216,5707.33732853514,1047.76647434457,2249.73983494232,0.803640337294491,0.514755787350283,0.659198062322387,2.78431746680382,2.00058950396177,2.39245348538279,0.155523949175701,0.136990355506203,13174.2250531072,1902.44577617838
38,37831826.2594498,14739565.9107919,25320.1354271336,16287.8538398222,15984.2803276599,11519.2580657793,40338.7662855624,5823.17804463798,1130.06035614467,2470.72758435601,0.756328311041306,0.486528400316497,0.621428355678902,2.67937350127204,1.93092176707851,2.30514763417528,0.166238692699219,0.146487606247826,13446.2554285208,1941.05934821266
