"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
0,37021675.9991794,13535721.2327591,23823.2740700282,15603.6317438132,13375.3808880602,10275.5216096292,39326.2247692183,5681.20463004292,1105.86066022268,2231.66107435184,0.71161612435729,0.466090257568765,0.588853190963028,2.20522544526644,1.69414552801014,1.94968548663829,0.160215982199811,0.128879623268736,13108.7415897394,1893.73487668097
1,32376210.2490886,12254278.5886706,23710.655593742,15136.0404775598,12484.5177580427,9616.2345906206,37918.9961244652,5474.69206820758,967.09768737534,2064.4787901348,0.708252139902834,0.452123013448732,0.580187576675783,2.10326719194788,1.62004741524735,1.86165730359762,0.142329024641249,0.121475810337549,12639.6653748217,1824.89735606919
2,37395791.1272713,14548971.7962432,26759.3442629461,16737.0233026331,15412.390282782,11172.4134498314,40167.6580922102,5803.06342565767,1117.03571352282,2389.5129062322,0.799318380788692,0.499945373624429,0.649631877206561,2.53132015185465,1.83494933566561,2.18313474376013,0.164301893728474,0.14113522521891,13389.2193640701,1934.35447521922
3,31422055.5585054,12891269.1929668,22480.8850454445,14714.0875829493,13521.1703936464,10151.6066524983,35748.8557804084,5157.13787818956,938.5964888854,2128.74234184855,0.671518123039503,0.439519016087101,0.555518569563302,2.23275827208754,1.67634036614133,1.95454931911444,0.139696923325605,0.12771364146321,11916.2852601362,1719.04595939652
4,38298805.4050814,15081264.4614347,28628.1942204028,17492.1169563918,16648.1642049548,11807.3265200792,40235.9645406562,5808.42636129298,1144.00931583816,2561.31937377043,0.855142100056724,0.522500494210923,0.688821297133823,2.82743304614164,2.00529168132068,2.41636236373116,0.170630459721054,0.153704485124614,13411.9881802187,1936.14212043099
5,31092722.5153446,11628281.3288586,22014.2229115107,13980.2448300812,11728.8477342888,8952.52274178655,35125.7534960935,5076.01341355863,928.759104523033,1931.61762833768,0.657578632684058,0.417598673226221,0.537588652955139,1.94832309289032,1.48713728685013,1.71773018987023,0.135781462549064,0.113244885487773,11708.5844986978,1692.00447118621
6,36761012.1248094,13263790.5545888,26404.9454342729,16381.9001451731,14752.6827377027,10560.1673110892,41655.0159466822,6015.19118736185,1098.07446696084,2239.99905943303,0.788732265706616,0.489337622387618,0.639034944047117,2.4914443062534,1.7834091051831,2.13742670571825,0.160569276451798,0.128356635770131,13885.0053155607,2005.06372912062
7,33334157.5519446,13149878.035279,23337.6202831945,14968.1120774059,13770.2410773326,10333.6687826854,37140.8855148277,5368.42676389955,995.712173570357,2186.22127519347,0.69710934142938,0.447106886910634,0.572108114170007,2.289359180902,1.71801491108127,2.00368704599163,0.144946026953883,0.12413668973297,12380.2951716092,1789.47558796652
8,37968375.1784892,15138132.0319273,27727.3937097886,17696.5371295991,15743.5840300348,11884.0607233011,40710.5610485637,5886.15109047701,1134.1391579192,2517.21785397947,0.828234624354683,0.52860665287621,0.678420638615446,2.61789438237474,1.97612028798384,2.29700733517929,0.169507472173189,0.152797656916786,13570.1870161879,1962.05036349234
9,32362191.0547742,13039689.6715421,23931.701496901,15210.2734768111,13965.233735325,10362.0644898994,36865.7498841608,5312.33604840137,966.678925256614,2202.27731158125,0.714854919539616,0.454340399651456,0.584597659595536,2.35859274115672,1.75005234802865,2.05432254459268,0.146142193365799,0.131612370772559,12288.5832947203,1770.77868280046
10,35786702.2100591,13146200.9042232,24575.6425704155,15605.2663347933,14283.5406870789,10259.6192378362,37586.7895428916,5431.92575998168,1068.97121929558,2172.13297267489,0.734089842904974,0.466139083825592,0.600114463365283,2.36005443085692,1.69518611467701,2.02762027276697,0.152555670342149,0.121556990876032,12528.9298476305,1810.64191999389
11,31328295.2207335,11883192.5719001,24916.1941212139,15352.8222085568,13395.1659632792,9716.31629126995,36659.155828632,5296.90218631351,935.79580884505,2002.05325764929,0.744262331120098,0.458598419591064,0.601430375355581,2.25678709583075,1.63698287018312,1.94688498300694,0.137151826299307,0.115857926650392,12219.718609544,1765.6340621045
12,38075546.4590379,14841913.880791,26914.4459291492,17295.0954605493,16038.5042972038,11481.7742965946,40918.3482355031,5910.8001194984,1137.34043122371,2472.10710428281,0.80395136474633,0.5166153386746,0.660283351710465,2.67141426191018,1.91243366835049,2.29192396513033,0.167088687612938,0.145734406557339,13639.4494118344,1970.26670649947
13,32904404.8359798,13617076.3841639,24105.5740134091,15444.9274221687,14541.3866495969,10524.2752262875,36909.5709784648,5325.0652188147,982.875190657431,2231.31751586305,0.720048600557852,0.461349660035636,0.590699130296744,2.38277658293204,1.72452580801329,2.05365119547266,0.14579254185857,0.131796887287264,12303.1903261549,1775.0217396049
14,35377998.4661294,14087630.6846262,24774.8953197756,15885.4831481792,14950.5729211779,10871.8241039032,37450.0485937971,5403.78936767607,1056.76298236682,2382.84998971503,0.740041647381989,0.474509335627894,0.607275491504941,2.52881221328013,1.83891291119949,2.18386256223981,0.157396604225585,0.14138502652695,12483.3495312657,1801.26312255869
15,30257871.4184931,11170964.21059,21397.6245233415,13691.6677348881,12410.2915629488,9211.18385046335,34502.0727137628,4984.0179537413,903.821579134601,1832.79125824099,0.639160452463148,0.408978694567707,0.524069573515427,2.036124497403,1.51125515406948,1.77368982573624,0.131716856230777,0.106528749854602,11500.6909045876,1661.33931791377
16,37556332.8760231,13859406.3466654,24100.609820983,15616.4121613961,14126.9978022897,10269.0879651663,41899.8892811044,6053.17630023744,1121.83119615499,2315.44661003821,0.719900317019476,0.466472016650296,0.593186166834886,2.36015225711304,1.71562362213656,2.0378879396248,0.163855672431811,0.13309565113658,13966.6297603681,2017.72543341248
17,34839627.1599151,13621197.3613061,24878.4338832766,15914.4097339317,14697.6321850494,10945.4998239252,39646.6105180522,5724.38564516497,1040.68149410172,2265.9631615788,0.743134409151991,0.475373390869988,0.609253900010989,2.44503417800587,1.8208457544663,2.13293996623608,0.153636747875432,0.133191848480393,13215.5368393507,1908.12854838832
18,37562873.4777428,14814413.5013262,24961.2844790722,16786.7253719513,14232.4205545361,11345.0978863783,40250.1571003865,5815.55585257727,1122.02656802676,2484.97919759999,0.745609208363362,0.501430005578743,0.623519606971052,2.38735532840031,1.90303397700232,2.14519465270132,0.164507901739075,0.145273071581084,13416.7190334622,1938.51861752576
19,30596019.5035876,12304618.2037567,24180.2604839019,15451.7693850592,15428.417963903,10653.7657209019,34415.8882943245,4953.64786741143,913.922274323116,2069.54040173016,0.722279532230711,0.461554033754414,0.591916782992563,2.5949390531539,1.79187994498218,2.19340949906804,0.136512590083108,0.122527615903042,11471.9627647748,1651.21595580381
20,36172185.5704073,13695252.1579748,24881.5304530905,16255.7142780245,14661.955445075,10920.6729006316,38173.3539864045,5518.47051732576,1080.48584881664,2225.82915378314,0.743226905632673,0.485568371466649,0.614397638549661,2.3829431911638,1.77488897909784,2.07891608513082,0.156368453393984,0.131873228324889,12724.4513288015,1839.49017244192
21,32146329.5087454,11992713.8474731,24826.7601289702,15923.641794234,15119.3169274774,10959.7278929383,37536.7347260943,5427.93100494138,960.231005615875,2018.85922027451,0.741590881731602,0.475649158296114,0.608620020013858,2.54519308736126,1.8449658675897,2.19507947747548,0.142966871628131,0.11888195604968,12512.2449086981,1809.31033498046
22,37604276.2471432,14822485.4347874,25500.4207089505,16609.3142070472,16405.6068094225,11978.6949717676,39739.7382250063,5734.54726024764,1123.26329469211,2407.80201481361,0.761713545377613,0.496130622915569,0.628922084146591,2.66496825405948,1.9458495010674,2.30540887756344,0.163965913360375,0.142460135552592,13246.5794083354,1911.51575341588
