"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
0,26164810.504393,9364669.42089096,16179.9795898863,10598.1640595225,8550.47197034153,6859.8696199762,27171.6479946672,3922.71611864456,1295.05234972924,2549.55232809603,0.800843582755366,0.524566278276551,0.662704930515958,2.32788523956567,1.86761494442391,2.09775009199479,0.187401493119351,0.147716656553319,9057.21599822238,1307.57203954819
1,23203594.5343835,9167675.29908568,18116.7779010105,11390.5753059846,9697.82541722458,7254.84656021393,25773.3834277347,3718.8572202906,1148.48412981522,2552.59336728593,0.896707269723478,0.563787431684493,0.730247350703985,2.70020523518904,2.01999663013002,2.36010093265953,0.169445423467776,0.150618253338403,8591.1278092449,1239.6190734302
2,26475181.4128586,10367231.9574547,18366.7870087948,11639.0229662584,10687.4675994831,7747.74975480477,26892.6314384441,3884.03790443146,1310.41445503585,2829.44075216673,0.909081709906613,0.576084586527954,0.742583148217283,2.9168399518345,2.11452767564165,2.51568381373807,0.192128369889106,0.165564906889029,8964.21047948135,1294.67930147715
3,21463624.4154209,8854368.01272778,15945.1586883006,10348.7191617706,10045.2200329046,7221.6831103726,23814.3065855738,3438.81495422228,1062.36264268873,2454.71072209079,0.789220897381321,0.512219764209218,0.65072033079527,2.78485254792744,2.00207885385965,2.39346570089354,0.158429705210864,0.148048092707956,7938.10219519125,1146.27165140743
4,26583197.8135619,10610745.9231402,18948.5628196382,11546.6242881141,11452.8992179815,8074.53949851488,26487.185180524,3818.35785364054,1315.76083021852,2967.42765008582,0.937877260737067,0.571511225477906,0.754694243107486,3.20294633942443,2.25814584037388,2.73054608989916,0.195787277164409,0.178841518379381,8829.06172684133,1272.78595121351
5,22280132.8782845,8027599.1725923,15875.1397941934,9760.43154899923,8273.59723629983,6089.77903172055,25579.367242788,3693.27360050837,1102.77651089648,2202.47800881716,0.785755245171694,0.483101905507039,0.634428575339366,2.2699708312512,1.67081142288636,1.97039112706878,0.160288429741291,0.126698683512259,8526.45574759602,1231.09120016946
6,25536606.4195173,9623973.57871173,18302.7570216143,11272.8205842883,10824.2777570896,7517.156999814,27158.5099085172,3917.58991457986,1263.9587870187,2675.72969208494,0.905912484379935,0.55795904897945,0.731935766679693,3.00944730917438,2.08997666296159,2.54971198606799,0.184860614056666,0.151755151923198,9052.83663617241,1305.86330485995
7,23948385.8233429,9417568.82851402,16571.9012934475,10627.6800230782,9806.5647408252,7395.73980862441,25704.9606194602,3712.69400122387,1185.34828782862,2588.05169474535,0.820242122753263,0.526027199155411,0.673134660954337,2.69495205814464,2.03243079972543,2.36369142893503,0.172519196719208,0.145942965504494,8568.32020648673,1237.56466707462
8,25707593.4455327,10297911.3773905,19048.6603224489,12054.2666697686,11050.0681698887,8140.27970849783,26290.1861807601,3800.84103170944,1272.42195359799,2878.25121555192,0.942831682485899,0.596637471245037,0.769734576865468,3.08847794240515,2.27519630993889,2.68183712617202,0.190205308605256,0.173188745871175,8763.3953935867,1266.94701056981
9,22608764.3407244,9307642.35821817,15351.5324437061,10121.6015949003,9072.52711528553,6920.93134546937,24662.8947210043,3552.06134143998,1119.04243980723,2586.59316749053,0.759838797985111,0.500978362763151,0.630408580374131,2.5212546577437,1.92332634214892,2.22229049994631,0.167721299278456,0.154447483045014,8220.96490700143,1184.02044714666
