"year","mean_burden","max_burden","min_burden","scenario"
2012,0.437580870757407,0.479899984834854,0.373513908743923,"to-present"
2013,0.41964642402881,0.459463000695672,0.356308245366203,"to-present"
2014,0.37184687591482,0.416433316335231,0.31632036965671,"to-present"
2015,0.332919517487849,0.377967608518128,0.27991313956939,"to-present"
2016,0.319420787386688,0.360918056751123,0.260454369953213,"to-present"
2017,0.292944637418998,0.346962020030352,0.240331607762359,"to-present"
2018,0.237419645246749,0.297387249580005,0.181253545555906,"to-present"
2019,0.280144014383422,0.323276936159561,0.226838857974666,"to-present"
2020,0.212277368296369,0.268378267372179,0.163416985174435,"to-present"
2021,0.275587631179323,0.320133080518116,0.216992755144101,"BAU"
2022,0.290536718063591,0.329360481643292,0.241047882009814,"BAU"
2023,0.258544786166782,0.308431755015455,0.204231547846933,"BAU"
2024,0.29030935143723,0.330544323866177,0.23000784024639,"BAU"
2025,0.293536550410742,0.3326627473307,0.238364950911503,"BAU"
2026,0.261324038120826,0.30616804355923,0.209072888036596,"BAU"
2027,0.291886424357873,0.332945265083072,0.23285991643352,"BAU"
2028,0.294933531808055,0.339687523866468,0.242940629481737,"BAU"
2029,0.262658297568113,0.315878028612122,0.212755765281138,"BAU"
2030,0.2944840063857,0.333057506419873,0.234145931816075,"BAU"
2021,0.241208400240846,0.285229976087508,0.189540625075578,"GF"
2022,0.253567124079075,0.295228412119408,0.201426440284619,"GF"
2023,0.256111978607133,0.29548893749205,0.20907823322336,"GF"
2024,0.256223041446699,0.295794069415261,0.20354325580245,"GF"
2025,0.256244982401407,0.299115651162018,0.205495642574445,"GF"
2026,0.257979209061861,0.296594212734305,0.212255293786108,"GF"
2027,0.259618673580364,0.299039145904294,0.203840053464439,"GF"
2028,0.258731341950228,0.296730350150149,0.204180434770497,"GF"
2029,0.258664239876349,0.30381669783442,0.208010805046448,"GF"
2030,0.259822205305161,0.303805064282526,0.207454536868504,"GF"
2021,0.239686390179476,0.277914751248068,0.184104433980569,"GF with PBO"
2022,0.250451034314122,0.295674085818471,0.196289318693936,"GF with PBO"
2023,0.25369902190444,0.294769208114292,0.203665241701442,"GF with PBO"
2024,0.253332969375145,0.299838951869889,0.204475828380454,"GF with PBO"
2025,0.253993500142733,0.300266249666033,0.207589541805731,"GF with PBO"
2026,0.255351483956339,0.299050937381296,0.203397296282458,"GF with PBO"
2027,0.255333253542444,0.296702498509637,0.200687718830321,"GF with PBO"
2028,0.255236181944592,0.296651944057083,0.198971732129356,"GF with PBO"
2029,0.257401867199931,0.298928422395816,0.204430766003951,"GF with PBO"
2030,0.256398758894261,0.295191014367977,0.198987064264182,"GF with PBO"
2021,0.233469874084625,0.278110903436539,0.183464501635709,"GF at 80%"
2022,0.243223722348333,0.282451670166931,0.188056032024756,"GF at 80%"
2023,0.247834968999541,0.288169201161519,0.195329137041425,"GF at 80%"
2024,0.24609734388725,0.295786189150027,0.198987682553476,"GF at 80%"
2025,0.247396222519001,0.286688435671263,0.195001367008001,"GF at 80%"
2026,0.247978199519741,0.291097136986577,0.197880210770183,"GF at 80%"
2027,0.24834406920073,0.292936853609742,0.195279752372638,"GF at 80%"
2028,0.250500644639459,0.291111717851713,0.199522817491208,"GF at 80%"
2029,0.251433594412541,0.294594760228771,0.197596865276431,"GF at 80%"
2030,0.251863653322592,0.29104309860746,0.204932888388482,"GF at 80%"
2021,0.231916408329709,0.27495319845632,0.180656085791833,"GF at 80% with PBO"
2022,0.240531835095917,0.281152535483534,0.191284259825511,"GF at 80% with PBO"
2023,0.241455211159987,0.276838843161841,0.193419813227302,"GF at 80% with PBO"
2024,0.242545357057484,0.285812321827506,0.192693464157158,"GF at 80% with PBO"
2025,0.244031287823327,0.282410331104976,0.20092032243453,"GF at 80% with PBO"
2026,0.244581715616919,0.283164286084097,0.204666033089277,"GF at 80% with PBO"
2027,0.247025260759295,0.285863330428822,0.200546144183139,"GF at 80% with PBO"
2028,0.24704752640787,0.288312522419764,0.205567511500889,"GF at 80% with PBO"
2029,0.246324955436015,0.289407388537851,0.19656675939508,"GF at 80% with PBO"
2030,0.247562047984552,0.290253053866445,0.19971603046701,"GF at 80% with PBO"
2020,0.212277368296369,0.268378267372179,0.163416985174435,"BAU"
2020,0.212277368296369,0.268378267372179,0.163416985174435,"GF"
2020,0.212277368296369,0.268378267372179,0.163416985174435,"GF with PBO"
2020,0.212277368296369,0.268378267372179,0.163416985174435,"GF at 80%"
2020,0.212277368296369,0.268378267372179,0.163416985174435,"GF at 80% with PBO"
