"year","mean_burden","max_burden","min_burden","scenario"
2012,0.251131378543188,0.267489660913947,0.23641870913798,"to-present"
2013,0.247888015012942,0.266522566624066,0.232542979516734,"to-present"
2014,0.213054655305526,0.226662738442119,0.196451256984488,"to-present"
2015,0.18561333450756,0.214000060990696,0.161473154883416,"to-present"
2016,0.226480104815887,0.242367233446975,0.206267157758829,"to-present"
2017,0.221017538063799,0.237980476130698,0.20302000922118,"to-present"
2018,0.177360276970692,0.196117774991635,0.149292067564657,"to-present"
2019,0.23248733394155,0.25070291429705,0.213270865384921,"to-present"
2020,0.187328213239557,0.205595266972864,0.166295054262937,"to-present"
2021,0.235726693882631,0.256978147198768,0.214703373160308,"BAU"
2022,0.241914614773684,0.258682539196922,0.214662882149345,"BAU"
2023,0.195461205818214,0.217662777533456,0.170302413060247,"BAU"
2024,0.243325933285821,0.258518045539877,0.213501302815863,"BAU"
2025,0.246812840055484,0.262006343959752,0.222683469417334,"BAU"
2026,0.200513004892452,0.219959754427374,0.169932551966964,"BAU"
2027,0.24764631723459,0.263369680912264,0.218924798170136,"BAU"
2028,0.248482069875736,0.266556649580193,0.227923742195375,"BAU"
2029,0.202596109546377,0.220179889987329,0.177583464533028,"BAU"
2030,0.249418854430068,0.263679462941998,0.2286453716672,"BAU"
2021,0.164364197828434,0.190237901598527,0.122393370751488,"GF"
2022,0.159424570123033,0.193739728683679,0.115971067362442,"GF"
2023,0.166623567395024,0.19198734455315,0.11948702869747,"GF"
2024,0.1724817021051,0.198002785345459,0.114741254230917,"GF"
2025,0.179344416069847,0.201278031000971,0.133728319596848,"GF"
2026,0.183524188642314,0.207869622895241,0.143385155816464,"GF"
2027,0.187300580909336,0.210901666634606,0.151834973336343,"GF"
2028,0.190796179792849,0.213110446540913,0.156294239328654,"GF"
2029,0.19304565299166,0.212004252509992,0.160402598307036,"GF"
2030,0.197442002847905,0.21902475435875,0.166086507140759,"GF"
2021,0.131325610036602,0.171299647628296,0.0738500283545857,"GF with PBO"
2022,0.117483756769332,0.168045104500509,0.0529507821805355,"GF with PBO"
2023,0.122957901520127,0.181212950553702,0.0532064658093423,"GF with PBO"
2024,0.129560519499888,0.181285560050335,0.0621461561573178,"GF with PBO"
2025,0.136378488830008,0.186084294720712,0.0724943345310014,"GF with PBO"
2026,0.145748299793976,0.19903334796384,0.0750532578286729,"GF with PBO"
2027,0.153827248576613,0.197312654884865,0.0828429712921192,"GF with PBO"
2028,0.162308694207405,0.203490673335074,0.0785803488260755,"GF with PBO"
2029,0.167507053994667,0.202439423105031,0.0859734337869506,"GF with PBO"
2030,0.172409094751383,0.205619028105975,0.102517762318221,"GF with PBO"
2021,0.162965630075345,0.187920405161755,0.123537563605238,"GF at 80%"
2022,0.159781089006203,0.190001805735325,0.113290387795272,"GF at 80%"
2023,0.166513061068769,0.195667369017362,0.111251019219089,"GF at 80%"
2024,0.172068300835232,0.195871202725652,0.126368668186235,"GF at 80%"
2025,0.177088668363617,0.204299107222474,0.134447174374392,"GF at 80%"
2026,0.182444502356091,0.204798704745865,0.147248257474495,"GF at 80%"
2027,0.186043887752317,0.204532830764239,0.152832470080928,"GF at 80%"
2028,0.1897455357112,0.214881411324801,0.152471234268298,"GF at 80%"
2029,0.192343674632568,0.212494263809954,0.159778508080588,"GF at 80%"
2030,0.194146780659679,0.216589646854351,0.163691288395585,"GF at 80%"
2021,0.131270401001772,0.165005713711943,0.0790756755171719,"GF at 80% with PBO"
2022,0.117443306254841,0.163832762661223,0.0400100003434049,"GF at 80% with PBO"
2023,0.121574521577674,0.170505327077521,0.0619984174150984,"GF at 80% with PBO"
2024,0.128481011287363,0.179777182409,0.0705099124433414,"GF at 80% with PBO"
2025,0.136830649697264,0.1831954681608,0.0748718104563355,"GF at 80% with PBO"
2026,0.144686366828265,0.194165608037757,0.0754746009477571,"GF at 80% with PBO"
2027,0.153108236568989,0.197452374887509,0.0854507537466748,"GF at 80% with PBO"
2028,0.158065877491014,0.202569698798999,0.0862485370673367,"GF at 80% with PBO"
2029,0.165017106774929,0.205650391067242,0.090147029756035,"GF at 80% with PBO"
2030,0.169777962343252,0.205642242852327,0.108176383342861,"GF at 80% with PBO"
2020,0.187328213239557,0.205595266972864,0.166295054262937,"BAU"
2020,0.187328213239557,0.205595266972864,0.166295054262937,"GF"
2020,0.187328213239557,0.205595266972864,0.166295054262937,"GF with PBO"
2020,0.187328213239557,0.205595266972864,0.166295054262937,"GF at 80%"
2020,0.187328213239557,0.205595266972864,0.166295054262937,"GF at 80% with PBO"
