"year","mean_burden","max_burden","min_burden","scenario"
2012,0.298312363712187,0.30873816237724,0.277695932809175,"to-present"
2013,0.294767669731349,0.304848280737319,0.275140932418241,"to-present"
2014,0.271234771894951,0.284977892855893,0.253467373498497,"to-present"
2015,0.254472348983126,0.272944375226474,0.233341037219565,"to-present"
2016,0.256907068583409,0.270652017277786,0.233849600745019,"to-present"
2017,0.240984398750191,0.25922423723646,0.212795755795776,"to-present"
2018,0.203198268902129,0.231478999009042,0.165767112114985,"to-present"
2019,0.235590139566859,0.256530986925723,0.210186181996491,"to-present"
2020,0.183776652489348,0.20989294255729,0.151503412624893,"to-present"
2021,0.235993182747751,0.256542962868672,0.206185395180923,"BAU"
2022,0.248134587749124,0.264018707182731,0.229042053019921,"BAU"
2023,0.225003897993931,0.244704696490978,0.201120907560443,"BAU"
2024,0.251243302770161,0.264658943006682,0.230047836351314,"BAU"
2025,0.255686236815159,0.268763871054206,0.235305774517745,"BAU"
2026,0.232379926547466,0.248938878115947,0.212070371319009,"BAU"
2027,0.257295762019524,0.270131144413864,0.23816037881399,"BAU"
2028,0.260253307092234,0.27441738103413,0.241055184351261,"BAU"
2029,0.236506991596793,0.252151466071292,0.215256460000283,"BAU"
2030,0.261978791935155,0.278468371985719,0.241584725913488,"BAU"
2021,0.230638224830554,0.249741521330977,0.203509307580233,"GF"
2022,0.243968025769697,0.257654068107285,0.219311960366708,"GF"
2023,0.248149029236442,0.26393451512852,0.221106618379646,"GF"
2024,0.250046474370906,0.265207307740693,0.224481894910586,"GF"
2025,0.251903280487663,0.268431515606576,0.229162138201074,"GF"
2026,0.25339429772925,0.268271179605233,0.228714539398461,"GF"
2027,0.254665711549884,0.268999932530452,0.228170855178831,"GF"
2028,0.255511579856703,0.269489618462113,0.234330697509718,"GF"
2029,0.256641636178165,0.271346927759204,0.237286788988576,"GF"
2030,0.257170641198624,0.270924932622059,0.237022003078496,"GF"
2021,0.229852072213939,0.248487525332415,0.196367235674015,"GF with PBO"
2022,0.242360617010078,0.262434714059049,0.22204521382335,"GF with PBO"
2023,0.245418979577455,0.263288967834161,0.220714148710577,"GF with PBO"
2024,0.247750967345511,0.263423320567546,0.225372924272017,"GF with PBO"
2025,0.249057202712863,0.263571263129908,0.227973838392411,"GF with PBO"
2026,0.251038543128091,0.263284968384003,0.231986371135961,"GF with PBO"
2027,0.251276550232678,0.26542507671701,0.232844662729189,"GF with PBO"
2028,0.253340564853067,0.270677763255062,0.23823123506797,"GF with PBO"
2029,0.253993693975884,0.267173750503346,0.234606725878612,"GF with PBO"
2030,0.254936444601356,0.269691655869199,0.238548549917397,"GF with PBO"
2021,0.21379849042248,0.233346180442568,0.188372859169575,"GF at 80%"
2022,0.226614493990703,0.244961102110253,0.202664725214674,"GF at 80%"
2023,0.230684366172071,0.251508808031337,0.206396676505249,"GF at 80%"
2024,0.232738892237739,0.252933354141015,0.210367714400927,"GF at 80%"
2025,0.235264998891298,0.253342406542502,0.213797833288251,"GF at 80%"
2026,0.237133679019232,0.254166713024265,0.215303576587613,"GF at 80%"
2027,0.238575211009647,0.254399598410815,0.212983227904465,"GF at 80%"
2028,0.240765021812925,0.258284337597724,0.217882375634529,"GF at 80%"
2029,0.242440505592076,0.259255040499607,0.22308004894388,"GF at 80%"
2030,0.244490951144299,0.259992308965982,0.225097988799039,"GF at 80%"
2021,0.213208851933333,0.238565428390289,0.183072969130239,"GF at 80% with PBO"
2022,0.224068010018862,0.240818160001769,0.197916344587383,"GF at 80% with PBO"
2023,0.227660778827151,0.245261681978585,0.203666477009801,"GF at 80% with PBO"
2024,0.230166321113134,0.248502108511371,0.205442620312033,"GF at 80% with PBO"
2025,0.232763466728838,0.249266669004127,0.210566086898838,"GF at 80% with PBO"
2026,0.234820986009693,0.249298234564609,0.217274077064151,"GF at 80% with PBO"
2027,0.237165872937161,0.25290742630259,0.217984119872352,"GF at 80% with PBO"
2028,0.238508377307436,0.257085974039916,0.219640495328299,"GF at 80% with PBO"
2029,0.239572275506965,0.257322722376698,0.220669910805361,"GF at 80% with PBO"
2030,0.241928644405058,0.260226091918426,0.222085956488993,"GF at 80% with PBO"
2020,0.183776652489348,0.20989294255729,0.151503412624893,"BAU"
2020,0.183776652489348,0.20989294255729,0.151503412624893,"GF"
2020,0.183776652489348,0.20989294255729,0.151503412624893,"GF with PBO"
2020,0.183776652489348,0.20989294255729,0.151503412624893,"GF at 80%"
2020,0.183776652489348,0.20989294255729,0.151503412624893,"GF at 80% with PBO"
