"year","mean_burden","max_burden","min_burden","scenario"
2012,1291.88238739103,1401.53244311212,1200.074426097,"to-present"
2013,1359.6433579242,1452.17951553335,1233.60805572595,"to-present"
2014,1171.84299231018,1278.20455377514,1060.69849148282,"to-present"
2015,1038.51494786806,1189.61681002057,850.030253892246,"to-present"
2016,1421.72971020512,1545.91888660961,1284.03757485802,"to-present"
2017,1381.86005145075,1526.39087143405,1238.08233209518,"to-present"
2018,1083.36087972448,1205.18600426598,878.426274696094,"to-present"
2019,1522.4691102707,1633.09766628739,1376.19516738515,"to-present"
2020,1159.57876238338,1272.48619840188,997.466036445731,"to-present"
2021,1571.34653110244,1740.51900036198,1356.01410573135,"BAU"
2022,1655.37850853647,1826.17275693325,1430.51756210039,"BAU"
2023,1450.62025645507,1708.93880432774,1202.55739295211,"BAU"
2024,1687.98924487686,1906.92041645882,1471.00611000189,"BAU"
2025,1685.54587800631,1867.82287373171,1469.27750402849,"BAU"
2026,1447.01693106552,1722.49621729295,1171.88337656971,"BAU"
2027,1689.38829670544,1872.82832225404,1462.53764454209,"BAU"
2028,1663.4346257778,1804.82596963645,1435.86271715479,"BAU"
2029,1429.9101504014,1665.91564330591,1094.0272924854,"BAU"
2030,1667.81295476487,1807.5325079878,1465.03606901023,"BAU"
2021,1268.8857514867,1625.0043221386,841.67423375012,"GF"
2022,1325.9138773419,1647.63262648154,855.193297537431,"GF"
2023,1380.97692903407,1666.6008047483,932.818480308609,"GF"
2024,1433.85358119339,1657.13679430721,1017.78340183663,"GF"
2025,1446.1894075988,1716.67035641606,1094.14774369638,"GF"
2026,1482.47001657964,1740.35156952211,1136.12745117919,"GF"
2027,1507.10275157018,1737.74182387404,1220.79347872301,"GF"
2028,1524.41370940687,1740.12538601111,1104.73702617311,"GF"
2029,1539.67451886359,1727.98190312325,1202.87527063569,"GF"
2030,1559.79963615604,1719.1171540328,1326.8058977182,"GF"
2021,811.213564338074,1108.32417491363,447.017342571904,"GF with PBO"
2022,789.770516005252,1194.57015082571,353.138504672946,"GF with PBO"
2023,862.626804476611,1286.1410276411,339.581017877173,"GF with PBO"
2024,922.567584438954,1363.97979426237,416.15993649137,"GF with PBO"
2025,986.172519965536,1479.07419250765,450.552964696939,"GF with PBO"
2026,1071.32358936576,1498.05515487355,479.500348431352,"GF with PBO"
2027,1126.29111105076,1472.84959385542,587.348743845189,"GF with PBO"
2028,1191.83728822702,1596.87870166111,667.182396868759,"GF with PBO"
2029,1244.55294721239,1584.96135213474,683.919867752319,"GF with PBO"
2030,1284.74101518805,1606.49105592804,764.674256243995,"GF with PBO"
2021,1298.80727797974,1602.28204759762,906.894457472437,"GF at 80%"
2022,1368.47318323234,1706.86835671155,936.207444496457,"GF at 80%"
2023,1413.61399467724,1689.30754885128,943.767462578479,"GF at 80%"
2024,1433.78157196451,1694.66362794306,1021.51307576552,"GF at 80%"
2025,1447.8162346616,1668.71739342392,1080.95049200189,"GF at 80%"
2026,1477.60909458111,1730.74921749841,1133.7477393666,"GF at 80%"
2027,1489.64667156168,1684.90521056246,1159.64140392998,"GF at 80%"
2028,1504.60560423755,1704.46383494256,1265.22735271435,"GF at 80%"
2029,1509.52632318662,1715.53277128484,1281.57296448286,"GF at 80%"
2030,1522.82797690136,1730.63491866843,1225.20252120313,"GF at 80%"
2021,855.216044081328,1168.18189888266,508.396973618403,"GF at 80% with PBO"
2022,829.537029479007,1283.82763540116,448.49249054981,"GF at 80% with PBO"
2023,896.495979221494,1317.1238827318,456.740806949035,"GF at 80% with PBO"
2024,959.27069592223,1374.49282345743,479.293412711894,"GF at 80% with PBO"
2025,1042.65104937572,1417.18242413342,501.876657248295,"GF at 80% with PBO"
2026,1098.265373314,1422.57867370981,562.641024135951,"GF at 80% with PBO"
2027,1150.662747081,1452.19146931832,623.738610167711,"GF at 80% with PBO"
2028,1203.68540564533,1547.88032694658,606.659113178584,"GF at 80% with PBO"
2029,1248.47902306797,1518.13181612021,800.073373710649,"GF at 80% with PBO"
2030,1293.43814144228,1536.17975005993,960.599975539666,"GF at 80% with PBO"
2020,1159.57876238338,1272.48619840188,997.466036445731,"BAU"
2020,1159.57876238338,1272.48619840188,997.466036445731,"GF"
2020,1159.57876238338,1272.48619840188,997.466036445731,"GF with PBO"
2020,1159.57876238338,1272.48619840188,997.466036445731,"GF at 80%"
2020,1159.57876238338,1272.48619840188,997.466036445731,"GF at 80% with PBO"
