"year","mean_burden","max_burden","min_burden","scenario"
2012,1505.63733406195,1608.32212391004,1396.04325548527,"to-present"
2013,1550.179569475,1644.01764585677,1459.4950802303,"to-present"
2014,1451.13476481669,1538.90757694612,1356.4643243194,"to-present"
2015,1520.29817587989,1594.49617157033,1393.22465909855,"to-present"
2016,1577.71240695243,1683.06317062448,1441.99085056798,"to-present"
2017,1404.86717224698,1518.33860280701,1273.86025428133,"to-present"
2018,1281.59032383134,1441.20673480435,1108.19021068739,"to-present"
2019,1447.95738868258,1620.98000740168,1292.2834163926,"to-present"
2020,1118.21461884039,1326.7813910624,936.338546130833,"to-present"
2021,1541.83224971776,1682.29213531014,1431.94584862503,"BAU"
2022,1550.70596358215,1688.61734287966,1383.14200818587,"BAU"
2023,1472.29287709345,1617.7308353922,1328.61065414721,"BAU"
2024,1644.46842001719,1759.6378492297,1546.89755525305,"BAU"
2025,1615.16005631676,1728.79092550731,1509.66941419688,"BAU"
2026,1530.81795645782,1661.41363796333,1407.49257325991,"BAU"
2027,1691.28075029248,1794.97661133546,1570.03914395542,"BAU"
2028,1647.97654707014,1757.85896439427,1525.44618868913,"BAU"
2029,1542.31985504026,1686.66289348143,1421.35667935553,"BAU"
2030,1710.49129784327,1834.44103017562,1591.4474075464,"BAU"
2021,1575.57399380952,1746.85004651168,1433.18813282171,"GF"
2022,1671.24406535543,1859.16686272708,1525.02397712476,"GF"
2023,1704.06493159154,1836.10431038967,1563.08289204744,"GF"
2024,1729.6197007211,1862.09102540614,1620.65094960188,"GF"
2025,1747.5252049228,1871.92878655988,1624.34659297005,"GF"
2026,1762.06889176284,1899.87168986937,1645.04585276523,"GF"
2027,1775.95318489737,1904.43016755339,1678.57578382447,"GF"
2028,1779.91969228458,1935.7666684838,1652.06447166121,"GF"
2029,1780.97175701585,1914.72751413143,1678.1546943857,"GF"
2030,1788.81304700716,1938.43479863272,1689.11011046697,"GF"
2021,1564.31697317448,1742.83916933284,1409.18628984926,"GF with PBO"
2022,1644.16710287629,1780.46454968492,1481.70694587247,"GF with PBO"
2023,1680.80314873822,1843.28769299596,1545.35455760996,"GF with PBO"
2024,1700.42565877972,1865.03444501275,1548.71843362998,"GF with PBO"
2025,1725.30120573352,1861.19134026922,1597.39832814647,"GF with PBO"
2026,1737.55045836341,1870.35470389127,1606.5918330162,"GF with PBO"
2027,1750.72726663213,1889.63592110261,1620.50435630123,"GF with PBO"
2028,1757.12674968357,1886.65889443869,1617.53191219809,"GF with PBO"
2029,1774.74069501667,1923.86116576858,1629.32101125353,"GF with PBO"
2030,1777.26154434893,1905.25802018041,1644.34714231679,"GF with PBO"
2021,1477.46547442394,1685.89339560677,1323.38976615761,"GF at 80%"
2022,1546.45510749659,1698.48873331183,1397.05322938055,"GF at 80%"
2023,1582.87334835347,1745.91216690542,1396.8599564431,"GF at 80%"
2024,1609.32304693386,1729.11673120012,1466.34811255519,"GF at 80%"
2025,1630.83715815589,1775.2042885344,1451.42045438194,"GF at 80%"
2026,1646.61357935508,1815.55537030764,1432.72489664633,"GF at 80%"
2027,1671.50526181976,1814.88546168264,1522.82097873058,"GF at 80%"
2028,1687.07208399826,1845.93307930617,1494.85544373951,"GF at 80%"
2029,1697.54084436527,1829.65301629869,1493.76620952953,"GF at 80%"
2030,1707.49779115056,1842.9642463565,1533.54922681378,"GF at 80%"
2021,1466.96871030536,1637.80456577943,1302.32209430294,"GF at 80% with PBO"
2022,1540.1657759457,1683.84561698522,1361.29990373013,"GF at 80% with PBO"
2023,1568.94945795847,1722.63312391729,1443.75154178675,"GF at 80% with PBO"
2024,1593.70915803733,1764.45599007545,1446.5901161248,"GF at 80% with PBO"
2025,1619.81627732684,1784.11595559394,1514.86586365748,"GF at 80% with PBO"
2026,1637.29176335445,1812.48490612519,1472.87720107821,"GF at 80% with PBO"
2027,1647.01061235607,1801.10644914978,1532.52363367563,"GF at 80% with PBO"
2028,1660.36761240162,1797.35070273297,1545.60560773855,"GF at 80% with PBO"
2029,1670.12923652182,1796.53425703969,1508.94274540545,"GF at 80% with PBO"
2030,1680.79739465538,1825.08550989125,1549.45711410902,"GF at 80% with PBO"
2020,1118.21461884039,1326.7813910624,936.338546130833,"BAU"
2020,1118.21461884039,1326.7813910624,936.338546130833,"GF"
2020,1118.21461884039,1326.7813910624,936.338546130833,"GF with PBO"
2020,1118.21461884039,1326.7813910624,936.338546130833,"GF at 80%"
2020,1118.21461884039,1326.7813910624,936.338546130833,"GF at 80% with PBO"
