"year","mean_burden","max_burden","min_burden","scenario"
2012,1218.77031366672,1269.54592810575,1152.28124317621,"to-present"
2013,1265.63597404043,1314.17632107537,1204.72024767551,"to-present"
2014,1066.27545154388,1141.31419388072,980.101401539468,"to-present"
2015,960.57127923172,1092.54912029101,816.545815212264,"to-present"
2016,1297.49643204929,1357.8016834159,1241.63669632982,"to-present"
2017,1245.3183504474,1319.37914050479,1189.74458099661,"to-present"
2018,839.01083116881,978.533710807276,691.563512932642,"to-present"
2019,1242.03339869774,1319.21189612258,1145.12469071175,"to-present"
2020,1012.26286889819,1129.65635118327,888.788481819921,"to-present"
2021,1428.52882191445,1509.75468431094,1337.25222054955,"BAU"
2022,1465.93772256764,1541.14850757244,1397.15029749341,"BAU"
2023,1154.62594700221,1251.96730847396,1052.08705350588,"BAU"
2024,1514.96926934443,1586.61511821315,1429.84861284386,"BAU"
2025,1501.00557663383,1583.24922685433,1413.12494158106,"BAU"
2026,1169.77822657773,1284.67650834663,1067.63053318292,"BAU"
2027,1519.49891774112,1587.71471984672,1450.11766985907,"BAU"
2028,1497.3836554477,1549.6647420277,1436.95701411796,"BAU"
2029,1163.32646901794,1255.51720942447,1088.02285452984,"BAU"
2030,1515.92375121031,1590.10736469028,1437.48042331818,"BAU"
2021,1407.27565892435,1482.35655542318,1316.50835241474,"GF"
2022,1420.02003428487,1481.43895767842,1318.83761102333,"GF"
2023,912.500927476189,1122.68299914642,659.07010656828,"GF"
2024,1436.66423475886,1542.63278903705,1273.32748757829,"GF"
2025,1489.2143523035,1571.11745880159,1388.40543904318,"GF"
2026,973.260144053753,1186.89592118253,715.476680786612,"GF"
2027,1519.91353920408,1598.08513142245,1405.81643441694,"GF"
2028,1540.12172945509,1594.63821788518,1485.41477685282,"GF"
2029,1003.4884898282,1218.33299891875,775.568044816746,"GF"
2030,1559.64074215194,1617.05332115913,1448.80538116905,"GF"
2021,1407.27565892435,1482.35655542318,1316.50835241474,"GF with PBO"
2022,1420.02003428487,1481.43895767842,1318.83761102333,"GF with PBO"
2023,912.500927476189,1122.68299914642,659.07010656828,"GF with PBO"
2024,1436.66423475886,1542.63278903705,1273.32748757829,"GF with PBO"
2025,1489.2143523035,1571.11745880159,1388.40543904318,"GF with PBO"
2026,973.260144053753,1186.89592118253,715.476680786612,"GF with PBO"
2027,1519.91353920408,1598.08513142245,1405.81643441694,"GF with PBO"
2028,1540.12172945509,1594.63821788518,1485.41477685282,"GF with PBO"
2029,1003.4884898282,1218.33299891875,775.568044816746,"GF with PBO"
2030,1559.64074215194,1617.05332115913,1448.80538116905,"GF with PBO"
2021,1393.26304100961,1469.72035318109,1287.25833412062,"GF at 80%"
2022,1376.99014079369,1455.2984717699,1279.49614382975,"GF at 80%"
2023,839.215347575458,1085.61618562378,608.318848881829,"GF at 80%"
2024,1374.02458606922,1499.39823872196,1152.21564650264,"GF at 80%"
2025,1430.35295031451,1507.78503130683,1296.46006544409,"GF at 80%"
2026,894.870471330777,1124.24393915029,649.042431549818,"GF at 80%"
2027,1466.18499806215,1566.75505095338,1294.03595985698,"GF at 80%"
2028,1493.19240829897,1558.61980633566,1382.01696576462,"GF at 80%"
2029,936.479708601114,1149.00364991291,724.838392998458,"GF at 80%"
2030,1525.07199558043,1602.37108114517,1417.05863336838,"GF at 80%"
2021,1393.26304100961,1469.72035318109,1287.25833412062,"GF at 80% with PBO"
2022,1376.99014079369,1455.2984717699,1279.49614382975,"GF at 80% with PBO"
2023,839.215347575458,1085.61618562378,608.318848881829,"GF at 80% with PBO"
2024,1374.02458606922,1499.39823872196,1152.21564650264,"GF at 80% with PBO"
2025,1430.35295031451,1507.78503130683,1296.46006544409,"GF at 80% with PBO"
2026,894.870471330777,1124.24393915029,649.042431549818,"GF at 80% with PBO"
2027,1466.18499806215,1566.75505095338,1294.03595985698,"GF at 80% with PBO"
2028,1493.19240829897,1558.61980633566,1382.01696576462,"GF at 80% with PBO"
2029,936.479708601114,1149.00364991291,724.838392998458,"GF at 80% with PBO"
2030,1525.07199558043,1602.37108114517,1417.05863336838,"GF at 80% with PBO"
2020,1012.26286889819,1129.65635118327,888.788481819921,"BAU"
2020,1012.26286889819,1129.65635118327,888.788481819921,"GF"
2020,1012.26286889819,1129.65635118327,888.788481819921,"GF with PBO"
2020,1012.26286889819,1129.65635118327,888.788481819921,"GF at 80%"
2020,1012.26286889819,1129.65635118327,888.788481819921,"GF at 80% with PBO"
