"year","mean_burden","max_burden","min_burden","scenario"
2012,1505.63733406195,1608.32212391004,1396.04325548527,"to-present"
2013,1550.179569475,1644.01764585677,1459.4950802303,"to-present"
2014,1451.13476481669,1538.90757694612,1356.4643243194,"to-present"
2015,1520.29817587989,1594.49617157033,1393.22465909855,"to-present"
2016,1577.71240695243,1683.06317062448,1441.99085056798,"to-present"
2017,1404.86717224698,1518.33860280701,1273.86025428133,"to-present"
2018,1281.59032383134,1441.20673480435,1108.19021068739,"to-present"
2019,1447.95738868258,1620.98000740168,1292.2834163926,"to-present"
2020,1118.21461884039,1326.7813910624,936.338546130833,"to-present"
2021,1541.83224971776,1682.29213531014,1431.94584862503,"BAU"
2022,1550.70596358215,1688.61734287966,1383.14200818587,"BAU"
2023,1472.29287709345,1617.7308353922,1328.61065414721,"BAU"
2024,1644.46842001719,1759.6378492297,1546.89755525305,"BAU"
2025,1615.16005631676,1728.79092550731,1509.66941419688,"BAU"
2026,1530.81795645782,1661.41363796333,1407.49257325991,"BAU"
2027,1691.28075029248,1794.97661133546,1570.03914395542,"BAU"
2028,1647.97654707014,1757.85896439427,1525.44618868913,"BAU"
2029,1542.31985504026,1686.66289348143,1421.35667935553,"BAU"
2030,1710.49129784327,1834.44103017562,1591.4474075464,"BAU"
2021,1556.107770678,1737.90355229774,1425.83811831694,"GF"
2022,1625.15365280233,1782.78364419854,1491.41624924531,"GF"
2023,1654.61430528584,1790.6592048,1517.96045465229,"GF"
2024,1673.36244067917,1809.7555533587,1557.80322295456,"GF"
2025,1693.25029981406,1828.92067841022,1584.29411373211,"GF"
2026,1701.4135525668,1844.64638821439,1584.71275592918,"GF"
2027,1705.30566752471,1833.12758340198,1611.00596251528,"GF"
2028,1705.99883739411,1814.05665215732,1581.16476365467,"GF"
2029,1704.75597670946,1835.33480366864,1549.54497965787,"GF"
2030,1713.55392388245,1878.33487636583,1602.45044694149,"GF"
2021,1551.52861613828,1698.83214342355,1409.46528259013,"GF with PBO"
2022,1614.78358876894,1782.80706422187,1455.98781553235,"GF with PBO"
2023,1640.28251624606,1773.68462519526,1520.02581283701,"GF with PBO"
2024,1658.82353652026,1756.63452387039,1528.73625625546,"GF with PBO"
2025,1671.82440645397,1797.27012705197,1571.89696717892,"GF with PBO"
2026,1682.66498708343,1792.35565633895,1551.97127880848,"GF with PBO"
2027,1691.15240752978,1791.39928104568,1564.16142387938,"GF with PBO"
2028,1701.9436025839,1818.81346156962,1605.4136824196,"GF with PBO"
2029,1702.56970686777,1810.12288395616,1585.34223868315,"GF with PBO"
2030,1705.97578172368,1805.23031289844,1560.1353989473,"GF with PBO"
2021,1477.46547442394,1685.89339560677,1323.38976615761,"GF at 80%"
2022,1546.45510749659,1698.48873331183,1397.05322938055,"GF at 80%"
2023,1582.87334835347,1745.91216690542,1396.8599564431,"GF at 80%"
2024,1609.32304693386,1729.11673120012,1466.34811255519,"GF at 80%"
2025,1630.83715815589,1775.2042885344,1451.42045438194,"GF at 80%"
2026,1646.61357935508,1815.55537030764,1432.72489664633,"GF at 80%"
2027,1671.50526181976,1814.88546168264,1522.82097873058,"GF at 80%"
2028,1687.07208399826,1845.93307930617,1494.85544373951,"GF at 80%"
2029,1697.54084436527,1829.65301629869,1493.76620952953,"GF at 80%"
2030,1707.49779115056,1842.9642463565,1533.54922681378,"GF at 80%"
2021,1466.96871030536,1637.80456577943,1302.32209430294,"GF at 80% with PBO"
2022,1540.1657759457,1683.84561698522,1361.29990373013,"GF at 80% with PBO"
2023,1568.94945795847,1722.63312391729,1443.75154178675,"GF at 80% with PBO"
2024,1593.70915803733,1764.45599007545,1446.5901161248,"GF at 80% with PBO"
2025,1619.81627732684,1784.11595559394,1514.86586365748,"GF at 80% with PBO"
2026,1637.29176335445,1812.48490612519,1472.87720107821,"GF at 80% with PBO"
2027,1647.01061235607,1801.10644914978,1532.52363367563,"GF at 80% with PBO"
2028,1660.36761240162,1797.35070273297,1545.60560773855,"GF at 80% with PBO"
2029,1670.12923652182,1796.53425703969,1508.94274540545,"GF at 80% with PBO"
2030,1680.79739465538,1825.08550989125,1549.45711410902,"GF at 80% with PBO"
2020,1118.21461884039,1326.7813910624,936.338546130833,"BAU"
2020,1118.21461884039,1326.7813910624,936.338546130833,"GF"
2020,1118.21461884039,1326.7813910624,936.338546130833,"GF with PBO"
2020,1118.21461884039,1326.7813910624,936.338546130833,"GF at 80%"
2020,1118.21461884039,1326.7813910624,936.338546130833,"GF at 80% with PBO"
