"year","mean_burden","max_burden","min_burden","scenario"
2012,1495.72156714002,1580.31091833522,1384.22500317817,"to-present"
2013,1547.16671823328,1634.16280368182,1430.1636814334,"to-present"
2014,1449.23924402926,1573.8300112877,1348.66805236322,"to-present"
2015,1468.11292431427,1611.2281805769,1334.4947299278,"to-present"
2016,1555.49841413357,1667.11832072762,1408.74140331847,"to-present"
2017,1415.28102554517,1557.79049261576,1258.33875014293,"to-present"
2018,1237.03458941764,1405.17947566594,995.691003002466,"to-present"
2019,1429.82903032734,1559.60949895985,1269.77533880025,"to-present"
2020,1110.48188281869,1256.62970496637,932.177549576385,"to-present"
2021,1517.09544664307,1638.29394273534,1346.85680454137,"BAU"
2022,1561.52959885893,1673.16237459185,1458.51623010035,"BAU"
2023,1443.27119300415,1575.09991308256,1335.28235586259,"BAU"
2024,1632.19191234021,1752.06625879856,1515.17052859371,"BAU"
2025,1630.36703504268,1747.46736676676,1522.91941063487,"BAU"
2026,1501.06189140227,1626.16537987996,1387.99590285415,"BAU"
2027,1680.73358883248,1809.14915722046,1558.7957590168,"BAU"
2028,1656.80089773678,1788.2712293494,1530.02952343286,"BAU"
2029,1522.3953595559,1640.29514714983,1374.29646269059,"BAU"
2030,1705.15652591762,1853.36783791116,1601.69148907247,"BAU"
2021,1533.75164115237,1653.34991189831,1376.07807762032,"GF"
2022,1626.29125233514,1742.11748528336,1495.05206268965,"GF"
2023,1655.88371526259,1761.37351879236,1544.74192990322,"GF"
2024,1674.3440151941,1789.8144920236,1548.56810846627,"GF"
2025,1678.05172520104,1781.60598189816,1544.3009479762,"GF"
2026,1689.73406717044,1846.3385278429,1557.88739856636,"GF"
2027,1694.44137569541,1834.03055145984,1525.49852506603,"GF"
2028,1697.92882665467,1849.83797505991,1556.59730792489,"GF"
2029,1700.86523086935,1839.39283126885,1558.95596134715,"GF"
2030,1695.64550594623,1825.82880425431,1593.74088736246,"GF"
2021,1523.76631619145,1652.63789500372,1309.04474808432,"GF with PBO"
2022,1608.12522412628,1734.73240741077,1448.89331823019,"GF with PBO"
2023,1632.40377699041,1739.21046659681,1462.0197231388,"GF with PBO"
2024,1647.40241990891,1738.79392741528,1510.60199478037,"GF with PBO"
2025,1659.86671952851,1764.56725187445,1521.19921617972,"GF with PBO"
2026,1675.108903943,1811.9243636578,1578.46890847221,"GF with PBO"
2027,1671.44250990056,1788.79765890255,1546.46589338718,"GF with PBO"
2028,1684.94870933644,1778.17035976455,1559.47413955928,"GF with PBO"
2029,1683.53339653858,1765.42378486742,1531.28586388196,"GF with PBO"
2030,1695.0602715473,1775.50110810509,1596.45867236546,"GF with PBO"
2021,1450.23031204688,1564.5188550783,1284.72493468267,"GF at 80%"
2022,1555.23490568037,1708.7680900514,1394.74196163021,"GF at 80%"
2023,1582.90992781494,1717.75709664749,1406.09545502065,"GF at 80%"
2024,1603.38565857826,1730.05474104085,1426.61853744764,"GF at 80%"
2025,1634.98531397075,1758.11738573756,1471.48335246924,"GF at 80%"
2026,1652.57763972687,1801.74504232232,1495.99261374243,"GF at 80%"
2027,1660.45399369329,1788.08141479615,1484.63148124118,"GF at 80%"
2028,1677.57650467595,1805.74811294318,1503.16189170554,"GF at 80%"
2029,1691.48413198991,1802.81763020945,1528.65378847382,"GF at 80%"
2030,1697.46549697813,1822.83145687133,1577.10727456953,"GF at 80%"
2021,1442.67745586647,1588.3257411214,1257.00065596064,"GF at 80% with PBO"
2022,1529.26650786753,1634.06084807276,1369.65320670272,"GF at 80% with PBO"
2023,1567.62565959766,1684.1492202139,1406.85561169828,"GF at 80% with PBO"
2024,1591.06671312475,1719.42357654356,1445.35046062324,"GF at 80% with PBO"
2025,1613.23625123547,1763.28374515161,1472.43506781403,"GF at 80% with PBO"
2026,1631.96861758774,1765.35790956878,1508.75103777894,"GF at 80% with PBO"
2027,1651.79261495618,1812.52634378561,1531.23305554002,"GF at 80% with PBO"
2028,1660.27481203603,1809.44321397024,1538.19753629752,"GF at 80% with PBO"
2029,1672.637435341,1855.82622141443,1551.12595630394,"GF at 80% with PBO"
2030,1676.96681903686,1845.89709766218,1557.29684526111,"GF at 80% with PBO"
2020,1110.48188281869,1256.62970496637,932.177549576385,"BAU"
2020,1110.48188281869,1256.62970496637,932.177549576385,"GF"
2020,1110.48188281869,1256.62970496637,932.177549576385,"GF with PBO"
2020,1110.48188281869,1256.62970496637,932.177549576385,"GF at 80%"
2020,1110.48188281869,1256.62970496637,932.177549576385,"GF at 80% with PBO"
