"year","mean_burden","max_burden","min_burden","scenario"
2012,4.31606514393236,5.86299721205297,2.9272961486708,"to-present"
2013,3.83891619093501,5.10420042632342,3.15280375920663,"to-present"
2014,2.95098083238906,3.75695004075321,2.34626841162936,"to-present"
2015,2.58573852273477,3.43186297116605,1.67552391423731,"to-present"
2016,2.82133824247208,3.53925715147105,1.98808897996591,"to-present"
2017,2.67066144679833,3.38886275183929,1.92963377967759,"to-present"
2018,2.00236322887583,2.71384220272011,1.47864768337837,"to-present"
2019,2.72695207360478,3.51900711737917,1.93522113897106,"to-present"
2020,2.19807789580361,3.1124543643002,1.59002727322592,"to-present"
2021,3.20468202307565,4.53735565324642,2.378513186199,"BAU"
2022,3.30476149203835,4.19104577975046,2.39025207523866,"BAU"
2023,2.71810445724841,3.6360157980744,1.89723485662937,"BAU"
2024,3.28164105396112,4.06954075632537,2.45235570462292,"BAU"
2025,3.24405485394456,4.23102446150992,2.49424953087553,"BAU"
2026,2.69652196051638,3.66268829261118,1.99894661926342,"BAU"
2027,3.24309818705364,4.34672926840273,2.43575349687484,"BAU"
2028,3.19072682211146,3.96532817766233,2.40382492815586,"BAU"
2029,2.62780409418263,3.48510893860418,1.93939933666538,"BAU"
2030,3.22559952346245,4.56331580007768,2.36232939118706,"BAU"
2021,2.942930404504,3.87420199261375,1.99229809506972,"GF"
2022,2.99978614243527,3.68407844796899,2.18221473504065,"GF"
2023,2.21226844754203,3.25476222090561,1.6248866505111,"GF"
2024,2.95774557126483,3.7142417066312,2.24921543326192,"GF"
2025,2.90749444693436,3.64297117149073,1.92762741598952,"GF"
2026,2.24974063829162,2.89641648140526,1.43359789678703,"GF"
2027,2.95410623367604,4.2578846296528,2.18186283057767,"GF"
2028,2.96244158301183,3.78887384338641,2.41393110591162,"GF"
2029,2.28228617728346,2.82070355671616,1.5681910213955,"GF"
2030,3.07466529004694,3.7268293708445,2.20471493817814,"GF"
2021,2.89977523032558,3.85699880351082,1.84897543724558,"GF with PBO"
2022,2.82127391826031,3.65839413425418,2.13865425496257,"GF with PBO"
2023,2.06771425951579,3.27135009036398,1.46921189875084,"GF with PBO"
2024,2.87700746872814,3.49548216533993,2.25200204240096,"GF with PBO"
2025,2.84786447765297,3.67900945452858,1.88649017979114,"GF with PBO"
2026,2.12825551745091,2.84272429368683,1.58225680742447,"GF with PBO"
2027,2.74385909956553,3.73193149565718,2.00987761376618,"GF with PBO"
2028,2.88965242842663,3.73192791553597,2.30685180816004,"GF with PBO"
2029,2.11618398678705,2.65798656956931,1.46885422458443,"GF with PBO"
2030,2.94649298398055,3.66056182261123,2.2183228064971,"GF with PBO"
2021,2.32512785733281,2.9659855999542,1.62865916550646,"GF at 80%"
2022,2.29381310858761,3.65324242263036,1.78033591694816,"GF at 80%"
2023,1.70454141959491,2.20767137144658,0.904690769642201,"GF at 80%"
2024,2.25165702385598,2.7548094733624,1.50286560239743,"GF at 80%"
2025,2.35612041030006,3.11164774687709,1.43590835455454,"GF at 80%"
2026,1.7190807614249,2.47927221050059,1.21638550489289,"GF at 80%"
2027,2.30227820766437,2.88641463475546,1.68867704481795,"GF at 80%"
2028,2.343618273064,3.38830664971507,1.70669728590491,"GF at 80%"
2029,1.74740514981777,2.4589502927059,1.31316275252553,"GF at 80%"
2030,2.34317795065056,3.15378089336677,1.73679229532794,"GF at 80%"
2021,2.24569206167433,3.01570316880733,1.56907559344528,"GF at 80% with PBO"
2022,2.16401128507207,3.61315377961182,1.55315142242765,"GF at 80% with PBO"
2023,1.57396252732251,2.16919271348922,0.87905445292222,"GF at 80% with PBO"
2024,2.11306173909921,2.72152017389428,1.35068711611982,"GF at 80% with PBO"
2025,2.26662297824727,3.09825159320932,1.46727059493775,"GF at 80% with PBO"
2026,1.56883035100739,2.35166898251287,1.06187278610846,"GF at 80% with PBO"
2027,2.21094122138757,2.76173533257149,1.25520526999223,"GF at 80% with PBO"
2028,2.21148925410041,2.92675811135953,1.56454672671176,"GF at 80% with PBO"
2029,1.60956161546601,2.35620225124398,1.07682471780953,"GF at 80% with PBO"
2030,2.25973146827894,2.76156188599006,1.47710947201154,"GF at 80% with PBO"
2020,2.19807789580361,3.1124543643002,1.59002727322592,"BAU"
2020,2.19807789580361,3.1124543643002,1.59002727322592,"GF"
2020,2.19807789580361,3.1124543643002,1.59002727322592,"GF with PBO"
2020,2.19807789580361,3.1124543643002,1.59002727322592,"GF at 80%"
2020,2.19807789580361,3.1124543643002,1.59002727322592,"GF at 80% with PBO"
