"year","mean_burden","max_burden","min_burden","scenario"
2012,4.10251675581108,5.42579181281609,3.32310669559097,"to-present"
2013,3.75180864850817,4.63936801120159,2.62522147600126,"to-present"
2014,2.89530997592439,3.52682426691565,2.1461585384532,"to-present"
2015,2.28134232297895,2.97533707286635,1.70626780809709,"to-present"
2016,2.69154493335524,3.40329520388122,2.0349654754737,"to-present"
2017,2.70618171883965,3.62002472736928,1.71506419995787,"to-present"
2018,1.86346001234165,2.43610789140222,1.20603317102562,"to-present"
2019,2.62080032028465,3.61108128918288,1.9834902026124,"to-present"
2020,2.08459954274806,2.65416501936362,1.29267458118303,"to-present"
2021,2.89449789423441,3.63439729647993,2.01317433295161,"BAU"
2022,3.22133701531986,4.10498245911491,2.6230421224088,"BAU"
2023,2.61047674907952,3.66521567267104,1.83986337843157,"BAU"
2024,3.15913728455667,4.10754737782071,2.38227804616937,"BAU"
2025,3.17887023677937,3.98513107372678,2.18618444792153,"BAU"
2026,2.65599518378134,3.5412350614022,1.73620098564804,"BAU"
2027,3.0877633871801,3.8185858648348,2.04773397818638,"BAU"
2028,3.21649916381051,3.85985925548587,2.59977938293125,"BAU"
2029,2.67169575690569,3.51128091274799,1.70928640763113,"BAU"
2030,3.12838499530316,3.97965811111631,2.36904575113784,"BAU"
2021,2.72419455772678,3.57177278129885,1.91671814071204,"GF"
2022,2.96028623983826,3.86578689482616,2.08233871260732,"GF"
2023,2.16538578888526,2.79068876350927,1.40509506547271,"GF"
2024,2.80396020628507,3.53160447059365,2.19380814198712,"GF"
2025,2.82615144257706,3.66574690965597,2.07946655395161,"GF"
2026,2.17632986588952,3.26114806989948,1.47737313192326,"GF"
2027,2.77341543700319,3.97762063441303,2.19811715323564,"GF"
2028,2.93431965183297,3.82879684718009,2.16795716509279,"GF"
2029,2.16245390695847,2.70443199906296,1.57549064972271,"GF"
2030,2.81669322306489,3.60224669116897,1.91346693745513,"GF"
2021,2.57263940979674,3.37214019779796,1.73137543014902,"GF with PBO"
2022,2.82226836806605,3.82764276378596,2.00154156253642,"GF with PBO"
2023,1.98727850888021,2.75599088407256,1.32307742307911,"GF with PBO"
2024,2.6095637008555,3.65929097793304,1.71299556024441,"GF with PBO"
2025,2.72179409235711,3.51679926908758,2.12536388810124,"GF with PBO"
2026,1.96715986219724,2.87334179844037,1.18275737731172,"GF with PBO"
2027,2.6088577624987,3.78202468440129,1.8787955082379,"GF with PBO"
2028,2.83662179869856,3.40015086525618,2.01433186739183,"GF with PBO"
2029,2.02988753755002,2.6365706198018,1.35686152539141,"GF with PBO"
2030,2.66748901172611,3.20470101170788,1.9090535814445,"GF with PBO"
2021,2.13774175587894,3.03922321053802,1.30822184640416,"GF at 80%"
2022,2.24216151543558,2.92142535074952,1.54241601691286,"GF at 80%"
2023,1.62807192834183,2.28517765479945,0.950355751927819,"GF at 80%"
2024,2.05417952158341,2.59074148793476,1.45639517099827,"GF at 80%"
2025,2.27916748384117,3.19134452834076,1.55180562519646,"GF at 80%"
2026,1.6611728173749,2.43875510807373,1.22862516175814,"GF at 80%"
2027,2.17079534215351,3.20392785940549,1.57767925185792,"GF at 80%"
2028,2.32548272656186,2.94603183904467,1.40540544029854,"GF at 80%"
2029,1.63622195873022,2.34851075073923,1.06111652118786,"GF at 80%"
2030,2.21002317958863,2.78066224430788,1.62939331277994,"GF at 80%"
2021,2.02981473324501,2.62114257073032,1.36209222334368,"GF at 80% with PBO"
2022,2.11744320275565,2.96745488438095,1.48531029869008,"GF at 80% with PBO"
2023,1.56468054118245,2.22866494334105,1.01278411583709,"GF at 80% with PBO"
2024,1.95228058830246,2.72945270905605,1.35317886829384,"GF at 80% with PBO"
2025,2.15733743240428,3.09107854160062,1.54472183155805,"GF at 80% with PBO"
2026,1.58899684623083,2.28534913831244,1.08698120910887,"GF at 80% with PBO"
2027,2.08601432164791,3.00199488373497,1.41007368095992,"GF at 80% with PBO"
2028,2.14904914785277,2.79853698869421,1.62393214559162,"GF at 80% with PBO"
2029,1.53452290572583,2.12392568995083,0.841414342734577,"GF at 80% with PBO"
2030,2.10435772052815,2.63650225543754,1.32599807839701,"GF at 80% with PBO"
2020,2.08459954274806,2.65416501936362,1.29267458118303,"BAU"
2020,2.08459954274806,2.65416501936362,1.29267458118303,"GF"
2020,2.08459954274806,2.65416501936362,1.29267458118303,"GF with PBO"
2020,2.08459954274806,2.65416501936362,1.29267458118303,"GF at 80%"
2020,2.08459954274806,2.65416501936362,1.29267458118303,"GF at 80% with PBO"
