"year","mean_burden","max_burden","min_burden","scenario"
2012,4.36290943011147,6.28029044393821,3.12523969077318,"to-present"
2013,3.97969051361424,5.16040667048171,2.91058105682541,"to-present"
2014,3.14463233559517,4.08275762290774,2.43298480092511,"to-present"
2015,2.51463832707315,3.66424148258335,1.91909442148439,"to-present"
2016,3.01146745151143,4.04204173205277,2.09841698648143,"to-present"
2017,3.08195199742523,3.91266458087212,1.7233544359177,"to-present"
2018,2.07442870274063,2.78162659732192,1.29222061305837,"to-present"
2019,2.89502126502044,4.2956114361281,2.03769409790478,"to-present"
2020,2.45829601430445,3.2789019582096,1.62626220085914,"to-present"
2021,3.31704963828346,4.36007997642854,2.26879044414236,"BAU"
2022,3.66253713324278,4.83071379651547,2.81210572219093,"BAU"
2023,2.91643476672107,3.92185853941342,1.9087401638302,"BAU"
2024,3.50416542077096,4.82465492349838,2.43426560621625,"BAU"
2025,3.59486341829838,4.79762753858842,2.71214327033383,"BAU"
2026,2.98071992866132,4.30841478522694,1.89659462928213,"BAU"
2027,3.47970784289418,4.44194672678472,2.18903256660308,"BAU"
2028,3.5360476576068,4.56338843196074,2.79554420411024,"BAU"
2029,2.93613988715549,4.04104036395118,1.84128426802828,"BAU"
2030,3.50685032550957,4.62142482063909,2.13905450368962,"BAU"
2021,3.13939641154437,4.06488212356905,2.12555274355441,"GF"
2022,3.34897537201738,4.7798728956628,2.28196213388047,"GF"
2023,2.10771854915765,3.20766690537823,1.14082609454828,"GF"
2024,3.1154781358912,4.46915604634431,2.18785780424584,"GF"
2025,3.19455991486178,4.34798744524788,2.31679287459588,"GF"
2026,2.1070906068572,2.85616389218543,1.25213977240608,"GF"
2027,3.13938231021077,4.72278504134378,2.09704485784514,"GF"
2028,3.31017520403518,4.38823988421582,2.36502413737624,"GF"
2029,2.1369559588442,3.16057568352029,1.51456630891089,"GF"
2030,3.15187859308145,4.05684978323378,2.18132126885443,"GF"
2021,3.13939641154437,4.06488212356905,2.12555274355441,"GF with PBO"
2022,3.34897537201738,4.7798728956628,2.28196213388047,"GF with PBO"
2023,2.10771854915765,3.20766690537823,1.14082609454828,"GF with PBO"
2024,3.1154781358912,4.46915604634431,2.18785780424584,"GF with PBO"
2025,3.19455991486178,4.34798744524788,2.31679287459588,"GF with PBO"
2026,2.1070906068572,2.85616389218543,1.25213977240608,"GF with PBO"
2027,3.13938231021077,4.72278504134378,2.09704485784514,"GF with PBO"
2028,3.31017520403518,4.38823988421582,2.36502413737624,"GF with PBO"
2029,2.1369559588442,3.16057568352029,1.51456630891089,"GF with PBO"
2030,3.15187859308145,4.05684978323378,2.18132126885443,"GF with PBO"
2021,2.51727375743839,3.37297088502942,1.69066429189554,"GF at 80%"
2022,2.60311373432866,3.74359061331272,1.72394864321356,"GF at 80%"
2023,1.64412793381531,2.32960669245916,0.850077626678506,"GF at 80%"
2024,2.33787116839872,3.23724245370293,1.29517703762694,"GF at 80%"
2025,2.62276924588991,3.67138089327918,1.87599156462216,"GF at 80%"
2026,1.65649815048232,2.43595111619415,1.02152816525551,"GF at 80%"
2027,2.50511188750894,3.60906724726834,1.66289884224711,"GF at 80%"
2028,2.60714947070094,3.36237815543425,1.84202250517141,"GF at 80%"
2029,1.62858095867696,2.2733606354022,1.0366195008026,"GF at 80%"
2030,2.55092740365976,3.54290090417046,1.66609625167693,"GF at 80%"
2021,2.52084035172208,3.37588161088973,1.69507043879581,"GF at 80% with PBO"
2022,2.60311373432866,3.74359061331272,1.72394864321356,"GF at 80% with PBO"
2023,1.64412793381531,2.32960669245916,0.850077626678506,"GF at 80% with PBO"
2024,2.33787116839872,3.23724245370293,1.29517703762694,"GF at 80% with PBO"
2025,2.62276924588991,3.67138089327918,1.87599156462216,"GF at 80% with PBO"
2026,1.65649815048232,2.43595111619415,1.02152816525551,"GF at 80% with PBO"
2027,2.50511188750894,3.60906724726834,1.66289884224711,"GF at 80% with PBO"
2028,2.60714947070094,3.36237815543425,1.84202250517141,"GF at 80% with PBO"
2029,1.62858095867696,2.2733606354022,1.0366195008026,"GF at 80% with PBO"
2030,2.55092740365976,3.54290090417046,1.66609625167693,"GF at 80% with PBO"
2020,2.45829601430445,3.2789019582096,1.62626220085914,"BAU"
2020,2.45829601430445,3.2789019582096,1.62626220085914,"GF"
2020,2.45829601430445,3.2789019582096,1.62626220085914,"GF with PBO"
2020,2.45829601430445,3.2789019582096,1.62626220085914,"GF at 80%"
2020,2.45829601430445,3.2789019582096,1.62626220085914,"GF at 80% with PBO"
