"year","mean_burden","max_burden","min_burden","scenario"
2012,9.52955629781929,13.720439352969,5.04978165507883,"to-present"
2013,8.25335757166389,11.629389684737,4.28265007176128,"to-present"
2014,5.97302517448129,9.85734086836197,2.86362198749919,"to-present"
2015,5.43571663918712,9.89751933971634,3.14141165938319,"to-present"
2016,5.56956384593341,8.7664868488768,2.88168070784011,"to-present"
2017,5.09816895630936,7.8015596648293,1.53150818985993,"to-present"
2018,4.22030619529046,8.26953439041068,1.92263422055959,"to-present"
2019,5.53767905413824,10.0439640139401,2.62896893132466,"to-present"
2020,3.73037716843061,7.54106218973362,1.39928893085109,"to-present"
2021,5.65190100601949,9.77122296456077,2.09522133534657,"BAU"
2022,5.50606639258163,11.7859736917849,1.56369043879494,"BAU"
2023,4.4716871611829,8.00967248598642,1.63906074805378,"BAU"
2024,5.45065722443953,9.14038815890413,2.62188831992333,"BAU"
2025,5.29229242710031,9.27254611522964,1.9026788775313,"BAU"
2026,4.22625990676346,7.93956332692359,1.63259779797771,"BAU"
2027,5.98443746407963,11.5054369591084,2.32142116868988,"BAU"
2028,5.10357676124627,8.65553251051213,2.14765870200024,"BAU"
2029,4.87958454400276,8.56917247344065,2.05466979208878,"BAU"
2030,5.78354399622615,9.52500292581708,2.34314003938779,"BAU"
2021,4.77825856649282,8.16438955559332,2.16571346510981,"GF"
2022,4.69896248856272,7.33196535621588,1.80227936403001,"GF"
2023,4.83416400975228,8.0306493030528,2.17643907561896,"GF"
2024,4.33772745870337,7.98269585416436,1.81544054129848,"GF"
2025,4.84262419120096,8.72674561559943,2.08426070204233,"GF"
2026,4.50002621112623,7.65308502990818,2.30161102528608,"GF"
2027,4.60267229327422,8.19513051801314,1.87337610109544,"GF"
2028,4.75248989844524,8.61136071087047,1.69105746254601,"GF"
2029,4.44099003571522,9.62612116012815,2.3822944462571,"GF"
2030,4.96386192543999,8.30099558326517,2.52998931492947,"GF"
2021,4.44182005773008,9.19039595315674,1.94351707520247,"GF with PBO"
2022,4.61754394109361,8.57575562269314,2.27387831946512,"GF with PBO"
2023,4.21804795573951,7.65896009933117,2.50354552243433,"GF with PBO"
2024,4.31125919804776,7.39234014661006,1.86798234545285,"GF with PBO"
2025,4.54532304272452,9.34294516012724,2.1154778178115,"GF with PBO"
2026,4.60704848016182,8.11601775172753,2.13215642401289,"GF with PBO"
2027,4.55511614629772,9.10868581231802,1.6744176771058,"GF with PBO"
2028,4.54546927984523,10.0469429206527,1.8109214045691,"GF with PBO"
2029,4.46043983190285,8.05120529442983,1.96889741592173,"GF with PBO"
2030,4.28756241593253,8.99430415153659,1.81423486867649,"GF with PBO"
2021,4.0591835109632,6.95942164455733,1.66799578151192,"GF at 80%"
2022,4.08811387847834,8.63656878329634,1.48926804786209,"GF at 80%"
2023,4.34694170339264,7.42022878902625,1.72308306402434,"GF at 80%"
2024,4.09391075356046,6.70832664178276,1.31142435650079,"GF at 80%"
2025,4.23482006606862,8.22792152341853,1.26428275794158,"GF at 80%"
2026,3.91517762726705,6.22728941774199,1.26467808822877,"GF at 80%"
2027,4.29311303635056,7.14162173571609,1.92911209318252,"GF at 80%"
2028,4.13949822893528,7.48497957848966,1.46891040378639,"GF at 80%"
2029,4.39400711423218,7.94292486570813,1.90342554473566,"GF at 80%"
2030,4.42147150140264,7.98659899081663,1.9571705360116,"GF at 80%"
2021,4.02482463063421,7.16701352678227,1.36975982212369,"GF at 80% with PBO"
2022,4.22522103044602,7.67690031740512,1.65275012978229,"GF at 80% with PBO"
2023,4.3804536034866,7.7979952409803,1.99901532297563,"GF at 80% with PBO"
2024,4.24541964258334,6.80556340038727,2.27613860024575,"GF at 80% with PBO"
2025,4.87587706806856,8.26279942438608,1.54332600294195,"GF at 80% with PBO"
2026,4.20418492396786,7.54096128632159,1.62830004366838,"GF at 80% with PBO"
2027,4.55487042212585,7.47570081873809,1.70630301179093,"GF at 80% with PBO"
2028,4.0196769693705,7.00693625360624,2.00209214619218,"GF at 80% with PBO"
2029,4.42643954733164,9.27623170247619,1.43827581704453,"GF at 80% with PBO"
2030,4.048799082387,7.69217607157526,1.44065130373665,"GF at 80% with PBO"
2020,3.73037716843061,7.54106218973362,1.39928893085109,"BAU"
2020,3.73037716843061,7.54106218973362,1.39928893085109,"GF"
2020,3.73037716843061,7.54106218973362,1.39928893085109,"GF with PBO"
2020,3.73037716843061,7.54106218973362,1.39928893085109,"GF at 80%"
2020,3.73037716843061,7.54106218973362,1.39928893085109,"GF at 80% with PBO"
