"year","mean_burden","max_burden","min_burden","scenario"
2012,4.62062767269728,6.55597851173606,2.9048456319026,"to-present"
2013,4.10077843462508,5.29042337550916,3.30791494287603,"to-present"
2014,3.21880561793571,4.00189718769431,2.51309606741186,"to-present"
2015,2.85438316594014,3.78528111561489,1.86307844214514,"to-present"
2016,3.23501098289402,4.16281856408177,2.2158736043701,"to-present"
2017,3.02255527415673,3.96804560856681,2.20606334001034,"to-present"
2018,2.24059995706837,3.14410787096578,1.55634167331762,"to-present"
2019,3.07594001265827,4.03249551824899,2.13463670433206,"to-present"
2020,2.59095379794859,3.8412592070705,1.74871910726853,"to-present"
2021,3.60490742709008,4.73968038339667,2.89179637516677,"BAU"
2022,3.6466506819578,4.46315580640857,2.59298359844857,"BAU"
2023,2.79141672325007,3.74422803362503,1.57230790949733,"BAU"
2024,3.58333826833262,5.18728247437607,2.66052685275838,"BAU"
2025,3.50625746657582,4.37114808315781,2.80069953438456,"BAU"
2026,2.7823991750607,4.28024460618912,1.77641807819807,"BAU"
2027,3.58071845965224,4.79773765408905,2.48077635783016,"BAU"
2028,3.52502345491933,4.5041857562364,2.27201009455742,"BAU"
2029,2.71734087046539,4.3886952903303,1.80324623397285,"BAU"
2030,3.61070572410588,4.77920855002863,2.70490768470072,"BAU"
2021,2.95460038519195,3.67767897090983,2.31894012660353,"GF"
2022,2.92709294530977,3.79127904549638,2.264455066759,"GF"
2023,1.99535416453688,2.95857264654536,1.13918809596573,"GF"
2024,2.95367107484408,4.13561662099675,1.93860856669211,"GF"
2025,2.97156073347166,4.14383503602929,2.08982225552345,"GF"
2026,1.97216801152372,3.09300287803962,1.28073143117516,"GF"
2027,3.05188477205847,3.83325697293932,2.3355353501514,"GF"
2028,3.00914353406854,3.81002515025875,2.22898500577598,"GF"
2029,2.03601554879098,2.6798989157477,1.28937777430089,"GF"
2030,3.00234292247721,4.18212811070684,2.33697434573238,"GF"
2021,2.95460038519195,3.67767897090983,2.31894012660353,"GF with PBO"
2022,2.92709294530977,3.79127904549638,2.264455066759,"GF with PBO"
2023,1.99535416453688,2.95857264654536,1.13918809596573,"GF with PBO"
2024,2.95367107484408,4.13561662099675,1.93860856669211,"GF with PBO"
2025,2.97156073347166,4.14383503602929,2.08982225552345,"GF with PBO"
2026,1.97216801152372,3.09300287803962,1.28073143117516,"GF with PBO"
2027,3.05188477205847,3.83325697293932,2.3355353501514,"GF with PBO"
2028,3.00914353406854,3.81002515025875,2.22898500577598,"GF with PBO"
2029,2.03601554879098,2.6798989157477,1.28937777430089,"GF with PBO"
2030,3.00234292247721,4.18212811070684,2.33697434573238,"GF with PBO"
2021,2.75767694540958,3.53739053159957,1.47162244457233,"GF at 80%"
2022,2.61729653920645,3.89486276480779,1.9138724702915,"GF at 80%"
2023,1.6902302676753,2.54496618859814,0.964899728223194,"GF at 80%"
2024,2.6224462387316,3.67065843807914,1.74237120750512,"GF at 80%"
2025,2.6725079493565,3.68741749078076,1.86695441612489,"GF at 80%"
2026,1.78786229904615,2.64592681551953,1.00415205951689,"GF at 80%"
2027,2.75355116413619,3.82480361941472,1.54898419905244,"GF at 80%"
2028,2.76304538955183,3.99396427274241,1.98568673476031,"GF at 80%"
2029,1.77395361014441,2.60695114850617,1.00434319198358,"GF at 80%"
2030,2.84603471926481,4.01145201589004,2.09803863532738,"GF at 80%"
2021,2.75767694540958,3.53739053159957,1.47162244457233,"GF at 80% with PBO"
2022,2.61729653920645,3.89486276480779,1.9138724702915,"GF at 80% with PBO"
2023,1.6902302676753,2.54496618859814,0.964899728223194,"GF at 80% with PBO"
2024,2.6224462387316,3.67065843807914,1.74237120750512,"GF at 80% with PBO"
2025,2.6725079493565,3.68741749078076,1.86695441612489,"GF at 80% with PBO"
2026,1.78786229904615,2.64592681551953,1.00415205951689,"GF at 80% with PBO"
2027,2.75355116413619,3.82480361941472,1.54898419905244,"GF at 80% with PBO"
2028,2.76304538955183,3.99396427274241,1.98568673476031,"GF at 80% with PBO"
2029,1.77395361014441,2.60695114850617,1.00434319198358,"GF at 80% with PBO"
2030,2.84603471926481,4.01145201589004,2.09803863532738,"GF at 80% with PBO"
2020,2.59095379794859,3.8412592070705,1.74871910726853,"BAU"
2020,2.59095379794859,3.8412592070705,1.74871910726853,"GF"
2020,2.59095379794859,3.8412592070705,1.74871910726853,"GF with PBO"
2020,2.59095379794859,3.8412592070705,1.74871910726853,"GF at 80%"
2020,2.59095379794859,3.8412592070705,1.74871910726853,"GF at 80% with PBO"
