"year","mean_burden","max_burden","min_burden","scenario"
2012,5.71651771622696,10.3179259873469,1.75028995050568,"to-present"
2013,5.09145934161822,11.5851672652817,1.41419691052324,"to-present"
2014,3.46607064880609,6.91984403959111,0.736203707694662,"to-present"
2015,2.80261149747639,6.05469245436912,0.663860057948829,"to-present"
2016,3.57806351885358,9.55028391375027,1.01707602728116,"to-present"
2017,3.04654456537747,5.80241584685517,0.925802387494411,"to-present"
2018,2.14913568329411,4.68531348893795,0.673414926923105,"to-present"
2019,3.75817506155936,9.27422894093017,1.22730640629568,"to-present"
2020,2.44108635096173,6.67380635928366,0.911257460246888,"to-present"
2021,3.39477910598941,6.44910075311128,1.22380703798129,"BAU"
2022,3.49943229751064,9.11626376788049,0.975404638995905,"BAU"
2023,2.66580881070753,6.41122171560829,0.673258416451632,"BAU"
2024,3.83706815853903,10.899042020655,0.686083484889377,"BAU"
2025,3.68143878189211,8.85100387378851,1.28962066419655,"BAU"
2026,2.75248813167489,7.60018780851043,0.620958696674208,"BAU"
2027,4.05837544143142,7.75358899924941,1.35898402779269,"BAU"
2028,3.35050608317569,8.36981037727763,1.11481849860209,"BAU"
2029,2.57852862192838,5.96905557595396,0.644464146623466,"BAU"
2030,3.69595479908596,9.74286715641592,0.95397003782625,"BAU"
2021,2.01076758492949,6.11762626991412,0.646903639405479,"GF"
2022,1.72425103628773,5.04806395183122,0.65805262983405,"GF"
2023,2.40411540742016,6.61671526092998,0.630398186497429,"GF"
2024,2.10530728504671,4.67987637892354,0.686268751739392,"GF"
2025,2.56643853226837,10.2474332053619,0.657222863664967,"GF"
2026,2.58454232366194,6.36578844515765,0.625798825901735,"GF"
2027,2.76296373615068,8.04100036105125,0.636420746710553,"GF"
2028,2.69759885354127,7.03940025660003,0.680814913233049,"GF"
2029,2.56977479879939,7.2147935214408,0.851634935673622,"GF"
2030,2.65560217284794,6.79557629145805,0.648063809494857,"GF"
2021,1.78981483819694,4.79576289838205,0.631782175936552,"GF with PBO"
2022,1.35833290176233,4.27327097089749,0.348578164477596,"GF with PBO"
2023,1.80900512628414,5.30868409765145,0.363658468047626,"GF with PBO"
2024,2.02185579168709,5.13432087895203,0.594975124357414,"GF with PBO"
2025,1.75609670517394,4.60243699661435,0.472763116817471,"GF with PBO"
2026,2.15338374762385,5.06400243590635,0.367028943332299,"GF with PBO"
2027,1.97697174680694,6.25614782612605,0.362182460544405,"GF with PBO"
2028,2.00370652085281,5.33251091144582,0.386240241205408,"GF with PBO"
2029,1.80810803734247,5.64851055474485,0.420032194866633,"GF with PBO"
2030,2.07483135353591,4.6357774904117,0.599826990869209,"GF with PBO"
2021,2.14786743804579,5.96091317204519,0.367310632121078,"GF at 80%"
2022,2.09366137732454,6.10066868486969,0.395120710880831,"GF at 80%"
2023,2.12488438691068,4.7632335264137,0.345980809266575,"GF at 80%"
2024,2.2691845264425,5.53734165467472,0.385169907261444,"GF at 80%"
2025,2.10219525220438,6.8940094039453,0.404522066205432,"GF at 80%"
2026,2.35255469558718,7.05833016035696,0.396343214342292,"GF at 80%"
2027,2.41181752410181,7.7564845543308,0.384047167148653,"GF at 80%"
2028,2.24334468993146,5.88709589559955,0.373119714111517,"GF at 80%"
2029,2.30557394520124,6.6316834799294,0.408136472249035,"GF at 80%"
2030,2.46166535696207,8.33468750745017,0.581831551998568,"GF at 80%"
2021,1.62973872564442,4.76381514064316,0.35704134701559,"GF at 80% with PBO"
2022,1.336853925994,4.51948129661302,0.277447870548388,"GF at 80% with PBO"
2023,1.65722125328402,6.20375346550163,0.224716125489327,"GF at 80% with PBO"
2024,1.62952313507901,5.19265934113661,0.224504952509515,"GF at 80% with PBO"
2025,2.04436862315429,6.38292165713909,0.217882597972604,"GF at 80% with PBO"
2026,1.68115117154857,5.34251621136862,0.217191591990463,"GF at 80% with PBO"
2027,1.63971947555881,5.81642088928083,0.28737467146283,"GF at 80% with PBO"
2028,1.79848436950731,5.74670239407114,0.30545489122507,"GF at 80% with PBO"
2029,1.71041281203797,4.52028548966157,0.346402431909484,"GF at 80% with PBO"
2030,2.13646341114054,5.35008749006644,0.538976948837155,"GF at 80% with PBO"
2020,2.44108635096173,6.67380635928366,0.911257460246888,"BAU"
2020,2.44108635096173,6.67380635928366,0.911257460246888,"GF"
2020,2.44108635096173,6.67380635928366,0.911257460246888,"GF with PBO"
2020,2.44108635096173,6.67380635928366,0.911257460246888,"GF at 80%"
2020,2.44108635096173,6.67380635928366,0.911257460246888,"GF at 80% with PBO"
