"month","year","date","mean_burden","max_burden","min_burden","scenario"
1,2012,"2012-01-01",228.886720022933,249.9808468956,195.354241959628,"to-present"
1,2013,"2013-01-01",257.905680208634,282.701063250023,228.289987140698,"to-present"
1,2014,"2014-01-01",270.265837447464,300.192125191474,244.719305082359,"to-present"
1,2015,"2015-01-01",173.701055795442,211.099548025463,119.607559626902,"to-present"
1,2016,"2016-01-01",245.858677978551,287.48890588633,206.084057821424,"to-present"
1,2017,"2017-01-01",293.852638609963,320.234669775581,262.495988340479,"to-present"
1,2018,"2018-01-01",187.609415925647,227.118147282355,139.601851549897,"to-present"
1,2019,"2019-01-01",219.510175000751,260.756345594063,169.68191228853,"to-present"
1,2020,"2020-01-01",256.652464068135,277.723445099816,220.180335810731,"to-present"
2,2012,"2012-02-01",215.862407815842,242.666078167966,187.13290999252,"to-present"
2,2013,"2013-02-01",231.330867230305,255.538997092271,202.484464485101,"to-present"
2,2014,"2014-02-01",242.354426497676,260.881079247122,216.375943745411,"to-present"
2,2015,"2015-02-01",157.890608864322,199.070747811243,106.260328574578,"to-present"
2,2016,"2016-02-01",221.664968185264,250.178646297369,180.013411444056,"to-present"
2,2017,"2017-02-01",254.55907185531,275.015224579817,218.49865254477,"to-present"
2,2018,"2018-02-01",160.592484095319,192.417374884985,111.628557766469,"to-present"
2,2019,"2019-02-01",197.205416038885,225.229969491965,150.987845865086,"to-present"
2,2020,"2020-02-01",180.416342872745,204.501206931434,142.240245795376,"to-present"
3,2012,"2012-03-01",179.540602165813,204.634532791336,148.91144136069,"to-present"
3,2013,"2013-03-01",191.049848913911,210.240405949586,157.287381707125,"to-present"
3,2014,"2014-03-01",199.698755877053,229.077463819206,175.098681363387,"to-present"
3,2015,"2015-03-01",130.863734819127,159.577179013414,88.6465269663722,"to-present"
3,2016,"2016-03-01",187.309372438439,218.120912986863,140.486173325623,"to-present"
3,2017,"2017-03-01",207.946662565458,240.461028964843,181.011550859311,"to-present"
3,2018,"2018-03-01",129.383826894393,161.657919226193,82.4164206962984,"to-present"
3,2019,"2019-03-01",168.467693722713,196.43268185051,135.269398841204,"to-present"
3,2020,"2020-03-01",134.072615113311,154.547618617089,100.459235555782,"to-present"
4,2012,"2012-04-01",225.224843659217,248.848564450178,200.282503829342,"to-present"
4,2013,"2013-04-01",238.287042928737,256.846208443918,210.294911486364,"to-present"
4,2014,"2014-04-01",244.522022051933,270.827381971718,216.355070985443,"to-present"
4,2015,"2015-04-01",177.370888634384,211.247494050324,119.874139124338,"to-present"
4,2016,"2016-04-01",236.878806711587,264.575667368638,196.750215182651,"to-present"
4,2017,"2017-04-01",258.635894542501,283.224133419026,225.203014745295,"to-present"
4,2018,"2018-04-01",174.810740888377,216.770747764463,123.629635753723,"to-present"
4,2019,"2019-04-01",220.322424914336,252.042123083505,176.751590948247,"to-present"
4,2020,"2020-04-01",181.56409882068,202.046499574471,147.72778228529,"to-present"
5,2012,"2012-05-01",219.684522208819,244.755392972874,184.124860101767,"to-present"
5,2013,"2013-05-01",234.190449610721,258.580191045362,199.677508714212,"to-present"
5,2014,"2014-05-01",245.681509574373,266.592194128276,207.908271581296,"to-present"
5,2015,"2015-05-01",173.159844454552,207.897170751432,118.548461759109,"to-present"
5,2016,"2016-05-01",236.756946112849,266.595689355994,204.706930062764,"to-present"
5,2017,"2017-05-01",256.587386298011,282.309137424515,221.067925517465,"to-present"
5,2018,"2018-05-01",154.466201526159,200.107349728869,110.190962316952,"to-present"
5,2019,"2019-05-01",215.158540124189,239.94135204399,172.189885590811,"to-present"
5,2020,"2020-05-01",171.773308301138,197.836124369027,122.6327589294,"to-present"
6,2012,"2012-06-01",242.042597986103,269.504472380173,214.371539916158,"to-present"
6,2013,"2013-06-01",256.910240688406,286.492694929621,225.554372608927,"to-present"
6,2014,"2014-06-01",265.611890226935,289.418120166902,236.188137452511,"to-present"
6,2015,"2015-06-01",193.296783980698,236.255597760945,137.626586922661,"to-present"
6,2016,"2016-06-01",260.36609973363,288.436558298056,218.51615357421,"to-present"
6,2017,"2017-06-01",279.820615286505,306.923106770847,245.881519793966,"to-present"
6,2018,"2018-06-01",151.603492041126,185.245952663838,108.437723137625,"to-present"
6,2019,"2019-06-01",233.867577005758,258.942888658421,192.748856032172,"to-present"
6,2020,"2020-06-01",190.030538119764,216.480777964455,141.299569707843,"to-present"
7,2012,"2012-07-01",185.350499780066,207.926122546727,162.754816838046,"to-present"
7,2013,"2013-07-01",196.714834879426,213.00476140951,176.281663484026,"to-present"
7,2014,"2014-07-01",205.401418388872,228.95252285787,174.098991918494,"to-present"
