"month","year","date","mean_burden","max_burden","min_burden","scenario"
1,2012,"2012-01-01",0.104714601752579,0.175296000788583,0.0544456681976861,"to-present"
1,2013,"2013-01-01",0.107588143855962,0.197173877989344,0.0540023203950104,"to-present"
1,2014,"2014-01-01",0.0993186649832078,0.163993142324124,0.0389827840747913,"to-present"
1,2015,"2015-01-01",0.0622632136650786,0.153714570339445,0.0287129438641004,"to-present"
1,2016,"2016-01-01",0.0793625978646219,0.132471362937001,0.0383124659440196,"to-present"
1,2017,"2017-01-01",0.098322465094165,0.174928704031122,0.0576484032983037,"to-present"
1,2018,"2018-01-01",0.0617712033230009,0.100234941039147,0.0284824515157532,"to-present"
1,2019,"2019-01-01",0.0696359491591464,0.128563244974969,0.0357681579131314,"to-present"
1,2020,"2020-01-01",0.0847283728753745,0.131265457540845,0.0364989279238963,"to-present"
2,2012,"2012-02-01",0.0854050016995731,0.182852645499568,0.0451278376377714,"to-present"
2,2013,"2013-02-01",0.088989368274327,0.155679275831684,0.044233316910231,"to-present"
2,2014,"2014-02-01",0.0885115995735318,0.151854735025743,0.0474177245303162,"to-present"
2,2015,"2015-02-01",0.0542585395239113,0.0967928084538308,0.026959755344751,"to-present"
2,2016,"2016-02-01",0.0638606233607099,0.126389073177476,0.0330973959622869,"to-present"
2,2017,"2017-02-01",0.0818645730537217,0.145484400393535,0.0442426483368226,"to-present"
2,2018,"2018-02-01",0.0526251527443033,0.124810995554913,0.0289161169026375,"to-present"
2,2019,"2019-02-01",0.0604054200269183,0.121610904323521,0.0333001504492352,"to-present"
2,2020,"2020-02-01",0.0603526987051615,0.163003759887568,0.03042469249291,"to-present"
3,2012,"2012-03-01",0.076724444722761,0.173495841325918,0.039229728652894,"to-present"
3,2013,"2013-03-01",0.0749955780987177,0.135026340726353,0.0386955739902337,"to-present"
3,2014,"2014-03-01",0.0702271182757023,0.111013983713688,0.0363827523572701,"to-present"
3,2015,"2015-03-01",0.0486205998365815,0.083868218621438,0.0247647776326795,"to-present"
3,2016,"2016-03-01",0.0573587735813257,0.103797496549048,0.0297452537152535,"to-present"
3,2017,"2017-03-01",0.0727959398884914,0.127212346950253,0.0351338347220097,"to-present"
3,2018,"2018-03-01",0.0471330185061486,0.0897943130720372,0.0259908503472578,"to-present"
3,2019,"2019-03-01",0.0552880741354946,0.0843244156816283,0.0340856338574294,"to-present"
3,2020,"2020-03-01",0.0518594865220254,0.117113536324391,0.0286442910659103,"to-present"
4,2012,"2012-04-01",0.0887966253939322,0.151871851930621,0.0393315571255021,"to-present"
