"year","mean_coverage","max_coverage","min_coverage","new_net_per_cap","irs_per_cap","scenario"
2012,0.301159613187545,0.348204973928828,0.255472014130928,0.080183946034852,0,"to-present"
2013,0.246476244349817,0.275672070798218,0.216950380954982,0.0881487212330012,0,"to-present"
2014,0.426399924806677,0.4804162557672,0.365529535888752,0.78001157155457,0,"to-present"
2015,0.561296588903665,0.637489544619915,0.476037055729156,0.103655147755732,0,"to-present"
2016,0.413519414872865,0.45764913285405,0.359375176107079,0.11175472030677,0.0306469272486198,"to-present"
2017,0.44048956223661,0.48346205955084,0.389889125858857,0.819004946719227,0.0849162023151606,"to-present"
2018,0.625178978317835,0.697446132116045,0.542955902447455,0.117074631471306,0.19041933488527,"to-present"
2019,0.470695049205455,0.515529365357408,0.419565085475741,0.836952031141474,0.130839666372871,"to-present"
2020,0.688440375384743,0.756803777381666,0.606765735920847,0.118564026789672,0.0715066712194814,"to-present"
2021,0.513418196043427,0.560480927013199,0.459337038641868,0.117834612661436,0.0532303295194221,"BAU"
2022,0.462866416076334,0.501741177087793,0.417003271320719,0.837145469528016,0.0535074854516193,"BAU"
2023,0.654417303323745,0.722089350746443,0.573607667545129,0.117558171626469,0.0532443488491024,"BAU"
2024,0.481536323311152,0.526292070267147,0.43148234112573,0.118497760119735,0.0533011566487195,"BAU"
2025,0.446912794134527,0.483235032613372,0.403472955874474,0.836635821139448,0.0533924564130882,"BAU"
2026,0.651830694356654,0.72097545920285,0.568358206307019,0.118102241743522,0.0532562464649274,"BAU"
2027,0.480210878583939,0.525203141986577,0.428499564353312,0.118485610687033,0.0535548059766344,"BAU"
2028,0.446358008495,0.48512258168166,0.400837857066654,0.835945408332601,0.0532683957860917,"BAU"
2029,0.650896683018803,0.720087440937546,0.569953772619673,0.118258170662593,0.0533178190106017,"BAU"
2030,0.479150617524235,0.522827628277292,0.426169528608365,0.117450718592345,0.0533486731874384,"BAU"
2021,0.533556965881864,0.578428198974354,0.481475518918051,0.176199557012579,0.0532254401231819,"GF"
2022,0.474740063372579,0.510459306448067,0.43245794387271,0.772096260190425,0.0532009502171464,"GF"
2023,0.625971108399239,0.686070323186593,0.557490743097328,0.175829683642408,0.0531843173528346,"GF"
2024,0.478938780342426,0.515298924744221,0.434815012322982,0.176739438668356,0.0531671225624038,"GF"
2025,0.447798728662127,0.480315143245942,0.408359767991323,0.772034098560125,0.0532449385301395,"GF"
2026,0.616490705537578,0.676928406057906,0.546719983921143,0.176430126999389,0.053250803343431,"GF"
2027,0.473222885369322,0.508386295319578,0.427913283253348,0.176802652692961,0.0533256311707462,"GF"
2028,0.445009476926005,0.476015353845123,0.405966729679952,0.772385994100875,0.0532819158774447,"GF"
2029,0.614948918740089,0.673607497293553,0.547586669369646,0.176492033984249,0.0533492754265172,"GF"
2030,0.472327663255131,0.510677183020462,0.427769079075031,0.176240626808985,0.0534821216632099,"GF"
2021,0.533553560877718,0.578603175024165,0.481603379555388,0.176227536890365,0.0532364794187623,"GF with PBO"
2022,0.474800898231769,0.509964699555041,0.431218506679546,0.772255573416446,0.0533521968513305,"GF with PBO"
2023,0.626043940349273,0.685470378678677,0.557043149085037,0.176027457544495,0.0533260812448422,"GF with PBO"
