"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
1,44658748.2781656,16081272.5037996,31030.6054534779,19866.990720003,18660.6139152376,13463.8107998705,45497.8972073081,6574.67185242422,1333.98479465666,2673.55919597499,0.926903628961946,0.593439461648019,0.760171545304982,3.10238234715782,2.23839843323071,2.67039039019427,0.200866209533271,0.169714210546241,15165.9657357694,2191.55728414141
3,46151392.1718897,17455701.8549531,32194.2385360073,20347.8749167739,20439.2522342773,14097.9160761716,43801.6655787345,6324.4094643246,1378.57100306678,2919.56614929724,0.961662078280431,0.607803773932087,0.784732926106259,3.41858204476673,2.35795723905222,2.88826964190947,0.209717338999676,0.18955766390025,14600.5551929115,2108.1364881082
5,44805279.2806586,16409409.3725378,30401.300239565,20049.9085290847,18292.2783574761,14157.7259298939,41700.6047417603,6037.87375958251,1338.36176751882,2647.50878921794,0.908105887893854,0.598903331223294,0.753504609558574,2.9512925557996,2.28422016806177,2.61775636193068,0.197151688766958,0.167998518622287,13900.2015805868,2012.6245865275
7,47374299.0357869,17904162.5947479,33180.1275790748,21186.6970722491,19138.0607163724,14283.0612571734,44515.3345272154,6427.62555148219,1415.09999737623,2970.79178986527,0.991111201764118,0.632859917329909,0.811985559547014,3.17552934125053,2.36995173007425,2.77274053566239,0.211140273831509,0.185326978284154,14838.4448424051,2142.54185049406
9,45973249.2381035,17580301.2721062,32464.6586616166,20538.4120706111,19032.002195958,13809.7982151429,43863.6253346147,6335.6697771151,1373.24976200856,2948.48271596862,0.969739696880151,0.61349523810956,0.791617467494856,3.19195494186977,2.31611226213559,2.75403360200268,0.209300622923995,0.190523603771732,14621.2084448716,2111.88992570503
11,44986911.520115,16392030.1397642,29604.1901909048,19268.5453514667,18241.4660982394,13297.3626512202,44576.0090009184,6443.04496003478,1343.78723632384,2691.09468687309,0.884295711263789,0.575563523498397,0.729929617381093,2.994718291706,2.18304027475625,2.58887928323112,0.19946951028702,0.169504771311387,14858.6696669728,2147.68165334493
13,47191574.0644232,18154650.5520944,33785.6648480636,20804.5010538492,20622.5078915943,14546.2674778594,44535.9861788175,6428.47886190397,1409.64188798442,3005.56096636543,1.00919897942411,0.621443482772718,0.815321231098415,3.41412271030401,2.40818150767002,2.91115210898702,0.212496218206012,0.192548586525144,14845.3287262725,2142.82628730132
15,44682091.922371,16529519.4183314,30496.968416087,19350.9242232038,18353.2137111241,13121.6972041647,41585.2912373179,6011.03294842041,1334.68208393643,2701.81417204946,0.910963556273139,0.578024232016553,0.744493894144846,2.99990408991415,2.14479239052993,2.57234824022204,0.196519181404878,0.168803775290863,13861.7637457726,2003.67764947347
17,45968541.7178937,17649253.4610909,32767.7883683045,20485.4857575783,21165.1237802161,14634.1158628807,44192.0811195836,6385.70057686814,1373.10914543012,2897.91659707909,0.97879437116282,0.611914295975149,0.795354333568985,3.47520441117459,2.40284651903906,2.93902546510682,0.207377266277866,0.184835134826005,14730.6937065279,2128.56685895605
19,46835154.2824527,17906219.4757085,33845.7710729619,21972.0481690143,20755.2769678945,15420.1807815887,43985.5604962513,6354.19919343235,1398.995405761,2967.25515879014,1.01099439002494,0.656318846698603,0.833656618361773,3.43937494671339,2.5552915307286,2.997333238721,0.210339991099365,0.188705794272713,14661.8534987504,2118.06639781078
21,44500205.4722748,16266551.8402721,28946.1758406597,18574.8173516902,16484.1247215507,12314.3859056568,44817.5837474479,6475.16999122528,1329.24902170031,2701.79081195584,0.864640410304043,0.554841433448643,0.709740921876343,2.73792855136991,2.04535632514392,2.39164243825692,0.200286744281038,0.171961974189446,14939.1945824826,2158.38999707509
23,47233377.5744365,18115472.2116,33651.4445134654,21709.331475624,19677.4476691077,14970.2600710136,44113.2072843947,6370.00549178443,1410.89058502299,2989.524772601,1.00518973392595,0.648471334446307,0.826830534186129,3.24729140820787,2.47048284537221,2.85888712679004,0.212531096954139,0.193162522289326,14704.4024281316,2123.33516392814
25,43936026.1230023,15842486.9620976,30222.1281131821,19322.7756924553,17735.286236591,13099.4984590379,41649.1541060875,6022.4790657923,1312.3966310175,2607.15567228375,0.902753904207874,0.577183417764962,0.739968660986418,2.91864858225402,2.15574939674944,2.53719898950173,0.196632551318333,0.166820889582317,13883.0513686958,2007.49302193077
27,46668954.6351121,17386127.8849764,33004.8614343677,20916.2951819548,19420.7638107203,14122.5359562574,44524.0508203683,6430.03333884928,1394.03091815269,2867.5163986871,0.98587589219832,0.624782843430476,0.805329367814398,3.20309151472373,2.32924799090026,2.766169752812,0.212844574486186,0.190491486982689,14841.3502734561,2143.34444628309
29,45441814.9449819,17560728.8152112,32239.7902449399,20766.7643343492,19568.8078404635,14322.6702115274,43022.3937825499,6218.01590124203,1357.37548667134,2914.14743755059,0.963022736369373,0.620316263315074,0.791669499842224,3.24738180426828,2.37680184774853,2.81209182600841,0.207073831213017,0.187356032782708,14340.7979275166,2072.67196708068
31,44785624.3572837,15960585.0272815,29411.095124164,19044.6729088593,17995.0917348932,13180.7598092563,44390.5529334908,6411.58870964573,1337.77466264165,2679.88938005119,0.878527840625074,0.568876313357153,0.723702076991114,3.02149671524923,2.21313806313828,2.61731738919375,0.201009519033302,0.169071232814714,14796.8509778303,2137.19623654858
33,46555022.7626293,17997189.3391847,34661.0071679674,21945.2230754713,21877.6516212185,15416.8222631418,44675.114775139,6454.62399034335,1390.62770173086,2988.16735251843,1.03534600301729,0.655517564345619,0.845431783681456,3.63246077441439,2.55973552859152,3.09609815150295,0.210927572464049,0.193988230191453,14891.7049250463,2151.54133011445
35,44264255.6344762,16057771.9841553,30139.1952951445,19459.0931453758,18356.7387794919,13202.4885208045,41622.2290437319,6019.09969257165,1322.20105219689,2634.51227518869,0.900276648966615,0.581255305501485,0.74076597723405,3.01169139122931,2.16606127583688,2.58887633353309,0.196424491694605,0.167283377500667,13874.0763479106,2006.36656419055
37,46029069.4397266,17292300.966752,34869.7836809452,21492.5649467959,21045.1748369053,14445.5022259798,44378.5141596872,6408.44074143555,1374.9171464085,2892.33095089893,1.04158228828125,0.641996382402284,0.841789335341767,3.52004112494312,2.41617198716433,2.96810655605372,0.209668350152646,0.190567865890498,14792.8380532291,2136.14691381185
39,46784543.6676564,17756200.8711872,31991.5536530944,20510.3419466951,19039.7221938238,13907.8186867719,43633.4089392772,6301.43540053099,1397.48363498396,2933.65715599179,0.955607753823587,0.612656765919187,0.784132259871387,3.14571893318935,2.29783229592157,2.72177561455546,0.210454437664846,0.187504317692382,14544.4696464257,2100.47846684366
41,44472599.6259153,15845903.768527,33683.8569867597,20699.66254819,19697.9512700499,13768.8165412016,45230.5453184685,6534.37049830985,1328.42441777147,2646.69240899802,1.00615791481321,0.618311890915895,0.812234902864552,3.29008801648809,2.29976293891581,2.79492547770195,0.201388265078201,0.169398056149202,15076.8484394895,2178.12349943662
43,46867654.1950959,17612330.1629441,32523.8110324363,21200.6474663275,20466.1426043461,14822.3754507411,44074.5342965557,6366.89805206151,1399.9661985164,2928.18690762902,0.971506615261964,0.63327662434248,0.802391619802222,3.40265542771865,2.46433523181049,2.93349532976457,0.212110527476831,0.189479357028559,14691.5114321852,2122.29935068717
45,44040835.8504215,15762983.8333388,30963.0944988321,20108.0284022644,19069.1267748786,13888.267753361,41832.9136396327,6046.799619627,1315.52736325026,2637.38510163636,0.924887034443682,0.600639408253628,0.762763221348655,3.19055271444932,2.32371680688913,2.75713476066923,0.197234561463153,0.167039592848661,13944.3045465442,2015.599873209
47,46425500.8689284,17516256.6968439,32502.1071806652,20919.5473620194,19325.5965110094,14268.9142690969,43884.7425361458,6340.78631744998,1386.75880160639,2889.86238353777,0.970858307609723,0.624879988086851,0.797869147848287,3.18837040146012,2.35411020253078,2.77124030199545,0.208940991125136,0.186784330628242,14628.2475120486,2113.59543914999
49,45243968.7401436,17198599.8279517,30632.0188377143,19331.2114821561,19624.8935265533,13678.4389162775,42895.793926564,6194.45603405721,1351.46569656054,2910.56684275307,0.914997596990997,0.577435400089269,0.746216498540133,3.32117526789087,2.31484022935616,2.81800774862351,0.20583755464158,0.184723960002969,14298.5979755213,2064.81867801907
