"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
1,4493653.29279667,2109449.04455631,3980.30244895402,2544.38496590886,2500.81822096573,1822.91790913069,4150.33811074992,598.85754252645,1511.94636534084,3910.39157539929,1.33922299486258,0.856090434791768,1.09765671482717,4.63589226206045,3.37923442754147,4.00756334480096,0.23295633766257,0.247428390377798,1383.44603691664,199.61918084215
3,5238700.22790986,2838267.86446444,4101.00527738754,2965.94451865942,3109.0313813188,2413.41260916663,4150.75790293558,598.926096019257,1762.6268099934,5326.88838329751,1.37983498489505,0.997929466872334,1.18888222588369,5.83505995181311,4.52951596036171,5.18228795608741,0.26435218124527,0.321424139496351,1383.58596764519,199.642032006419
5,4972178.53867177,2486134.26484567,3782.05295340396,2547.57740554934,2808.15698823328,1970.81318818228,4150.56956894021,598.892919557966,1672.95222384453,4662.8849012718,1.27251944995224,0.857164571401001,1.06484201067662,5.26685666417404,3.69637118491385,4.48161392454394,0.258125508563364,0.302396506059689,1383.52318964674,199.630973185989
7,4942286.15081271,2597505.06905849,3966.43978612267,2522.0755211262,2726.02130942462,1861.31844254556,4150.4966175833,598.877568681435,1662.89455267366,4993.61750145941,1.33455872699051,0.848584140524256,1.09157143375738,5.24068571886493,3.57832308441027,4.4095044016376,0.254919049768942,0.303130932965989,1383.49887252777,199.625856227145
9,4741147.82210683,2421164.85430417,4502.13434999198,2766.46890568713,3411.42364366055,2228.55969766135,4150.63655774085,598.904197857016,1595.2190233877,4599.1730387845,1.51479992407472,0.930813379280297,1.22280665167751,6.48023930212913,4.23330598847286,5.35677264530099,0.256241188863097,0.304439057546677,1383.54551924695,199.634732619005
11,4720079.7484777,2254745.00495894,3935.98643019965,2481.27651858307,2053.40652900883,1656.53792162805,4150.52146594542,598.891581858089,1588.1304041123,4249.15472190051,1.32431231103447,0.834856801189132,1.0795845561118,3.86972452739867,3.12181018971645,3.49576735855756,0.242176776301641,0.266482290274555,1383.50715531514,199.63052728603
13,4841119.31625661,2657094.1420389,4116.17979152749,2894.07350105501,3336.00616759989,2370.11885317377,4150.74134815882,598.924820024497,1628.85569434755,5083.70161035985,1.38494064169694,0.973747555905922,1.17934409880143,6.38263419352708,4.53464438462767,5.45863928907737,0.263546463809145,0.330709797521585,1383.58044938627,199.641606674832
15,4824378.38381585,2423295.95664142,4313.55645202456,2845.5277245896,2869.10324565264,2173.11105114497,4150.65199238626,598.909266573435,1623.22299633839,4641.17944306145,1.45135051023754,0.957413716711611,1.20438211347458,5.49500483721325,4.16201674022605,4.82851078871965,0.248728920415128,0.282118693823593,1383.55066412875,199.636422191145
17,4950640.9355539,2596229.72771131,4461.70159046562,2946.04667979384,3187.37653952119,2349.89253665467,4150.41326068323,598.874219129845,1665.70562544665,4948.64940642596,1.50119581182499,0.991234587852811,1.2462151998389,6.07542886209162,4.47910837109634,5.27726861659398,0.256726806640768,0.306603907066113,1383.47108689441,199.624739709948
19,4842542.07382027,2386824.62754225,4090.79428136451,2677.67562988934,2841.04964437468,2007.06620151071,4150.68541411731,598.907770662659,1629.33439908666,4591.85465832518,1.3763993664088,0.90093776096671,1.13866856368775,5.465708244132,3.86126244074496,4.66348534243848,0.251686442690879,0.278789737243527,1383.56180470577,199.63592355422
