"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
1,36924366.150072,12905687.271533,27028.6594970849,16807.2587940135,15093.2105235342,10811.6058788258,40229.5199587879,5814.50699304953,1210.41248629844,2355.93012268612,0.886022709508766,0.550956401581551,0.718489555545158,2.75526196879662,1.97365606562621,2.36445901721142,0.182571050548248,0.147355788576522,13409.8399862626,1938.16899768318
3,36680015.3655741,13355906.3842881,27000.1184594201,17218.4950534035,16412.9376995975,12088.3092164538,37926.4913798298,5474.42478088793,1202.40245738174,2434.60913448287,0.885087109741907,0.564437079927151,0.724762094834529,2.99186643702042,2.20354255203928,2.59770449452985,0.183120408179643,0.158238814969503,12642.1637932766,1824.80826029598
5,35971239.0363295,12621525.100121,24959.0997065103,15641.9651007372,14432.9169137862,10652.2734618162,35889.741276888,5192.8305312792,1179.16815958977,2242.30336288076,0.818180759251001,0.512757071881106,0.665468915566054,2.5641099530556,1.89245185635506,2.22828090470533,0.173628471862037,0.141346797392055,11963.247092296,1730.9435104264
7,38714981.3196574,14168308.2857337,26449.423680686,16862.7690830628,15899.7223576312,11424.0552500953,38983.0439797859,5636.68163033116,1269.11039192024,2558.65051457989,0.867034861164099,0.552776076608881,0.70990546888649,2.8713260589476,2.06306668762125,2.46719637328443,0.188618116161848,0.158612262017228,12994.347993262,1878.89387677705
9,37583658.3277085,14060751.8533538,26320.7795314336,16838.9855808059,15835.6048631654,11365.3726409138,38237.9888019264,5524.77112327905,1232.02465103234,2577.86985221247,0.862817795286477,0.551996432945327,0.707407114115902,2.90326781910788,2.08370447012646,2.49348614461717,0.187819433579576,0.163449698789906,12745.9962673088,1841.59037442635
11,36056438.987267,12727781.3409197,27739.0529821306,17307.6450693848,14460.906621002,10732.0248047615,38704.5954692086,5593.89751127486,1181.9610872741,2320.33064661183,0.909310019059039,0.567359494141628,0.738334756600333,2.63628702534563,1.95649543213216,2.2963912287389,0.177621440515561,0.145630265874712,12901.5318230695,1864.63250375829
13,38054698.772124,13931899.3510313,25433.6955577525,16607.4020422093,15671.2518173607,11648.8114367814,39144.0368930232,5652.52528080842,1247.46576200916,2564.9644421392,0.833738419522114,0.544404925332192,0.689071672427153,2.88519193704655,2.14463127931778,2.51491160818217,0.18825278455921,0.162368178790327,13048.0122976744,1884.17509360281
15,35881827.7471398,12728580.1305169,25880.9341926191,16378.2665958959,15264.7079105272,10675.9193978021,35966.9503665465,5198.73196310151,1176.23718061476,2280.83485219789,0.848399286706602,0.536893668290051,0.692646477498327,2.73528370438419,1.91301848219372,2.32415109328896,0.17403640507927,0.142466335538258,11988.9834555155,1732.91065436717
17,38152306.8373059,13988202.0772303,24785.3539973481,15747.1792285395,13938.000528856,10278.9619172559,39161.4380946651,5658.54134180775,1250.6654383524,2523.19678224012,0.812485225441267,0.516206081500103,0.664345653470685,2.51414140938933,1.85412274509579,2.18413207724256,0.188492861283165,0.159759284640871,13053.8126982217,1886.18044726925
19,37179612.2054223,13743013.5984675,25194.0965102015,16402.309516934,14284.7782986002,10999.9851772203,38152.343946472,5516.49360014439,1218.77967156626,2528.97313476028,0.825884156630174,0.537681815924416,0.681782986277295,2.62866803516769,2.02420428362622,2.32643615939696,0.184673853487549,0.159285844868178,12717.4479821573,1838.83120004813
