"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
1,40248310.2489679,14518936.4568627,27528.332985009,17673.0197960711,15758.5400040715,11611.2723700241,42430.7672009858,6134.82519072971,1202.24224710296,2427.90161239525,0.822288555772212,0.527904175387546,0.675096365579879,2.63519196454611,1.94167300014712,2.28843248234661,0.181262304386984,0.151673344816117,14143.5890669953,2044.94173024324
3,41985511.5113131,16113100.4384184,31867.0767667165,20437.6879783761,18988.3096855566,13885.7470677992,42056.6519492007,6074.81872029285,1254.13353735571,2639.00894187922,0.9518895512291,0.610486546359846,0.781188048794473,3.10991166739567,2.27421226700875,2.69206196720221,0.187294740494118,0.167672046644789,14018.8839830669,2024.93957343095
5,39906083.873511,14282462.5521827,28560.8785507667,18116.0801575697,17906.3693346561,12514.6628873803,39893.3776126537,5771.8262845567,1192.01973082582,2343.12159700862,0.853131338824068,0.541138666011263,0.697135002417666,2.9376447204921,2.05310371258223,2.49537421653716,0.177235579549582,0.147618466763514,13297.7925375512,1923.94209485223
7,42794244.5258622,16185523.7772612,27474.4513621579,17502.7112745886,15975.3851118914,11747.5449626691,41961.0808772726,6060.80994284984,1278.29089925993,2670.54333531937,0.820679077934922,0.522816953133959,0.671748015534441,2.63587133952738,1.93829550023553,2.28708341988146,0.188507502057454,0.16237860452104,13987.0269590909,2020.26998094995
9,41596931.105232,16087474.9874649,29993.4872429904,19349.9625845211,18120.8548205335,13415.158245387,41549.2812263465,5988.41622184362,1242.52639713796,2675.15772275497,0.895924258146747,0.577995507266528,0.736959882706637,3.01328485382844,2.23078290471874,2.62203387927359,0.18899509037305,0.170891033197073,13849.7604087822,1996.13874061454
11,39831914.1352914,14067407.077015,27349.3636607941,17902.0570803686,14653.2096164373,11511.6712921579,42007.9313624271,6065.77488097313,1189.80423426976,2378.94457966767,0.816942629914066,0.534745662586411,0.675844146250238,2.47800987068289,1.94674312568525,2.21237649818407,0.178286103679858,0.14650114505769,14002.6437874757,2021.92496032438
13,41922963.8898847,16271287.1150705,28590.8226969722,18559.1343507296,17178.2466527433,12774.9129840815,41641.9996359983,6013.64263537215,1252.26520071072,2681.4154114485,0.854025789234508,0.554372972382836,0.704199380808672,2.83087717588529,2.1052328751364,2.46805502551084,0.188846316184032,0.168820121709301,13880.6665453328,2004.54754512405
15,39181119.4306523,13835808.0767814,26376.4267136761,16509.1577658464,15773.0804324074,11118.6059841101,39399.3051082421,5695.85443233733,1170.36458864816,2262.6958134885,0.787880393652293,0.49313888725794,0.640509640455117,2.5795156207839,1.81832698693567,2.19892130385978,0.173448806624078,0.140384075177048,13133.1017027474,1898.61814411244
17,42256970.1258275,15889979.9131551,29129.0612638041,18782.9939059673,17177.4111689948,12781.6132210435,42954.8774772571,6208.13560845507,1262.24217626975,2634.43578136985,0.870103312491079,0.561059797570267,0.715581555030673,2.8478819269896,2.11909262297243,2.48348727498102,0.190181043258839,0.165217802207181,14318.292492419,2069.37853615169
19,40414013.6548013,15207340.1700184,27990.4164372026,17984.9732740179,17159.1229218104,12632.2457594301,39734.3857137624,5740.73575672523,1207.1919116665,2608.25441410289,0.836091278035032,0.537222421246776,0.686656849640904,2.94301025705876,2.16659260552506,2.55480143129191,0.181697207636732,0.163657916129139,13244.7952379208,1913.57858557508
21,40327644.3933891,14184708.5066979,28210.5605148606,18318.6923050257,15393.6449463398,11723.9838614803,42283.8490546242,6109.86754529344,1204.61200770833,2421.23987250765,0.842667119579007,0.547190817814434,0.69492896869672,2.62759766333613,2.00120976590024,2.31440371461819,0.18290377858407,0.151005317827129,14094.6163515414,2036.62251509781
23,41422974.8917599,15858048.2234901,30839.5633558368,19520.2199145375,19563.0804407101,13618.8961685562,41372.8117977216,5973.95074447601,1237.33021603897,2626.91832231597,0.921197081796646,0.583081200398947,0.752139141097796,3.24066453364161,2.25599817649094,2.74833135506627,0.186228703119406,0.166703995841908,13790.9372659072,1991.31691482534
25,40198804.7239932,14312101.6185474,27615.9562473348,18120.1795252083,15122.7614519867,11973.5376786517,40138.9325733455,5805.52259783185,1200.76348605134,2352.63221200767,0.824905917523436,0.541261116691328,0.683083517107382,2.48588898225436,1.96821760949337,2.22705329587387,0.177571220051509,0.146677626393891,13379.6441911152,1935.17419927728
27,42329763.7425996,15666414.6867809,31557.6896641913,19899.306937501,18372.4850325165,13515.1269494131,42633.3413075825,6158.33476214686,1264.41656721589,2570.81626281737,0.942647964611833,0.594404767314329,0.768526365963081,3.01487508496861,2.21779576567123,2.61633542531992,0.191192905917553,0.168065165968489,14211.1137691942,2052.77825404895
29,40867236.126846,15889636.6220245,30123.3716153022,19186.4620602323,19197.8442479056,13811.146803404,40710.1645548474,5876.38084133408,1220.7299508999,2641.61541657614,0.899803985734459,0.573111644155068,0.736457814944764,3.1915972993367,2.29607128119585,2.74383429026628,0.184631665265578,0.166731169279049,13570.0548516158,1958.79361377803
