"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
1,27306375.5392592,10382831.6112972,20142.5692489526,12645.3299235051,12212.3869249551,8583.6176172869,27429.2338480667,3962.39155922995,1351.55520422245,2855.55734637524,0.99697575226315,0.625892712954566,0.811434232608858,3.35873415903117,2.36072521091934,2.85972968497526,0.205546952743021,0.181275441001493,9143.07794935558,1320.79718640998
3,27650643.966827,10837940.879325,21792.0726956141,13828.459419739,13338.6116687615,9431.71079505708,26508.0874481348,3826.94957420812,1368.59509969521,2979.34873911175,1.07861950481877,0.684452840262747,0.881536172540761,3.66678286026054,2.59277624576507,3.1297795530128,0.20561561824765,0.190953361603931,8836.02914937827,1275.64985806937
5,27780589.4542944,9767357.03700942,18122.8397411594,11701.9419335423,11449.2980651646,8165.57311475132,27424.4526589785,3964.69383021638,1375.02687602522,2667.31323905115,0.897007306306093,0.579198821061007,0.73810306368355,3.12662516495933,2.22989097162,2.67825806828966,0.2045022172874,0.165228300959815,9141.48421965951,1321.56461007213
7,29471807.1866454,11371193.1212077,20756.8238332664,12941.6397668774,12449.4171245429,8750.34418268604,27646.9379991108,3991.58320772609,1458.73531709408,3083.47729243588,1.0273788710862,0.640558852380373,0.833968861733285,3.37585463534133,2.37279301307348,2.8743238242074,0.214224777346468,0.185776970443716,9215.64599970361,1330.5277359087
9,28301923.5433502,11197341.7360961,19001.8370120045,12649.5558203469,11317.5895037072,8852.85246153056,26873.6355619097,3871.8672157536,1400.83080596051,3081.30955173968,0.940514117900329,0.626101877765214,0.783307997832772,3.11439960147184,2.436147747632,2.77527367455192,0.213544112502856,0.197637350235561,8957.87852063658,1290.6224052512
11,27160819.3637123,10014952.2812649,18208.6228145356,12031.3686451425,9698.48557270057,7708.76954749902,27409.3212914449,3956.78524131192,1344.35076193811,2802.35340858072,0.901253221663446,0.595504111590429,0.748378666626938,2.71380065919751,2.15704438830023,2.43542252374887,0.202545548368766,0.171634802029914,9136.44043048163,1318.92841377064
13,28302925.6836044,11224529.9176459,18043.1219101677,12226.3918911596,10970.8626574434,8496.71790360069,26542.1297790476,3831.38796170871,1400.88040785198,3061.66646225372,0.893061595928263,0.605156973894316,0.74910928491129,2.99247474118995,2.31761298117159,2.65504386118077,0.209010661983775,0.187273922721083,8847.37659301588,1277.12932056957
15,27883778.1905763,9662891.04176652,18001.0964607035,11103.7432649653,10078.504885304,7195.58091802182,27439.180560488,3964.63931414582,1380.13430133468,2588.17619343018,0.890981506066042,0.549590405161512,0.720285955613777,2.69949710669042,1.9273146255533,2.31340586612186,0.203244335462154,0.162198797120869,9146.39352016267,1321.54643804861
17,28650528.4795082,11089906.6851544,20142.9708249165,13121.4607756475,11880.3642922716,8923.73649152409,27606.669344153,3987.14230433216,1418.08534107831,3049.06027617043,0.996995628650005,0.649459265394992,0.823227447022499,3.26638878562346,2.45349318292661,2.85994098427504,0.212665761780372,0.188079936974142,9202.22311471767,1329.04743477739
19,27700213.505112,10599340.7501623,19859.2515033772,12634.5437297656,12327.2818317371,8917.52541312199,26056.1290957623,3761.93191040481,1371.04859145737,2997.17304851391,0.982952669158234,0.625358839967237,0.804155754562736,3.48578253481959,2.52160652795672,3.00369453138816,0.206392173374426,0.18881663765237,8685.37636525409,1253.97730346827
