"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
1,22389930.841831,9185186.90747131,12806.7831421246,7850.78615827605,6926.25708487553,5010.19864384418,14844.841906744,2135.19535960488,1108.21106623799,2535.47873022405,0.633883994607818,0.388582178334146,0.511233086470982,1.91192380685046,1.38301508979979,1.64746944832512,0.15841323978098,0.130267818623344,4948.28063558133,711.731786534959
3,23529650.4613532,10163143.3907225,16220.5075519005,10185.4608273593,11180.5371906054,7325.64731314833,14368.7829315186,2069.50601754661,1164.62258013169,2801.312276134,0.802849553042348,0.504139136621382,0.653494344831865,3.08174104031697,2.01920065082262,2.5504708455698,0.163918131674106,0.144682951029623,4789.59431050619,689.835339182203
5,23291607.9366904,8976957.81328866,13466.4974814621,8338.44488258166,7860.91655849354,5393.52842124606,14697.2514153275,2117.70290021066,1152.84043743862,2433.55350805616,0.666537187535228,0.412719313845672,0.53962825069045,2.13100712572587,1.46212562020669,1.79656637296628,0.159928037197914,0.123502760518015,4899.08380510915,705.900966736887
7,23541420.6055517,9949951.87537947,12259.1069061599,8055.0033162921,7238.14130887785,5492.62760980797,14664.8903651149,2113.4080029975,1165.20515468917,2723.99325280154,0.606776234887644,0.398690102115948,0.502733168501796,1.98158225639211,1.50371386079671,1.74264805859441,0.163662664948007,0.140443320135943,4888.29678837162,704.4693343325
9,23743461.9152242,10111395.0931485,14579.4778391148,9183.05363654414,9414.03410013637,6329.13360371937,14669.1239106913,2111.40006614482,1175.20538277375,2846.72699916341,0.721625216058833,0.454524032868474,0.588074624463653,2.65039441115919,1.78188225710109,2.21613833413014,0.16890465249596,0.147725557742618,4889.70797023044,703.800022048272
11,21495736.2410064,8953179.16361056,11937.9749135385,7833.24467625569,7247.86717899434,5406.71012670008,14341.9275449365,2065.10906103472,1063.95204824439,2421.5111439824,0.590881499416594,0.387713945884903,0.489297722650749,1.96028593009428,1.46231953866172,1.711302734378,0.150826986314202,0.126079534075907,4780.64251497883,688.369687011575
13,24492984.7593646,10465402.4868208,13521.9252093633,8422.60393052336,7763.86915299883,5778.59708440457,14913.0446396399,2147.82398503392,1212.30373364149,2902.68611304547,0.669280636001885,0.416884846509078,0.543082741255482,2.15338829082701,1.60275283544127,1.87807056313414,0.171402667025834,0.147768539469482,4971.01487987996,715.941328344641
15,23284192.34987,9032522.2630924,12954.6173207741,8019.96550543664,7678.39279066424,5132.590016966,15009.3678723853,2160.81834314361,1152.47339586823,2425.76327247066,0.641201188836998,0.396955872117603,0.519078530477301,2.06209989642693,1.37840217750464,1.72025103696578,0.159216681748884,0.122316105964994,5003.12262412844,720.272781047871
17,24626756.9265589,10300946.456349,13071.7764420698,8234.02238977761,7826.82522506814,5667.060755454,15093.5046912144,2173.97941423471,1218.92491514877,2792.55486292015,0.647000091729903,0.407550822575775,0.527275457152839,2.12182821608772,1.53632271929274,1.82907546769023,0.170956959510229,0.143549069821151,5031.16823040481,724.659804744905
19,23614516.1637527,9936758.76641344,14181.0605426432,8945.04755530926,8109.19918469851,5977.10133951109,14747.9011529487,2121.88007269538,1168.82308933414,2758.0772354217,0.701905170470055,0.442743693977759,0.572324432223907,2.25081419349882,1.65902257726483,1.95491838538182,0.166474328823233,0.1427236713816,4915.96705098289,707.293357565126
