"Run_Number","cases_U1_sum","deaths_1_U1_sum","deaths_2_U1_sum","incidence_U1","death_rate_1_U1","death_rate_2_U1","death_rate_mean_U1","average_PfPR_U1"
1,1460088.48556089,3341.23951215351,2329.11096484964,4425.85768557234,10.1280509506394,7.06006092526006,8.59405593794971,0.211754721784907
3,1661719.89339118,4142.47743255776,3021.4472067604,5218.04228506042,13.0079819673353,9.48778392174065,11.247882944538,0.248265557421928
5,1315367.13645704,3642.23976787114,2534.85905792088,3818.5158506151,10.5734360391715,7.35870558376407,8.96607081146777,0.174239870060877
7,1540161.73130308,3934.75434905302,2985.82373337279,4798.5868019547,12.2592711561044,9.30274663285101,10.7810088944777,0.225902672402772
9,1748831.14734642,4347.89347567264,3083.33397617543,5027.3235874703,12.4987866662964,8.86358734517943,10.6811870057379,0.236279107064793
11,1381084.56522196,3003.76842218553,2221.76428212063,4300.67257659911,9.35368101639127,6.91853414366987,8.13610758003057,0.202102784896001
13,1671541.11262709,4092.048321488,2951.33574470691,5342.38244302968,13.0785219361958,9.43271101554155,11.2556164758687,0.25548316249673
15,1270602.39185624,3742.64092215319,2621.87483217998,3807.2275765941,11.2144332636542,7.85617454164455,9.53530390264938,0.174973046099696
17,1625155.27205898,3691.22696716097,2861.92222256949,4993.63981577122,11.3420903646397,8.79387281078507,10.0679815877124,0.236416769852094
19,1621225.00179115,3978.74948348616,2979.48151468937,4911.01155285378,12.0524200266612,9.02543948186577,10.5389297542635,0.22294893141582
21,1531180.27495138,4073.12282485133,3030.80334196932,4526.21835592404,12.0402826482079,8.95915258577444,10.4997176169912,0.209907443216489
23,1773645.48810652,5045.16237609165,3446.43458795982,5319.97633993978,15.1327560394358,10.3374381115304,12.7350970754831,0.250234815714659
25,1282517.2392588,3591.75254859172,2517.74543888352,3865.46629175528,10.8254282904854,7.58840491754276,9.20691660401408,0.182699320370248
27,1626529.72878041,3881.18997942175,2722.18115385481,4820.62544388741,11.5028719342192,8.06786098092581,9.78536645757252,0.230418414744085
29,1699423.1140739,4344.95429892093,2695.16320551614,5140.83505886375,13.1436916469304,8.15299579106143,10.6483437189959,0.23124886647646
31,1402527.09565352,3293.22043617297,2563.06238083889,4364.94455746731,10.24916000836,7.97676224891683,9.11296112863842,0.195185525942155
33,1731102.34420146,5177.58992727707,3309.51395494242,5425.02310399593,16.2258141886184,10.3715356453068,13.2986749169626,0.25870378166235
35,1263664.86796019,2806.6579237284,2019.52324324461,3816.7547508193,8.4771882450185,6.09973825218879,7.28846324860365,0.174532544257169
37,1745717.74378126,4684.92304384478,2959.04543324153,5042.78282828686,13.5331439240421,8.54767246997792,11.04040819701,0.2360712094848
39,1576819.53694441,3762.92518164287,2759.34109582566,4918.06254536485,11.7364739358252,8.60631909696123,10.1713965163932,0.229615167861447
41,1484338.9798724,3693.92757038999,2773.22180898792,4515.66789734805,11.237695951482,8.43671753210227,9.83720674179214,0.215020123668788
43,1583161.303595,3928.20631528287,2751.15514670534,5057.01964698969,12.5476895302491,8.78788888865161,10.6677892094503,0.243329327666314
45,1241998.40186134,3031.82357052766,2444.38286753192,3986.42348962961,9.7311982687346,7.84569872728817,8.78844849801139,0.186531970976043
47,1655181.88616171,4271.85976290654,3078.15433382979,4701.87435013269,12.1350698763096,8.74411146532455,10.4395906708171,0.225368607801384
49,1493262.46470611,4588.03002336473,2920.69184652068,4926.21388178117,15.1357298032508,9.63524702374869,12.3854884134998,0.228198248976008
