"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
1,22389930.7937172,9185186.88350844,12806.7831404877,7850.78617038729,6926.2571914071,5010.19870505412,14844.8418842339,2135.19535525644,1108.21106385655,2535.47872527121,0.633883994526799,0.388582178933604,0.511233086730202,1.91192383751059,1.38301510760267,1.64746947255663,0.158413240176087,0.130267818590912,4948.28062807796,711.731785085479
3,23529650.3299723,10163143.3315438,16220.5075124588,10185.4607496866,11180.5371684271,7325.64728657484,14368.782883579,2069.50601175623,1164.62257362888,2801.31226789184,0.802849551090141,0.504139132776897,0.653494341933519,3.0817410430812,2.01920064931461,2.55047084619791,0.163918131767119,0.144682950556759,4789.59429452633,689.835337252076
5,23291607.9238806,8976957.7951029,13466.4974721235,8338.44489443691,7860.91655668781,5393.52847093321,14697.2514112796,2117.70289959169,1152.84043680459,2433.55350162999,0.666537187073006,0.412719314432459,0.539628250752732,2.13100712392617,1.46212563277737,1.79656637835177,0.159928037223187,0.123502760542154,4899.08380375988,705.900966530564
7,23541420.5846646,9949951.87381878,12259.1068967263,8055.00337720566,7238.14128001415,5492.62760905853,14664.8903666966,2113.40800228612,1165.20515365534,2723.99325729295,0.606776234420721,0.398690105130923,0.502733169775822,1.98158225206823,1.50371386330678,1.7426480576875,0.163662665125525,0.140443319636714,4888.29678889887,704.469334095373
9,23743461.9212394,10111395.0967578,14579.4779006291,9183.05358789142,9414.03402800454,6329.1335820011,14669.1238937035,2111.40007165621,1175.20538307148,2846.72700590246,0.721625219103542,0.454524030460361,0.588074624781952,2.65039439617964,1.7818822545688,2.21613832537422,0.168904652712614,0.147725557924884,4889.70796456784,703.800023885404
11,21495736.2119852,8953179.15297753,11937.9748820229,7833.24468520267,7247.86714234215,5406.71016874879,14341.9275209019,2065.10905626041,1063.95204680796,2421.51114499332,0.590881497856698,0.387713946327742,0.48929772209222,1.96028592332765,1.46231955238155,1.7113027378546,0.150826986780056,0.126079533843297,4780.64250696729,688.369685420136
13,24492984.7658714,10465402.4834281,13521.9252456857,8422.60392981959,7763.86919446292,5778.59707476705,14913.0446371427,2147.82398576617,1212.30373396355,2902.68611726705,0.669280637799697,0.416884846474245,0.543082742136971,2.15338830615741,1.60275283561878,1.87807057088809,0.171402667001766,0.147768539464308,4971.01487904758,715.941328588723
15,23284192.3429625,9032522.26424681,12954.6172524835,8019.96541134508,7678.39274711317,5132.58995908523,15009.3678607694,2160.8183432802,1152.47339552634,2425.76327362906,0.641201185456891,0.396955867460451,0.519078526458671,2.06209988545209,1.37840216244232,1.72025102394721,0.159216682029983,0.122316106075432,5003.12262025646,720.272781093398
17,24626756.9691028,10300946.4625827,13071.7764447414,8234.02245298649,7826.82522096343,5667.06078807264,15093.5047245661,2173.97942148853,1218.92491725452,2792.55485292841,0.647000091862134,0.407550825704359,0.527275458783247,2.12182820609901,1.53632272170888,1.82907546390394,0.170956959659511,0.143549069718847,5031.16824152203,724.659807162843
19,23614516.2204106,9936758.80006928,14181.0605733538,8945.04758633145,8109.19925066599,5977.1013245267,14747.9011896052,2121.88008055845,1168.82309213848,2758.07723988123,0.701905171990105,0.442743695513232,0.572324433751669,2.25081420782477,1.65902257016907,1.95491838899692,0.166474328546783,0.142723671456988,4915.96706320172,707.293360186151
21,22144130.038158,9478253.56111978,14851.4886552894,9231.63221667409,9500.33445883205,6397.29808666167,14370.877507037,2067.64604355529,1096.04492009646,2590.30655464243,0.735088651866233,0.456928476207868,0.59600856403705,2.59634103068886,1.74831397567333,2.17232750318109,0.154573488370669,0.132789480657307,4790.29250234566,689.215347851764
23,23410994.5715482,10034696.8766858,13251.6684263245,8541.37884987959,7431.53576915262,5662.0114836278,14375.0555326908,2070.57158430302,1158.74959324821,2730.06310555456,0.655904017744095,0.422763724874177,0.539333871309136,2.02184100529336,1.54042008888102,1.78113054708719,0.163922734104943,0.139750690691391,4791.68517756361,690.190528101006
25,23444461.8453575,8708017.25612178,12849.0571283251,8467.47065822009,7943.47277511852,5784.36390557588,15048.8456221093,2168.41560186781,1160.40608801161,2385.91633396429,0.635976386033784,0.419105568158048,0.527540977095916,2.17643820460188,1.58486230768603,1.88065025614396,0.161958893192814,0.119715665804458,5016.28187403644,722.805200622605
27,23517109.8549509,10072199.7124167,13642.3504580441,8879.50250556174,8082.43846380557,5968.02332533965,14705.9818022908,2120.1931754949,1164.0018708097,2703.76202982181,0.675241198997157,0.439499478978595,0.557370338987876,2.16963432524765,1.60204476885542,1.88583954705154,0.16252457840652,0.138198004710992,4901.99393409692,706.7310584983
29,23860443.9443006,10456067.1531093,14687.1993143545,9545.1131764924,9221.36289826862,6574.50473949353,14366.8482246765,2068.38406638946,1180.99552031768,2871.02828607138,0.726956993623284,0.472444516484174,0.599700755053729,2.53200303033494,1.80522837101169,2.16861570067332,0.166056989668869,0.148230881591185,4788.94940822551,689.461355463152
31,21418885.7918964,8763205.05178862,13563.2089628994,8692.0151002077,8264.87390787415,5869.68442111806,14321.104184227,2064.67103921621,1060.14826167842,2413.08053711641,0.671324014913938,0.430219610324181,0.550771812619059,2.27585754880193,1.61630603779201,1.94608179329697,0.151018092865413,0.124353701572325,4773.70139474232,688.223679738736
33,24768655.3362008,10534837.524378,15111.5661562968,9307.74769765288,9363.90724138604,6260.44087685999,14870.4232712173,2140.68970077683,1225.94831280719,2908.36873929983,0.747961436812823,0.460695884822419,0.604328660817621,2.58510822170069,1.72832950658814,2.15671886414442,0.172568515988568,0.151878924549502,4956.80775707244,713.563233592276
35,22358667.4653104,8656741.94071874,14114.3706553371,8693.48785898683,8347.12345459067,5737.77246969172,14393.0531722912,2073.13251776796,1106.66365548122,2326.05304599919,0.698604290639704,0.430292505930177,0.56444839828494,2.24285904210169,1.54173050574598,1.89229477392384,0.153355956824713,0.118286904332754,4797.68439076375,691.044172589321
37,23912669.5249046,9897582.04800421,15041.2121971802,9405.39127793167,9054.02789223261,6460.70767561583,15050.5889665192,2169.15098157851,1183.58047543768,2728.92614826703,0.744479200239718,0.465528847325809,0.605004023782763,2.49634439425887,1.78132336026986,2.13883387726437,0.167301609812223,0.141256276061577,5016.86298883974,723.050327192838
39,23588103.8688941,10099506.7146056,13822.818920557,8922.53167620692,8991.37115363386,6171.58773797277,14500.5032335795,2084.80272047664,1167.51578750932,2760.39226754756,0.68417365835474,0.441629248981767,0.562901453668254,2.45751719450293,1.68681536156161,2.07216627803227,0.164973371850536,0.143873897952361,4833.50107785983,694.93424015888
41,21826427.9474172,9105973.44590718,14215.5675956097,8631.66312542374,8383.82975963765,5895.94919627087,14384.0410966683,2070.36694140731,1080.31995090325,2502.23990301299,0.703613130098465,0.427232431542908,0.565422780820687,2.30380128925833,1.62015400469648,1.96197764697741,0.154445649031906,0.132551550343262,4794.68036555609,690.122313802435
43,24089638.5389687,10144782.5280681,13875.9944008683,9029.53712968038,9184.39876706131,6333.04875672875,14624.0438351113,2105.46098556303,1192.33972624344,2796.88147323414,0.686805629670318,0.446925586363281,0.5668656080168,2.53210699029939,1.74599964935436,2.13905331982687,0.168553762138764,0.14576395207901,4874.68127837045,701.820328521009
45,23535955.0995547,8945296.94655374,13161.1408117619,8233.23297174375,7449.92058019354,5566.286405818,15057.8458165838,2166.89308822779,1164.93463423642,2446.34250129642,0.651423266777642,0.407511749574291,0.529467508175966,2.03738986592633,1.52225723643385,1.77982355118009,0.162983026804697,0.124524809385144,5019.28193886127,722.297696075931
47,23011168.0545508,9588173.83611107,11283.9826933832,7635.80209934465,7376.51824775125,5635.98504736679,14530.2483390566,2093.52762733461,1138.95979694013,2637.45062943131,0.558511528257252,0.377941336481815,0.468226432369534,2.02908322565771,1.55030901240648,1.7896961190321,0.161514863511973,0.137269949336042,4843.41611301885,697.84254244487
49,23875220.0169033,9987682.67904809,12380.2702477104,8351.56183571356,7213.65696218447,5696.82198473046,14781.5542797562,2125.94223910871,1181.72687617981,2830.09271463206,0.612773330496258,0.413368550000924,0.513070940248591,2.04404952285477,1.61424175293062,1.82914563789269,0.169567604762018,0.145889128280191,4927.18475991872,708.647413036236
