"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
1,31699622.9633076,12792857.097659,17424.8452648888,11344.8334471554,10212.0404734637,7673.89100160889,21670.3123255743,3120.33593268101,946.887601193165,2129.42076068594,0.520491046632659,0.338877283844894,0.429684165238776,1.69983380781593,1.2773489682033,1.48859138800962,0.133613434426658,0.109902047450427,7223.43744185811,1040.11197756034
3,34480783.7583279,14330735.5029582,19234.2934681692,12342.2802788467,11472.1735298809,8388.37297170434,21901.4718640171,3152.98213139528,1029.96261684169,2362.58323050271,0.57454039828175,0.368671645716996,0.471606021999373,1.8913170781443,1.38291780697927,1.63711744256178,0.145018286204561,0.123143303302994,7300.49062133903,1050.99404379843
5,33464621.0014033,12994985.6132606,17281.7106675669,11478.9036225173,10721.4067172558,7905.40528164028,21366.0682695021,3085.57457369071,999.6091985553,2111.29276828153,0.516215526521179,0.342882043992576,0.429548785256878,1.74190485019456,1.28438964829864,1.5131472492466,0.137785839827509,0.107109015632902,7122.0227565007,1028.5248578969
7,33022951.4143405,13766566.8031765,21493.7035645747,13456.4454022984,12610.3629958913,9075.09737879741,21357.9583778571,3080.94908405777,986.416251235456,2272.24233993895,0.642030393628806,0.401952456100747,0.521991424864777,2.08140498142587,1.49789128967249,1.78964813554918,0.13934544558691,0.117013917574208,7119.31945928571,1026.98302801926
9,35224943.5120273,14633087.1750057,21582.2656655444,13807.2479801134,12906.0878646168,9155.87908702158,22332.1369285196,3217.30730318842,1052.19113498213,2468.00478819538,0.644675799078609,0.412431148916245,0.528553473997427,2.17673046472041,1.54422324945238,1.86047685708639,0.149473122432013,0.127805298410516,7444.04564283987,1072.43576772947
11,29873274.8275646,11959334.5442614,18854.8169218401,11566.647543283,9995.74731285176,7266.19383094553,20840.4180138873,3003.32608530649,892.333437971758,2010.23598779103,0.563205196059359,0.345503009887006,0.454354102973183,1.68017801482122,1.22136932278065,1.45077366880094,0.127173674905005,0.104972572763013,6946.80600462909,1001.10869510216
13,36181726.6891602,15105355.9922768,21500.8870535382,13745.2145046225,13239.6385097823,9632.12231818278,22603.35502934,3257.08106551063,1080.77084801235,2528.07219720352,0.642244968945385,0.410578170132577,0.526411569538981,2.21582080122567,1.61205738183938,1.91393909153252,0.151763691128961,0.130782078397468,7534.45167644668,1085.69368850354
15,32650428.4537798,13080368.1727922,19525.160898872,12423.632196484,12432.4275688437,8352.41855129655,20889.537823539,3010.49206687273,975.288756977151,2123.41093890873,0.583228790697086,0.371101678472689,0.477165234584888,2.01822703674234,1.35589584970997,1.68706144322616,0.134191526875254,0.107701834775925,6963.17927451299,1003.49735562424
17,35043341.0891483,14627313.3636229,21438.661972462,13695.2534167466,12665.4988538192,9421.63668549696,22148.0263965032,3193.10427030763,1046.76655681696,2408.40539813078,0.640386266782826,0.409085801131641,0.524736033957233,2.08539019102564,1.55128423713197,1.8183372140788,0.146331015936753,0.124084010215149,7382.67546550108,1064.36809010254
19,33966578.8188484,14064259.7425829,20700.0895250016,13470.5654136733,12843.0028655718,9390.53057586172,21802.5056062527,3136.06926956912,1014.60299309383,2360.17384796998,0.618324644980804,0.402374229688246,0.510349437334525,2.15523035321581,1.57585860111831,1.86554447716706,0.143570860752759,0.122352154265854,7267.50186875089,1045.35642318971
