"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
1,30150465.5406671,12007737.3196151,17662.1374325192,11603.154813625,11510.2095911572,8188.39660228199,20829.6540397404,2999.96431736244,900.613298262416,2010.82498651045,0.527579112369263,0.346593504927918,0.437086308648591,1.92750860797586,1.37123523350473,1.6493719207403,0.126113737086873,0.103020200743486,6943.21801324678,999.988105787482
3,33336809.5117716,13762498.8228199,19489.6534284957,12472.432545514,11887.8710204737,8570.51108024173,21377.1310930612,3081.65623266684,995.791389272131,2278.83653461154,0.582168160307635,0.372559375476971,0.477363767892303,1.968429944952,1.41913136715866,1.69378065605533,0.139487195661236,0.118016870777465,7125.71036435372,1027.21874422228
5,30549379.5307793,11786430.3234742,18507.4872589996,11387.7655776406,11294.158166656,7808.06315998758,20211.1841372216,2915.90932100096,912.529109110289,1942.54006219299,0.552830241390311,0.340159693484161,0.446494967437236,1.86140791616767,1.28685913208184,1.57413352412476,0.127671356918182,0.0995740439584902,6737.06137907387,971.969773666987
7,31886722.2814446,13012073.0096365,19054.7853609568,12374.1618004544,11660.0007293847,8487.50762523364,20627.8472460048,2974.18666863915,952.476375064093,2187.09194795685,0.569178378637864,0.369623966744675,0.469401172691269,1.95983327864225,1.42659509915318,1.69321418889772,0.133671677629433,0.112655379446059,6875.9490820016,991.395556213051
9,33006289.3899674,13996682.8521544,20691.8659494735,13489.6993094015,11757.3403900648,8842.78008171523,21115.6703787786,3037.50354652861,985.918546126853,2312.81189389881,0.618079001626809,0.402945771143124,0.510512386384967,1.94278294235789,1.46118099296466,1.70198196766128,0.138851120022672,0.120855241914183,7038.55679292621,1012.5011821762
11,27554161.9293097,11029175.3715922,17362.1817767949,11159.4540126649,9477.78139493783,6887.87194386429,19769.6167782929,2849.48893824156,823.06008252313,1866.43688854607,0.518619248977767,0.333339883976184,0.425979566476975,1.60389877040589,1.16561554662758,1.38475715851673,0.117393067846722,0.0976836175544684,6589.87225943097,949.82964608052
13,33885679.0773159,14190993.4606731,19350.5604698277,12795.5252200606,12801.6263984467,9215.30275322292,21632.1213232991,3112.78104908901,1012.18646712173,2343.72719363338,0.578013366475276,0.382210356118559,0.480111861296918,2.11426493824565,1.52196220230438,1.81811357027502,0.142168391124256,0.121246561647104,7210.70710776637,1037.59368302967
15,28962605.7436571,11046105.8938089,16860.6712138986,10845.768630934,10740.9779877654,7373.94675806708,19697.3891810687,2841.45030933352,865.131181801708,1803.35035875183,0.503638814212864,0.323969905065697,0.413804359639281,1.75353619581347,1.20384592175876,1.47869105878612,0.121814977453765,0.0911738723070544,6565.79639368958,947.150103111173
17,32276021.9103624,13584110.898182,19195.2353815647,12510.813508,11425.5453422213,8471.17804725089,21158.2679728734,3053.02915043282,964.104998918641,2224.88583732039,0.573373708760712,0.373705838876295,0.473539773818503,1.87134323373141,1.38745952561903,1.62940137967522,0.135122000672534,0.11586128605713,7052.75599095782,1017.67638347761
19,31782985.5182613,13125990.4325268,21101.2921869218,13296.6829718146,13814.9602855337,9555.54357465971,20289.0611103299,2919.48147791837,949.377692945383,2257.16489156151,0.630308819889688,0.397180252193569,0.513744536041628,2.37564117505002,1.64318552473271,2.00941334989136,0.135078959387523,0.117705771838453,6763.02037010995,973.160492639458
21,29716555.1777492,11632807.3764114,18012.6356124471,10910.5767923577,10736.4484888084,7258.72688762627,20962.1229652918,3019.4933262258,887.65212382978,1967.40169856533,0.538048712629134,0.325905765456821,0.431977239042978,1.81580475889879,1.2276341510731,1.52171945498595,0.126093855860229,0.0997372383894967,6987.37432176395,1006.4977754086
23,32991728.4213533,13955830.7625326,18753.2713759756,12813.2811229351,11204.9990656723,8738.95141119216,21028.3683213634,3022.45045762864,985.483600870309,2300.41808828035,0.560171966975003,0.382740736063433,0.471456351519218,1.84698302583596,1.44049051905108,1.64373677244352,0.136975929207547,0.11886470749774,7009.45610712113,1007.48348587622
25,31187813.7891595,12109912.1888663,17359.8147976691,11129.5718680608,10413.5489274188,7500.99612313892,20383.3705418896,2939.60249444028,931.599540456961,1994.41683631113,0.51854854582811,0.332447285592429,0.42549791571027,1.71503781222201,1.23536097733615,1.47519939477908,0.128978597623594,0.101186647110745,6794.45684729652,979.86749814676
27,31176411.2202301,12667950.0771689,18558.9328776034,11531.7974158633,10855.7109179486,7814.8018246951,20813.2917843333,3001.34934469067,931.258938578086,2105.37429330306,0.554366954254311,0.344462014743564,0.449414484498937,1.80418572562659,1.29879599846418,1.55149086204539,0.130971451007586,0.109085420480841,6937.76392811109,1000.44978156356
29,33673447.8069271,14192129.228996,18334.3237704785,12005.7217762626,11883.5978485483,8497.86965823517,21331.1873897558,3069.75413042116,1005.84698608912,2359.05751987616,0.547657739482329,0.358618432354113,0.453138085918221,1.97532663460572,1.41254092298068,1.6939337787932,0.141474754510783,0.12011966697852,7110.39579658528,1023.25137680705
31,28692109.9761534,11372265.234069,15907.1574822482,10552.7553306427,9648.55316812577,7039.69911271282,20365.2189943413,2926.32027516976,857.051303731203,1881.30575209135,0.475156761567875,0.315217414181133,0.395187087874504,1.5961532905665,1.16457241905185,1.38036285480918,0.120886036729919,0.095805574663579,6788.40633144711,975.440091723252
33,34097435.754207,14465291.6225383,21414.3253248913,13858.4666489915,14091.9519317686,9798.23982159635,21799.2776156861,3139.57501278367,1018.51177174917,2343.06047569403,0.639659315870317,0.413961082649729,0.526810199260023,2.28258762134193,1.58710028504252,1.93484395319223,0.142678563723047,0.124042384647602,7266.42587189538,1046.52500426122
35,30298662.7220282,11668349.4944818,17890.4757324297,11000.0469167472,9912.04292928611,7064.48929675534,19877.3613852055,2865.70556697745,905.040040931406,1917.4867197631,0.534399720466496,0.328578294135149,0.431489007300823,1.62886882087447,1.16092378059494,1.39489630073471,0.125408437359066,0.0980154310130901,6625.78712840183,955.235188992483
37,32327312.1798918,13381769.9767785,17432.1648425105,11397.4671597733,10142.3418138152,7755.8647140196,21274.4104900096,3069.86619801657,965.637071408446,2215.20311218465,0.520709687002734,0.340449485821568,0.430579586412151,1.6789518269849,1.28389709896324,1.48142446297407,0.135845918566735,0.115562101014761,7091.47016333654,1023.28873267219
39,33017644.709374,13803689.0148996,17647.8251372733,11762.0989507057,10570.4426524519,8155.3447646163,20770.5563895254,2986.81021502041,986.257736632877,2272.74435135523,0.527151595142049,0.351341265898397,0.439246430520223,1.74039807791622,1.34275799223885,1.54157803507754,0.137654063084128,0.117880680180513,6923.51879650847,995.603405006804
41,29040296.5741363,11506216.4462708,16389.0151065014,10669.5450257466,9839.88431458137,7063.12837045529,20487.3723907679,2947.52211791744,867.451855589919,1927.0233633192,0.489550150740795,0.318705995555395,0.404128073148095,1.64795152734172,1.18290955602537,1.41543054168355,0.123881614261981,0.100462242182089,6829.12413025597,982.507372639147
43,33817157.1927716,13955325.1261508,20007.1804209715,12488.9189408897,12344.2853523506,8449.34065706781,21633.3367837841,3114.75698796908,1010.13967549394,2313.15849387514,0.597627015860121,0.373051834437373,0.485339425148747,2.04612133758896,1.40051657212317,1.72331895485606,0.140929969189833,0.120467738516004,7211.11226126136,1038.25232932303
45,30254302.9200072,11616570.6386921,17885.5734946666,11585.910119308,9825.82868567472,7339.04048105562,19972.9393924391,2881.58645507928,903.714985848773,1934.1621573329,0.534253287552724,0.346078395102982,0.440165841327853,1.63600313718816,1.22195222764902,1.42897768241859,0.126419856073844,0.099405296095535,6657.64646414635,960.528818359759
47,31140967.1572011,12752721.6161042,18764.1526544905,12355.3687996955,11633.4933532645,8371.17625440715,20703.8948209515,2982.81450529959,930.200202205828,2118.55983685663,0.560496997582552,0.369062608036137,0.464779802809344,1.93262681665075,1.39067081786207,1.66164881725641,0.131113333121287,0.110251559110618,6901.29827365051,994.271501766532
49,33200643.76527,13738891.9944475,17914.4318109964,12186.2020062684,10698.0310773064,8236.28293989858,21117.9782418792,3037.53560720381,991.724033101403,2286.88887428747,0.535115303544384,0.36400948991498,0.449562396729682,1.78072644121237,1.3709594506129,1.57584294591263,0.14000344919117,0.118048025590629,7039.32608062639,1012.51186906794
