"admin_name","pop_size","pfpr_u5","pfpr_all","mortality_pp_u5","mortality_pp_all","node_id.x","lon.x","lat.x","cluster_id.x","seasonality_archetype.x","deaths_u5","deaths_all","cases_pp_u5","cases_pp_all","node_id.y","lon.y","lat.y","cluster_id.y","seasonality_archetype.y","clinical_cases_u5","clinical_cases_all","mortality_rate_u5","mortality_rate_all","incidence_u5","incidence_all","frac_u5","pop_size_u5"
"Bubanza",201303.876182995,0.119611594599534,0.17196563462952,0.00100958217584106,0.00178664058289744,1,29.42838636,-3.04668647,1,"Gitega",203.232805322068,359.657674683101,1.29146196403024,3.82042405237999,1,29.42838636,-3.04668647,1,"Gitega",259976.29930219,769066.170406838,1.84453085280611,0.595441279240776,2359.98655902241,1273.46662737309,0.182174752430384,36672.4838069138
"Bugarama",195016.1571555,0.0194867947149302,0.0595106367369011,0.000266023054378221,0.000680137760045427,2,29.4303905,-3.72944816,1,"Gitega",51.8787937796093,132.637852300409,0.119536462328395,1.10633038310445,2,29.4303905,-3.72944816,1,"Gitega",23311.5415232467,215752.299857402,0.497464901264656,0.226821294553641,222.897332316902,368.794667649283,0.17965834956904,35036.2809338536
"Buhiga",277009.19890515,0.0833576066545276,0.163560331346705,0.000781928867105008,0.00154709303451692,3,30.1393365,-3.0502219,1,"Gitega",216.60148907757,428.55900212327,1.04899780615917,3.59368247003554,3,30.1393365,-3.0502219,1,"Gitega",290582.041937413,995483.102144025,1.44920208204652,0.515592299759556,1937.46319013707,1197.77511670344,0.180983128330654,50133.9913942224
"Busoni",218791.205835172,0.344259200772799,0.266900247469201,0.00274891892164013,0.00368455326259005,5,30.25180248,-2.47173859,1,"Gitega",601.439285608765,806.147851285995,3.21129770528157,5.41326161297369,5,30.25180248,-2.47173859,1,"Gitega",702603.697234275,1184374.03580376,5.04551021254985,1.22846431784304,5903.73781139979,1804.45521997822,0.181524706284496,39716.0093768604
"Butezi",125726.232208091,0.24660805922066,0.231023621663517,0.00182486625720637,0.00260133371342961,6,30.17161805,-3.44652457,1,"Gitega",229.433558802237,327.055886505386,2.31144259941048,4.76747310820067,6,30.17161805,-3.44652457,1,"Gitega",290608.968989155,599396.431047466,3.39219161330316,0.867049347867481,4276.79714835038,1589.08936027197,0.18031645753258,22670.5088106816
"Cankuzo",179215.356633093,0.146297482023067,0.202305358348448,0.00120337378951896,0.00207543133606421,8,30.52891483,-3.14505865,1,"Gitega",215.663062851557,371.949167060245,1.76243182310464,4.83372822100843,8,30.52891483,-3.14505865,1,"Gitega",315854.84771921,866278.326995472,2.26086146426208,0.691737518785149,3321.05676224706,1611.26713615713,0.176776305483871,31681.0286315726
"Cibitoke",305498.934537512,0.13446527556315,0.178215373868916,0.0011069831340111,0.00188166148427474,9,29.19244319,-2.90271457,1,"Gitega",338.182167991387,574.845578606208,1.30814415844899,3.75810453128591,9,29.19244319,-2.90271457,1,"Gitega",399636.646627636,1148096.93018844,2.05837078494758,0.626904665492381,2417.84930993811,1252.61264380659,0.18058637535998,55168.9452644651
"Gahombo",256161.000799576,0.0755084106423779,0.147709738139977,0.000651506479663487,0.00135119578587754,11,29.74184956,-3.01315344,1,"Gitega",166.890551858007,346.123664786559,0.834248090672674,3.06581100696025,11,29.74184956,-3.01315344,1,"Gitega",213701.825821848,785341.215805292,1.22862962007565,0.450304042364358,1572.32607734967,1021.86699054498,0.176131141157358,45117.9293908401
"Gihofi",293350.813541338,0.205830823454193,0.21845876586432,0.0016202936244994,0.00254233783586968,13,30.11562611,-3.91875872,1,"Gitega",475.314452922741,745.796872449296,1.94449123302847,4.65223988534645,13,30.11562611,-3.91875872,1,"Gitega",570418.085132901,1364738.35515584,2.97052858629117,0.847669364027332,3543.78640978842,1550.80219515935,0.182562759372834,53554.9339843725
"Gitega",313416.21747821,0.102309811591655,0.154149020404966,0.000656987598869903,0.0013398013392579,14,29.93208819,-3.40581734,1,"Gitega",205.910568167896,419.915467922452,0.998619529645848,3.38810757917661,14,29.93208819,-3.40581734,1,"Gitega",312983.555681471,1061887.86187479,1.2289063242404,0.44653195618049,1868.87963064878,1129.37922665238,0.177971575883262,55779.1781319682
"Kayanza",291321.219954611,0.0133481084186793,0.050614369154085,0.00026203052884576,0.000772150689359408,18,29.57431919,-2.89999679,1,"Gitega",76.3350533286986,224.943880812977,0.154204399897684,1.17201748093171,18,29.57431919,-2.89999679,1,"Gitega",44923.013900562,341433.562353156,0.478659445437039,0.257371646869259,284.380904504356,390.630181002825,0.182889462964383,53279.5814676277
"Kibuye",229010.83476279,0.0551162505787374,0.115181990778284,0.000577576402317186,0.00133845511759148,20,29.97990171,-3.64488773,1,"Gitega",132.271254033948,306.520723772153,0.655211601888054,2.73374739022268,20,29.97990171,-3.64488773,1,"Gitega",150050.555894648,626057.771865495,1.0435625141083,0.446359457708243,1179.42565449579,911.278903261565,0.184386170532019,42226.4308322518
"Kinyinya",335969.532434028,0.350926057699586,0.274252378009864,0.00279292264951331,0.00361721925213654,22,30.41267628,-3.52205978,1,"Gitega",938.336916681394,1215.27546085168,3.50194798012784,5.79858424013264,22,30.41267628,-3.52205978,1,"Gitega",1176547.82549184,1948147.63593669,5.37364614498403,1.20591533609098,6747.92247948222,1932.82721206397,0.173070720679673,58146.4891047701
"Kirundo",256307.246344997,0.342771258339521,0.270547503686095,0.00282194965232726,0.00367142389584104,24,30.06174634,-2.49096793,1,"Gitega",723.286144712222,941.012548908238,3.5633063924444,5.74949727468993,24,30.06174634,-2.49096793,1,"Gitega",913301.249330951,1473637.81434384,5.28434373513739,1.2241201595742,6626.02700054503,1916.54603679658,0.179393252172547,45979.7904772191
"Mabayi",303326.537061169,0.0739235732465631,0.138422419443509,0.000710535124149698,0.00146230251545039,25,29.25327932,-2.76167182,1,"Gitega",215.524158668656,443.555158147404,0.930674916059778,3.27249437310705,25,29.25327932,-2.76167182,1,"Gitega",282298.399418106,992634.385746724,1.28598778496165,0.487397560898972,1683.82733566288,1090.77819472596,0.184358149187906,55920.7189721738
"Makamba",295318.120745996,0.0986789767141159,0.147710288929449,0.000810470197543548,0.00152576755612487,26,29.92731052,-4.1790986,1,"Gitega",239.346535659197,450.586807370008,0.858592425419174,3.12076132815547,26,29.92731052,-4.1790986,1,"Gitega",253557.901561537,921617.370727653,1.5025119286991,0.508544217810637,1589.87249501074,1040.2913748571,0.179855800358555,53114.6769671555
"Mpanda",237180.714274938,0.0928899379141901,0.145694213834043,0.000760080812339861,0.00160175429509333,28,29.3715791,-3.19732191,1,"Gitega",180.276509977443,379.905227803186,0.885150723877266,3.1525831463688,28,29.3715791,-3.19732191,1,"Gitega",209940.680930188,747731.922466884,1.38849337736508,0.534046233572556,1618.01202303744,1050.9040937836,0.181646751843338,43083.1063479253
"Mukenke",165895.919547284,0.317938331059973,0.263711052544459,0.00234496946191059,0.00314865965134126,29,30.2945314,-2.59545461,1,"Gitega",389.020865193958,522.349788200689,3.81879994267382,6.00401876202705,29,30.2945314,-2.59545461,1,"Gitega",633523.328056989,996042.213505624,4.36546009741,1.04978673856455,7123.09324884402,2001.50075414147,0.17852887684341,29617.2121896813
"Murore",149893.801163942,0.330976480584822,0.266695782722844,0.00308092804218109,0.00399878761676912,31,30.73189158,-3.13601584,1,"Gitega",461.812015355106,599.393475924824,3.36070292199845,5.77159465712041,31,30.73189158,-3.13601584,1,"Gitega",503748.535561115,865126.261933277,5.48268368261776,1.33298751998694,5987.23290141619,1923.89869417748,0.187388031835667,28088.3043844779
"Musema",287439.683206241,0.0592950589111937,0.13698644056912,0.000494106362337374,0.00126252104198587,32,29.68877279,-3.1146423,1,"Gitega",142.025776260443,362.898648349632,0.679224254934891,2.90690081068253,32,29.68877279,-3.1146423,1,"Gitega",195236.00466448,835558.648134551,0.929296429810619,0.420743483232584,1279.12037553736,968.985413331028,0.17712697393279,50913.3212745211
"Mutaho",219384.247581389,0.134706230325143,0.179599878782283,0.00103423686931478,0.00171305145940193,33,29.90982779,-3.2165473,1,"Gitega",226.895277395555,375.816505489092,1.5766573079089,4.13875357659647,33,29.90982779,-3.2165473,1,"Gitega",345893.777189292,907977.3393264,1.92076235166434,0.571100056626988,2926.50624678202,1379.41544618409,0.179984467046347,39485.7568793001
