"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
1,38426180.2848783,13862887.1446142,23719.400707578,15197.3604743342,13424.3762132008,9976.39468269789,42207.6086827216,6095.33007369643,1147.81408331198,2315.78959789743,0.708513361932887,0.453954680176064,0.581234021054476,2.24253652709493,1.66655263003326,1.95454457856409,0.157919320350382,0.120203447509336,14069.2028942405,2031.77669123214
3,38283579.2827095,14970189.0120167,25293.5511714651,16358.943488871,14328.3728745785,10979.4478734668,40116.4114200345,5792.08645452096,1143.55450202209,2450.3417697919,0.755534222666544,0.48865189267902,0.622093057672782,2.3452883941245,1.797131600143,2.07120999713375,0.158069634016519,0.130587600218738,13372.1371400115,1930.69548484032
5,35360144.328843,13075833.8768322,21425.8379409696,13896.08947488,11156.1560212235,8729.63606132788,37670.2862983954,5444.43495695789,1056.22966809851,2154.16243290947,0.640003204926488,0.415084900033833,0.52754405248016,1.83790742701134,1.43815333181948,1.63803037941541,0.143025454384501,0.11133574688261,12556.7620994651,1814.8116523193
7,39959292.7070416,15042978.6421338,25787.1880096113,16084.1768158307,13997.1218307232,10379.7989961114,41417.090533169,5993.70305310706,1193.60911202453,2494.6979313844,0.770279464339414,0.48044443998395,0.625361952161682,2.32125509894945,1.72136540905917,2.02131025400431,0.161845994368954,0.127168415291836,13805.6968443896,1997.90101770235
9,38518538.3349489,15069670.1110073,24903.6857583944,15797.0424235457,14240.6405346753,10328.400026345,40412.3313239678,5827.526500826,1150.57287614001,2518.24867196039,0.743888698484821,0.471867555765311,0.607878127125066,2.37971195455148,1.72594884016876,2.05283039736012,0.159666241147554,0.132091961062198,13470.7771079893,1942.50883360867
11,36758703.8927273,13116334.9974137,22962.7031078062,14551.7480711069,12871.9356122541,9763.96831163786,41370.7277447269,5973.72132430989,1098.00551862219,2201.72269534934,0.685910330473934,0.434669833144917,0.560290081809425,2.16069754059831,1.63899066565804,1.89984410312817,0.151320992333366,0.114002704475299,13790.2425815756,1991.24044143663
13,39188740.4260601,15307658.7131549,24799.7196007565,15841.7337028131,15127.356033024,10840.0433838162,41140.6674844729,5939.2360873416,1170.59223255638,2511.24453236884,0.740783164210014,0.473202512281,0.606992838245507,2.48166560536669,1.77832548976649,2.12999554756659,0.163105438167537,0.132978105532818,13713.5558281576,1979.7453624472
15,35191004.463384,12661909.1188294,22688.8376952495,14596.9327948043,12700.4625108688,9303.99899769634,38130.1027419773,5503.7749718389,1051.17735433263,2073.30545319175,0.677729798994244,0.436019529154928,0.556874664074586,2.07961832095949,1.52346946083576,1.80154389089763,0.142229018691659,0.106354366526142,12710.0342473258,1834.59165727963
17,39617504.3030439,14926098.2248457,24068.564856121,15690.3140438448,13570.9698290488,10534.5264421737,42256.1567116785,6103.91030178855,1183.39967822932,2498.78608823717,0.718943113839374,0.468679512186646,0.59381131301301,2.27192331859815,1.76359070691712,2.01775701275764,0.163853471508972,0.130506390693615,14085.3855705595,2034.63676726285
19,37472436.6336959,14444737.3426613,25779.9004198132,16423.1461692138,14425.5399116335,10870.1958127402,38958.1148595049,5621.24334286223,1119.32516282651,2440.2068463434,0.770061779465673,0.490569666970858,0.630315723218265,2.43696374807758,1.83634534945825,2.13665454876791,0.153883055559917,0.126858769355506,12986.0382865016,1873.74778095408
21,38017170.7889934,13623312.2436606,24076.6901703815,15127.6295149475,12087.2200630642,9358.82334269449,41998.795501999,6067.11314103808,1135.59671338074,2285.74210663016,0.719185822067732,0.451871772725114,0.585528797396423,2.02801399219982,1.57023902853467,1.79912651036725,0.157310237055899,0.119446627132151,13999.5985006663,2022.37104701269
23,38954902.2392145,15111329.7786813,26462.788052977,16995.8111177753,15681.4076426209,11548.7771209796,40590.4513935182,5858.16608352409,1163.60733939011,2498.29375939224,0.790460060972032,0.507675527821583,0.649067794396807,2.59254237885241,1.90931163785859,2.2509270083555,0.160889911807176,0.133631991948058,13530.1504645061,1952.72202784136
25,36769339.4233345,13297458.6343963,21478.613642938,14087.2546512807,11947.2623945122,9396.14031884287,38814.6767590475,5610.46278304407,1098.32320858575,2186.77839642264,0.64157964821403,0.420795123638803,0.531187385926416,1.96473747495873,1.54520327710229,1.75497037603051,0.148590201938643,0.112790191258374,12938.2255863492,1870.15426101469
27,39533909.1225424,14595800.6649923,25021.4193421226,15943.3817216203,14613.1318867469,10447.5221136868,41853.2271481486,6045.91538244681,1180.90263780623,2418.70079916086,0.747405474403742,0.476238802296366,0.611822138350054,2.42157279233686,1.73128084341636,2.07642681787661,0.163991213141536,0.131363160487109,13951.0757160495,2015.30512748227
29,38039184.2785156,14881444.0642245,22670.1591577075,15043.4039871271,13116.9176859576,10360.9607395481,39343.818075789,5677.4229074376,1136.25427010663,2503.66074595601,0.677171859373721,0.44935590343262,0.563263881403171,2.20679604590374,1.74313262758951,1.97496433674662,0.157739061475116,0.131675563091424,13114.606025263,1892.4743024792
31,37722821.621246,13281538.0300682,24396.642613832,15673.2552517868,12884.8622373356,9961.23162378586,42967.3028993068,6193.76879804504,1126.8043192982,2198.70184271585,0.728743002038782,0.468169955378677,0.598456478708729,2.13303386100563,1.64903931136241,1.89103658618402,0.156088355561167,0.114624668610374,14322.4342997689,2064.58959934835
33,39043066.2554082,15360400.6148503,25596.6352905182,16138.7168004744,16042.5643994605,11075.6646910248,41211.7087007416,5953.78832852319,1166.24085379821,2521.89644616723,0.764587535217992,0.482073583500518,0.623330559359255,2.63389524536842,1.81842128493909,2.22615826515376,0.162195160725015,0.134744257129844,13737.2362335805,1984.59610950773
