"admin_name","pop_size","pfpr_u5","pfpr_all","mortality_pp_u5","mortality_pp_all","node_id.x","lon.x","lat.x","cluster_id.x","seasonality_archetype.x","deaths_u5","deaths_all","cases_pp_u5","cases_pp_all","node_id.y","lon.y","lat.y","cluster_id.y","seasonality_archetype.y","clinical_cases_u5","clinical_cases_all","mortality_rate_u5","mortality_rate_all","incidence_u5","incidence_all","frac_u5","pop_size_u5"
"Bubanza",201303.876182995,0.105826628312097,0.160480524327323,0.000841147898346076,0.00159778135805805,1,29.42838636,-3.04668647,1,"Gitega",169.326332380245,321.639580670015,1.15353531360613,3.60624502879098,1,29.42838636,-3.04668647,1,"Gitega",232211.12994288,725951.10276128,1.55377376987324,0.532478178642395,2122.50554448509,1202.11965199247,0.180451934838203,36325.6739476514
"Bugarama",195016.1571555,0.0159576677535669,0.0496445768692583,0.00025330956005123,0.000663126535182289,2,29.4303905,-3.72944816,1,"Gitega",49.3994569719413,129.320388599092,0.0982744382919392,0.919418822141607,2,29.4303905,-3.72944816,1,"Gitega",19165.1033023093,179301.525510492,0.470769799308705,0.220934812775681,182.664299352907,306.464093277992,0.177670530842081,34648.6241646004
"Buhiga",277009.19890515,0.0732107574740306,0.15178061289201,0.000769072605588553,0.0014787751936494,3,30.1393365,-3.0502219,1,"Gitega",213.040186373982,409.634331753628,0.906663923967426,3.34225736954724,3,30.1393365,-3.0502219,1,"Gitega",251154.247254416,925836.036473114,1.44593645252364,0.492984770822493,1701.76315390467,1114.1025538617,0.17790289364403,49280.7380512408
"Busoni",218791.205835172,0.331747060444444,0.262561385888889,0.00245741500660736,0.00322686672824079,5,30.25180248,-2.47173859,1,"Gitega",537.660792533072,706.010062541198,3.06441917357195,5.30735780752668,5,30.25180248,-2.47173859,1,"Gitega",670467.966170229,1161203.21450748,4.57330442772174,1.07559415090091,5675.8649905745,1769.2203713946,0.180574151142715,39508.0362711772
"Butezi",125726.232208091,0.228047443466667,0.220482782833333,0.00182796838141703,0.00266176622554276,6,30.17161805,-3.44652457,1,"Gitega",229.823577191086,334.653838556243,2.15289764173463,4.5339270803766,6,30.17161805,-3.44652457,1,"Gitega",270675.70882498,570033.568921981,3.41865832773144,0.887374057540174,3990.3332845341,1511.3210189931,0.179948156114218,22624.203661034
"Cankuzo",179215.356633093,0.130169507111111,0.192873726277778,0.00132330429093123,0.00224431966319912,8,30.52891483,-3.14505865,1,"Gitega",237.156450433342,402.216548838894,1.61141611117192,4.63779706117761,8,30.52891483,-3.14505865,1,"Gitega",288790.513047988,831164.454310856,2.47412938653263,0.747947548189954,3010.94527980531,1545.8806988047,0.178555073819438,31999.8112331987
"Cibitoke",305498.934537512,0.123068515842222,0.171487945911111,0.00102673123712395,0.00179127880834211,9,29.19244319,-2.90271457,1,"Gitega",313.66529899775,547.23376740814,1.22001884747089,3.67980745463811,9,29.19244319,-2.90271457,1,"Gitega",372714.45801804,1124177.25669514,1.87337968372981,0.597021971696242,2240.21592327774,1226.66528303301,0.181271885302878,55378.3678216354
"Gahombo",256161.000799576,0.0663410926804444,0.134619920988889,0.000609610226736186,0.00126845258117222,11,29.74184956,-3.01315344,1,"Gitega",156.158365778398,324.92808265988,0.767453932698089,2.86402865260816,11,29.74184956,-3.01315344,1,"Gitega",196591.767467513,733652.445970768,1.12078925898078,0.422924261470146,1401.18974627599,954.734877932179,0.18195627909305,46610.1025542425
"Gihofi",293350.813541338,0.189941999777778,0.2119455269,0.00142600820890035,0.00215875721030398,13,30.11562611,-3.91875872,1,"Gitega",418.320668197545,633.273183880903,1.78954560443818,4.53770321467245,13,30.11562611,-3.91875872,1,"Gitega",524964.658931266,1331138.92963331,2.65370934593962,0.719758553115768,3290.67540537885,1512.49690237955,0.181933142796125,53370.2354493757
"Gitega",313416.21747821,0.0848334958782222,0.139090719321111,0.000722134923314385,0.00132555745883435,14,29.93208819,-3.40581734,1,"Gitega",226.328796174112,415.451204797891,0.839535298930348,3.08202738854572,14,29.93208819,-3.40581734,1,"Gitega",263123.977830188,965957.366282247,1.35011360973172,0.441801916694544,1563.21268435183,1027.36290748297,0.179928427319017,56392.4871071293
