"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
1,35089928.1699199,13469624.0900229,22150.5419182791,14163.2475696336,12349.0796041774,9414.17304748872,39956.9452596974,5766.46146578232,1048.15814211151,2241.98260817871,0.661650566834989,0.423065079727874,0.542357823281431,2.05547100012151,1.56696371790274,1.81121735901212,0.146238464879834,0.116619500413413,13318.9817532325,1922.15382192744
3,33943452.351704,14012793.1923093,22798.5941476375,14759.2690374339,13137.8488655812,10003.9088318607,37098.2874822437,5346.573018305,1013.91219102897,2332.95714583247,0.681008293001492,0.440868614443676,0.560938453722584,2.18728971242126,1.66552737025729,1.92640854133927,0.141675020156831,0.122956185328864,12366.0958274146,1782.19100610167
5,34052618.8339581,12898672.1693451,21116.7102342483,13434.9251528257,12788.4010502205,9241.03317515044,36546.0157206535,5286.24031848997,1017.17306225864,2102.95238005265,0.630769366624423,0.401309632764207,0.516039499694315,2.08497417971004,1.50662428308036,1.7957992313952,0.138499861207803,0.10805908754434,12182.0052402178,1762.08010616332
7,35336285.1954971,14223581.1839632,22825.9314879847,14982.4255028646,13016.2819844284,10010.4817952381,38617.4727338184,5580.36945714599,1055.51698083511,2359.21258066522,0.681824876487493,0.44753443789801,0.564679657192752,2.15896234668189,1.66040143367504,1.90968189017847,0.144708710800624,0.118709449724004,12872.4909112728,1860.123152382
9,35499933.9076697,14505517.6403812,22704.1330245293,14327.878843951,13090.6929693797,9736.74465501963,38364.3366387252,5542.15861796297,1060.40527041151,2426.3378296114,0.67818668006403,0.427982719051224,0.553084699557627,2.18968011724119,1.62866520722937,1.90917266223528,0.149820177782452,0.12827740589341,12788.1122129084,1847.38620598766
11,33036873.8397187,12765769.5109357,21395.2341519176,13938.5562998911,11976.2511155272,9321.32566028729,38331.9569463883,5542.09186746739,986.832122805426,2110.80129946073,0.639089050570886,0.416353410707022,0.527721230638954,1.98025558864019,1.541267551445,1.76076157004259,0.137571617869111,0.110201665384827,12777.3189821294,1847.36395582246
13,36393052.9420776,15065345.8487794,24452.7742064664,16349.0136764125,14908.23575842,11424.8422620813,38497.2636693829,5565.01753599813,1087.08329560599,2500.95424999551,0.730419687883352,0.488355282958773,0.609387485421062,2.47487286081629,1.89660483719964,2.18573884900797,0.150897243192978,0.130706721530585,12832.4212231276,1855.00584533271
15,33036868.1656566,12672530.9468673,20771.6971828086,13599.6300579022,11930.2033146588,9229.02154795306,35482.912819879,5130.11761304557,986.831953317634,2079.89488063978,0.620463610589526,0.406229471484472,0.513346541036999,1.9580594360501,1.51472462378534,1.73639202991772,0.134891714650545,0.107145055266107,11827.6376066263,1710.03920434852
17,37007461.3319344,14894019.8601439,25415.5994708065,16304.0973203369,14095.5162292109,10790.7635990171,39957.0341073213,5774.62396167443,1105.43605920503,2431.92256481359,0.759179881844474,0.487013603257785,0.62309674255113,2.30154144431113,1.76193544351601,2.03173844391357,0.153081644207798,0.125553666048898,13319.0113691071,1924.87465389147
19,33501850.3849167,13655681.0475643,21943.9953338084,14413.7619377663,11845.2161728218,9431.17137429086,37095.4617920527,5349.72553557221,1000.72126356913,2289.21281598965,0.655480890932835,0.430548100878635,0.543014495905735,1.98570987243643,1.58102391998034,1.78336689620839,0.14111159768105,0.119782823312326,12365.1539306842,1783.24184519074
21,33843319.659142,13264393.6849006,23074.0178492093,14717.766126113,13658.8444885662,9903.61382668873,38599.464629271,5574.38110842543,1010.92116475806,2197.62300748501,0.689235371550499,0.439628896476409,0.564432134013454,2.26297497019425,1.64081450835956,1.9518947392769,0.140957499919386,0.114901670420124,12866.488209757,1858.12703614181
23,34899223.3761282,14433312.3922461,23756.7674715464,15284.712492479,14418.5804994033,10628.8685537227,37543.9186991052,5417.03960398729,1042.46167042355,2393.33025678652,0.709629530586986,0.456563939693637,0.583096735140312,2.39088741595261,1.76247780230251,2.07668260912756,0.144739975355488,0.126104183922998,12514.6395663684,1805.67986799576
25,33626790.3872412,12654054.8842563,22184.8587980517,14597.5327886222,12656.6177157247,9840.8650248386,36533.0978094756,5284.70425210411,1004.45329972713,2099.73958456456,0.662675633537075,0.43603745134623,0.549356542441652,2.10016484577387,1.63293537352354,1.86655010964871,0.137830321967,0.10794552198598,12177.6992698252,1761.5680840347
27,35568984.5140923,14208369.2871461,22574.5523831537,14740.4975639062,13300.5882742211,10159.9921724358,38843.6630902791,5612.75284773474,1062.46785529311,2361.48300197047,0.674316025109703,0.440307898767023,0.557311961938363,2.21060647362225,1.68862790165973,1.94961718764099,0.148064866586635,0.125956045613217,12947.8876967597,1870.91761591158
29,35192173.7825619,14525786.0964013,23595.084563068,14680.2251299721,13373.0652350574,9742.66080255517,38229.1411895082,5514.66362352943,1051.21228262918,2411.65202537493,0.704799960798717,0.438507523398142,0.57165374209843,2.22027087866778,1.61753088618344,1.91890088242561,0.14737672800548,0.126361147632168,12743.0470631694,1838.22120784314
31,33142218.0485178,12699641.0719956,20630.6105785323,13308.617290789,10659.9627757316,8407.66816214841,38051.3438270709,5492.8027204839,989.978820331917,2122.09247850466,0.616249265313611,0.397536737779487,0.506893001546549,1.78126505302603,1.40490973465399,1.59308739384001,0.137865728672732,0.10934242528673,12683.7812756903,1830.9342401613
33,36162230.6024108,14757836.2176331,25245.2259532467,16209.1462034486,14782.3402348245,10870.7072517823,39690.2499177833,5723.19292129614,1080.18848768471,2443.33939217378,0.75409071811733,0.484177353899077,0.619134036008203,2.44739633043948,1.79977788460163,2.12358710752055,0.15143700482061,0.131021549482556,13230.0833059278,1907.73097376538
35,32941263.9496815,12289549.6855181,21325.0149007254,13198.5927291948,10320.7351123083,8112.30672005135,36141.4540558697,5219.6977637295,983.976195479967,2043.846623054,0.636991557537737,0.394250235182255,0.515620896359996,1.71641761874994,1.34913899363565,1.53277830619279,0.135360301132909,0.105387846215394,12047.1513519566,1739.8992545765
37,35973377.7984537,14221859.7860529,23709.0056074004,15377.3477445843,14264.3692891816,10461.6502256394,40276.3288430012,5819.59338434049,1074.54733609358,2372.40653301469,0.708202853776913,0.459331012720136,0.583766933248525,2.37949771690027,1.74515061425097,2.06232416557562,0.151313544174755,0.126672150812161,13425.4429476671,1939.86446144683
39,33670631.5272845,14074660.1324451,21045.8207636102,13670.0044079562,11075.3390324669,8958.27199751502,35539.7251395005,5124.99198523645,1005.76286205149,2333.82370015625,0.628651853716457,0.408331597417809,0.518491725567133,1.83648404139095,1.48543746729993,1.66096075434544,0.139969795963093,0.121517042351813,11846.5750465002,1708.33066174548
41,34136727.7823473,13259045.6053193,23117.5001754888,14875.104855516,12826.0647300678,9679.3106160786,38649.3083260838,5583.42283862738,1019.68544925047,2199.93808969658,0.690534215882897,0.444328702913591,0.567431459398244,2.1280979929106,1.60598920466591,1.86704359878826,0.142174251039481,0.114776903741611,12883.1027753613,1861.14094620913
43,34714034.155178,14026484.5925888,23409.7192648195,14942.1128935325,13954.1964619596,10420.2170077791,37283.286125162,5381.15610145477,1036.92995235248,2348.18892621067,0.699262983188412,0.446330274997003,0.572796629092708,2.33608709223228,1.74445977713529,2.04027343468378,0.145733528846096,0.125750490271591,12427.7620417207,1793.71870048492
45,34358492.648857,12790779.2366806,21847.5135335677,13784.2941906909,12999.0152715765,9389.59481886431,37296.7038632279,5387.60760658068,1026.30970477305,2122.43230266883,0.652598919103249,0.411745504843138,0.532172211973194,2.15698585713681,1.55805826867677,1.85752206290679,0.141077130671365,0.110229019462235,12432.234621076,1795.86920219356
47,34867507.8963057,13780755.2228129,24195.2333025862,15382.9935418752,14030.0191721013,10350.7877669327,38225.9936074419,5529.55630278282,1041.51430916804,2299.29950257979,0.722726779706918,0.459499656222922,0.59111321796492,2.34088883969109,1.72701428760734,2.03395156364921,0.145063823129448,0.120417520288669,12741.9978691473,1843.18543426094
49,34286161.9068503,13997428.8357824,21671.6449547081,14289.4022877938,12141.8655686735,9475.81731201811,37337.0493906532,5383.67261006727,1024.14914018619,2379.93571670062,0.647345614451822,0.426833400209041,0.537089507330432,2.06444053927911,1.61114132676648,1.83779093302279,0.14563505484949,0.12568519825547,12445.6831302177,1794.55753668909
