"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
1,1292618.19048685,479965.305145166,673.505200265795,487.239345289943,260.439816595929,260.439808615142,2000.39118102333,289.446633748011,525.520552945589,1091.69321530517,0.273816992411427,0.198089654035565,0.235953323223496,0.592376944177469,0.592376926024966,0.592376935101218,0.0729035237122297,0.0436232007302904,666.797060341109,96.4822112493372
3,1937071.79171369,789190.788886957,1433.51714154656,869.810635793019,880.677885662468,560.921928527687,2681.960246146,388.389723948525,787.526468812322,1767.21646926738,0.582803743925955,0.353625973736095,0.468214858831025,1.97208138460067,1.25605935095288,1.61407036777678,0.104621988994962,0.0788176199852539,893.986748715332,129.463241316175
5,1943035.88980586,970576.018296605,1444.36194170411,927.214821728164,786.193309748955,617.006245013014,1987.76437915909,285.057646561793,789.951203471239,2025.56014561566,0.58721275303423,0.37696393985482,0.482088346444525,1.64075951286332,1.28767168767239,1.46421560026785,0.107947779638841,0.102666220797251,662.588126386365,95.0192155205975
7,1393737.75122591,469907.770249098,893.839410991696,521.221839632593,494.407963925166,322.039202097817,2204.93141319666,318.820300804112,566.631228831397,995.283739268897,0.363394995495149,0.211905411348011,0.28765020342158,1.04717614437172,0.682092107319654,0.864634125845686,0.0733890666819342,0.0403323740985967,734.977137732221,106.273433601371
9,2408740.65299708,1112182.48049484,1548.1231364433,957.405658686992,792.423145554768,631.632083015109,2923.24540986559,418.666078402198,979.285862740939,2519.57685787302,0.629397398767164,0.38923817941702,0.509317789092092,1.79518294362488,1.43092128042417,1.61305211202452,0.128620193204075,0.109393356377933,974.415136621863,139.555359467399
11,920950.173429214,323015.707143144,687.43287751844,518.053582949795,297.423171854972,297.423168050256,1816.25794686669,262.153127099553,374.417014968335,788.586351250801,0.279479361009459,0.21061734034911,0.245048350679285,0.726106652660747,0.726106643372197,0.726106648016472,0.0514200779766977,0.0315089162145694,605.419315622229,87.3843756998511
13,2249920.10155068,988896.754919442,1211.075235728,805.994685045235,427.143119666944,427.143113688202,2974.57781539726,427.840557053286,914.716553234473,2087.38164642861,0.492368846595589,0.32768127175794,0.410025059176764,0.901621634367351,0.901621621747311,0.901621628057331,0.120915058678272,0.0985628478052112,991.525938465753,142.613519017762
15,1632634.34960752,683784.445272891,824.154850415349,477.275462094923,460.407142338984,295.072068185169,1948.52108114988,280.477117617875,663.755865790931,1598.97389693383,0.335064380101241,0.194038786235105,0.264551583168173,1.07662437724528,0.690001853660284,0.883313115452781,0.0918035295601747,0.0684110116991125,649.507027049961,93.4923725392916
17,1716181.43729792,619536.081902174,1697.82524171389,938.823807166245,966.42194747941,617.546913598323,2990.08083721968,428.078301667598,697.722362659987,1351.32110655886,0.690259557228115,0.381683632407081,0.535971594817598,2.10794240016009,1.34698236795749,1.72746238405879,0.0926353706308126,0.0612433138578316,996.69361240656,142.692767222533
19,1745577.9584344,744123.356049074,1301.11441127214,772.333808495829,868.828062810854,533.398557578339,2181.48223684715,314.067091945831,709.673669051939,1797.20379848454,0.52897473506827,0.313996269808358,0.421485502438314,2.09839011505325,1.28826209524694,1.6933261051501,0.10369206319567,0.0826599178280129,727.160745615717,104.68903064861
21,1206024.06149185,457405.019069106,717.395915872468,531.798776495481,347.669988821827,347.669984700299,1992.93300507033,287.650856546174,490.315265811146,1086.85093492886,0.291660987880893,0.216205519260435,0.253933253570664,0.826106921971973,0.826106912178711,0.826106917075342,0.0687413994461402,0.0479465233357953,664.31100169011,95.8836188487247
23,1657435.28064826,780854.850017308,976.582103068909,623.667267463481,555.650971148062,391.899792067356,2083.57384820302,302.131209680237,673.838811466628,1713.20962367225,0.397034461203307,0.253555125298082,0.325294793250694,1.21910825187625,0.859835211717091,1.03947173179667,0.0913143938558424,0.0832207226868534,694.524616067672,100.710403226746
25,1719903.96925999,725267.466149972,1806.88439496364,1094.29737652115,863.46953494257,687.439639712146,2027.6063310508,293.768521254082,699.235777115592,1585.16543665842,0.734598115157588,0.444892209183368,0.589745162170478,1.88722385365546,1.50248785106166,1.69485585235856,0.10166407359781,0.0757054284970845,675.868777016932,97.9228404180275
27,1394191.07172996,443170.598745049,855.592313335751,600.225575944228,522.219416868408,391.783864240901,2754.70980192072,396.044884815901,566.815528606619,1034.4373654198,0.347845441839908,0.244024785419036,0.295935113629472,1.21895107501748,0.914491776952231,1.06672142598485,0.0794549301051968,0.0442221001263318,918.23660064024,132.0149616053
29,2053369.56674958,997819.723887535,1569.93721952337,1002.20283226421,896.241629601926,735.876343898527,2702.45680810992,388.631107215364,834.807925543317,2246.72762538597,0.638266026090072,0.407450700022066,0.522858363056069,2.01801064865956,1.65692626746592,1.83746845806274,0.116628049910919,0.107668146804238,900.818936036638,129.543702405121
31,1000551.55040734,344862.273573287,703.792808165531,507.801236869739,359.454027564333,359.454026142273,2107.13894502839,304.853760170672,406.779362916586,768.866954043648,0.286130574695825,0.206449196483712,0.246289885589768,0.801399122114696,0.801399118944229,0.801399120529462,0.0568796655841467,0.0311244011691984,702.379648342796,101.617920056891
33,2168412.07053384,893633.200591475,1483.86967737107,1041.7068113309,1104.41556943144,777.788848138189,3043.20855779425,436.664603745547,881.579045310847,2123.38239399047,0.603274825536481,0.423511245259217,0.513393035397849,2.62422722681691,1.84812196467817,2.23617459574754,0.120637264342629,0.0959179015577506,1014.40285259808,145.554867915182
35,1566161.21380924,685790.304731362,1081.98061607697,559.832338483456,519.605378976751,343.525527702939,1885.25078228278,273.822883035328,636.730871606389,1494.91680017192,0.439884767073425,0.227602707622302,0.333743737347864,1.13265936414239,0.748832520827504,0.940745942484949,0.0883173605271486,0.0753264234365487,628.416927427593,91.2742943451093
37,1763998.47242577,674637.059155189,1606.45040857273,868.102995257845,1037.42663006187,577.07750798035,3036.4454061784,437.855841956697,717.162623462086,1518.34270945632,0.653110650311087,0.352931723720986,0.503021187016036,2.33483936136385,1.29877452645487,1.81680694390936,0.0937128471829892,0.0660275753049372,1012.14846872613,145.951947318899
39,1865552.00982771,897481.649215727,655.089056764071,460.556957784322,269.207620140037,269.207618132077,2090.54863844049,301.99218315755,758.449734785308,1970.98939146226,0.266329814846251,0.187241792587335,0.226785803716793,0.591215835845212,0.591215831435464,0.591215833640338,0.105596586220441,0.0959792344373994,696.84954614683,100.664061052517
41,1291756.29780518,501184.066434879,1128.76643546609,632.818894122532,496.679721815016,334.370073499946,1923.05610128711,277.528315727112,525.170146056699,1205.13717133712,0.458905781829622,0.257275766039185,0.358090773934404,1.19430611445113,0.804019583910433,0.999162849180779,0.0692482869228163,0.0487248508189573,641.018700429037,92.5094385757041
43,1723181.90062134,707583.462224381,731.676010775618,509.324025118713,341.024460346244,341.024457336304,2394.73662437742,345.676792364548,700.56843691739,1558.53913256036,0.297466633681679,0.207068293854079,0.252267463767879,0.751148090628149,0.751148083998387,0.751148087313268,0.0953615685997881,0.0696064332676699,798.24554145914,115.225597454849
45,1943247.72524644,861505.24443859,1162.63537565584,651.349521973256,595.151007431767,431.274430144562,2012.43505471466,292.72097787819,790.037326255744,1931.00877067741,0.472675373118985,0.264809487803439,0.368742430461212,1.33399282551919,0.966673984347885,1.15033340493354,0.103772955147342,0.0872113668644158,670.811684904885,97.5736592927302
47,1237689.66113306,469204.57886691,769.945671281576,551.276536587914,546.848049722907,377.869507011347,2354.59277445122,342.104891924075,503.189077703377,1045.624451374,0.313025360379279,0.224124302493759,0.268574831436519,1.21865326497304,0.842083845204286,1.03036855508866,0.0692175104316128,0.0417587848271771,784.864258150406,114.034963974692
49,2043042.14222145,886871.063032269,1326.45197425872,817.34264561904,500.89588878783,500.89587038857,2717.70877599371,389.588208665142,830.609258149906,2047.4151901899,0.539275851213004,0.332294843313284,0.435785347263144,1.15635958163014,1.15635953915393,1.15635956039204,0.116074851088432,0.0862326793181034,905.902925331238,129.862736221714
