"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
1,38766645.9192826,13712463.9214269,26253.3904131726,16479.1510625551,15063.8088476179,10787.8971676972,42627.4615349888,6153.24817325066,1157.98400515058,2315.45590463094,0.784205222260561,0.492242568228149,0.638223895244355,2.54364097818676,1.82162012156432,2.18263054987554,0.168769675340073,0.135474725984813,14209.1538449963,2051.08272441689
3,39046716.3668487,14754619.0096667,27073.8501537438,17260.0966705778,15803.4267524883,11585.2077683394,41238.1161591623,5954.02395717244,1166.34988491413,2439.61859813509,0.808712868819141,0.515569902887584,0.662141385853362,2.61303486009205,1.91556883416526,2.26430184712866,0.171887537661704,0.148367830172912,13746.0387197208,1984.67465239081
5,35515262.4332263,12994740.8272964,25330.7567498282,16234.183002271,14130.5325580272,10631.3177768366,38022.5030997481,5493.53754542677,1060.86314307489,2148.97892076732,0.75664557660561,0.484925218768194,0.620785397686902,2.33680817570678,1.75813262503936,2.04747040037307,0.153779310226634,0.126887389738636,12674.167699916,1831.17918180892
7,40525933.1266347,15052466.7472248,28982.4504419153,18155.0688819735,17524.0654903643,12349.1248489322,41941.4402386063,6066.2780520446,1210.53501641995,2518.5626066724,0.865723955373553,0.542303283639902,0.704013619506727,2.93210785993245,2.06624233701655,2.4991750984745,0.174709204901783,0.144703215594888,13980.4800795354,2022.09268401487
9,39114210.5320031,15123905.2929859,27352.4002435292,17910.6503399655,15810.8491678176,11864.4166445277,41318.863801249,5956.47700892506,1168.36597791977,2526.93091150164,0.817033334543113,0.535002348635185,0.676017841589149,2.64170680292328,1.9823293379056,2.31201807041444,0.172578727964139,0.152102194044373,13772.9546004163,1985.49233630835
11,36659478.5444107,13053450.1864668,23302.0719512608,15245.2220943254,13515.8863938059,10213.1609978797,41392.2003065784,5978.80189083196,1095.04159529244,2201.1839584084,0.696047490479604,0.455384336755739,0.575715913617672,2.27916389067469,1.72223020213326,2.00069704640397,0.160506716182102,0.130397878394838,13797.4001021928,1992.93396361065
13,39256533.7951512,15309657.1793645,28158.7958723821,18190.2615670408,16328.8368512977,12170.7598115716,41496.4559742174,5990.86186365835,1172.61726297108,2492.21965339642,0.841120877271967,0.543354511194925,0.692237694233446,2.65812928670669,1.98124663692994,2.31968796181832,0.173573726192355,0.149707953456474,13832.1519914058,1996.95395455278
15,35330139.7081371,12589107.482757,23692.0529725002,15052.598219175,12602.4055093308,9572.86208551944,38581.8412225559,5571.34588886714,1055.33341127685,2071.49444617265,0.707696467949765,0.449630540905082,0.578663504427423,2.07368259082313,1.57518161404938,1.82443210243626,0.152920264466444,0.121447196238571,12860.613740852,1857.11529628905
17,40015731.6341536,15072394.5414643,28396.6159239256,17967.8238794568,16531.5657730312,12150.8050732855,42866.1214894045,6194.92431920216,1195.29497814253,2474.06440504207,0.848224711231832,0.536710158085265,0.692467434658548,2.71358066736852,1.99449889940975,2.35403978338914,0.175253570156521,0.146893485750486,14288.7071631348,2064.97477306739
19,37833915.8701897,14307241.6268118,26255.1141046614,17095.9933848738,16164.6761672595,11804.2647328923,39827.7383593071,5745.88636319202,1130.12277412683,2412.28638204103,0.784256710005411,0.510668034914959,0.647462372460185,2.72546093827819,1.99026952978837,2.35786523403328,0.165993058536307,0.144300257185087,13275.9127864357,1915.29545439734
21,37873929.1367836,13248778.8562952,25158.2494247931,16575.5403459423,13798.6962739541,10753.4283041224,42209.4484358167,6098.49166982655,1131.31799547268,2251.26801473329,0.751492674712116,0.49512177652135,0.623307225616733,2.34471145631749,1.82725136047504,2.08598140839627,0.167497071423118,0.134117211805896,14069.8161452722,2032.83055660885
23,39139831.463972,14615099.977758,28713.5679100658,17804.0888804374,16883.0650953655,11933.2653913667,41226.4667896804,5946.13166715187,1169.13129121199,2442.48607757002,0.857692265662906,0.531819291066679,0.694755778364793,2.82151004816215,1.99429594205434,2.40790299510824,0.172922611748788,0.148526564691004,13742.1555965601,1982.04388905062
25,36294329.9806319,12890576.973737,23382.0315056739,15525.6603832948,13015.4286693358,10133.2209066827,39430.5046751956,5703.3325205437,1084.13437888688,2124.98613436975,0.698435932473324,0.463761204172499,0.581098568322912,2.14556768960506,1.67044143695641,1.90800456328074,0.157391022111664,0.125783665779881,13143.5015583985,1901.11084018123
27,39283653.7225124,14547590.6368717,29568.6211198253,18623.1972148315,17790.1824049806,12679.3071287055,42001.2390165369,6067.89760656005,1173.42735219496,2402.38816111809,0.883233240822734,0.556286570275947,0.71975990554934,2.93786955246957,2.09385994543853,2.51586474895405,0.173784253760254,0.147960971840155,14000.4130055123,2022.63253552002
29,38763723.286002,14946958.447215,27886.9531549807,17666.1548659753,17028.6930528093,12143.9957434231,41091.8297774938,5927.54430177016,1157.89670426314,2466.81068204036,0.833000764964006,0.527699115623958,0.680349940293982,2.81037523936405,2.0042163446377,2.40729579200087,0.171138787551265,0.147979381458096,13697.2765924979,1975.84810059005
31,38768486.7527569,13708149.5841208,27924.5660037172,17714.4954904098,15255.9789988336,11223.9735188361,43461.0521329012,6257.12369642136,1158.03899199994,2237.82939255639,0.834124284324327,0.529143080366501,0.681633682345414,2.49050960571368,1.8322923664928,2.16140098610324,0.168745415070903,0.13241234613053,14487.0173776337,2085.70789880712
33,39033150.3547572,15061144.5751184,29563.1679360146,18900.9880027448,17753.169012863,12907.5258558953,41709.7285792485,6023.99224514301,1165.94465963237,2485.06008022677,0.883070350805291,0.564584355177213,0.723827352991252,2.92923896927918,2.12971710609372,2.52947803768645,0.173218740542553,0.150674547128853,13903.2428597495,2007.99741504767
35,35677782.385738,12801955.9009508,24584.2779343453,16047.8117971375,15074.3147891531,10806.0056981079,37611.7050332858,5445.36766138585,1065.71771589293,2078.54467511455,0.734347786636556,0.479358194088923,0.606852990362739,2.44748825713949,1.75447921995977,2.10098373854963,0.152269000583727,0.123846232763487,12537.2350110953,1815.12255379528
37,39766830.5320509,14846993.8758206,28359.8597194302,17801.9171924037,17303.9873500568,12240.8960895952,42295.4507507381,6105.55308837852,1187.86014625897,2454.91701323163,0.847126780371772,0.531754421384313,0.689440600878043,2.86117535291646,2.02400461122888,2.44258998207267,0.17599815819258,0.151160057122099,14098.4835835794,2035.18436279284
39,37318226.3147385,14623528.223845,27137.9576932364,17508.6228425509,17071.9578433398,12367.1932573303,38778.3579210012,5594.52038174406,1114.71880396963,2432.97717131584,0.810627801194169,0.522993535373237,0.666810668283703,2.84033258367733,2.05758134478606,2.4489569642317,0.163681262917559,0.145467235805292,12926.1193070004,1864.84012724802
41,38062520.2885248,13407337.8953323,25689.0777885111,16588.6386264066,14246.366873419,10436.0896278336,42238.4864035961,6102.83046168665,1136.95133134816,2257.32975282562,0.767348850558373,0.495513030366321,0.631430940462347,2.39859307374015,1.75707480515315,2.07783393944665,0.167047943613332,0.135899587489921,14079.4954678654,2034.27682056222
43,39195701.7451106,14918527.6027122,26897.3519630685,17607.8450531288,16152.5268371873,12316.2096873433,40811.1088547997,5897.4397606653,1170.80017151844,2444.11430083911,0.803440757268259,0.525957364976761,0.66469906112251,2.64628138170149,2.01777447685229,2.33202792927689,0.170451575364648,0.148230140029804,13603.7029515999,1965.8132535551
45,35645226.0565948,12930888.0073521,24038.9979995439,15984.0854531025,15167.9976725446,11093.4778109398,38101.0956077411,5511.39062854065,1064.74523794132,2150.26791247615,0.718059933306548,0.477454648261077,0.597757290783812,2.52227524306463,1.84472631431557,2.1835007786901,0.153814748941835,0.126582441965221,12700.3652025804,1837.13020951355
47,39465536.7958829,14335146.8655884,26751.0227357787,17339.4032158531,15117.1416024087,11467.2635252401,41767.0336782685,6037.36038666585,1178.86031356617,2392.18841854353,0.799069811557855,0.517938839089178,0.658504325323516,2.52268437860056,1.91360822841071,2.21814630350564,0.173003448852532,0.145625734117851,13922.3445594228,2012.45346222195
49,38163719.0272796,14469244.0205102,27620.7529361932,18153.5218267791,15730.5360123845,12346.4449144082,40502.7309039715,5848.80706319929,1139.97420108684,2411.16114575513,0.825049197625287,0.542257072131844,0.683653134878566,2.62134339438876,2.05741697518054,2.33938018478465,0.169129331592339,0.144335129455792,13500.9103013238,1949.60235439976
