"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
1,23203594.469403,9167675.25799195,18116.777628947,11390.5752583302,9697.82537136351,7254.8464774357,25773.3833950618,3718.85721951661,1148.48412659894,2552.59335727727,0.896707256257434,0.563787429325793,0.730247342791614,2.70020522393586,2.01999660821592,2.36010091607589,0.169445423623761,0.150618252949806,8591.12779835393,1239.6190731722
3,21463624.3893699,8854367.99333126,15945.1585735434,10348.7192394351,10045.2200041212,7221.68310004032,23814.3066044658,3438.81495270653,1062.36264139931,2454.71071839141,0.789220891701305,0.512219768053295,0.6507203298773,2.78485254185138,2.00207885236376,2.39346569710757,0.158429705154887,0.148048092587734,7938.1022014886,1146.27165090218
5,22280132.8746559,8027599.16594953,15875.1398095797,9760.43158812567,8273.59724525754,6089.77906696689,25579.3672074235,3693.27360232187,1102.77651071688,2202.47800752262,0.785755245933254,0.483101907443639,0.634428576688447,2.26997083425304,1.67081143295721,1.97039113360513,0.160288430018159,0.126698683280351,8526.45573580784,1231.09120077396
7,23948385.80905,9417568.82065246,16571.9013261699,10627.6799653518,9806.56477141277,7395.73982296829,25704.9606326437,3712.69400842136,1185.34828712118,2588.05169270562,0.820242124372891,0.526027196298188,0.673134660335539,2.69495206667614,2.03243080376209,2.36369143521912,0.172519196668635,0.145942965464753,8568.32021088124,1237.56466947379
9,22608764.2976095,9307642.33561993,15351.5324721478,10121.6015815014,9072.52719490633,6920.93136821763,24662.8946998568,3552.0613402185,1119.04243767322,2586.59316639425,0.759838799392863,0.500978362099956,0.63040858074641,2.52125468492314,1.92332635232518,2.22229051862416,0.167721299153774,0.154447482634415,8220.96489995226,1184.0204467395
11,22750044.7124724,8883787.16626432,16980.6943967192,10516.2603312362,9641.54003025518,6894.05961063066,25627.4478592481,3696.42045941282,1126.0352470883,2454.28700615461,0.840475728834842,0.52051237481904,0.680494051826941,2.66362824465608,1.90459323319664,2.28411073892636,0.164762733874696,0.141137404641381,8542.48261974937,1232.14015313761
13,22981688.1071021,9518766.47739723,16211.2576331795,10287.249425584,9935.05890759015,7044.42724287865,24543.8752175944,3542.93008372303,1137.50065871297,2591.41483690992,0.802391719458095,0.50917726075702,0.655784490107557,2.70474741867425,1.91779400388439,2.31127071127932,0.166752311295124,0.14928883034299,8181.29173919815,1180.97669457434
15,21831487.5233376,7774452.92780653,15514.5999684553,9889.29845970688,9129.71590881842,6660.86326020157,25014.9626838793,3612.5229989946,1080.57037945816,2093.87559773665,0.767909981266013,0.489480296647546,0.62869513895678,2.45888547184715,1.79395504351348,2.12642025768031,0.156677150948917,0.123089671503067,8338.32089462645,1204.1743329982
17,24463593.8633526,9795067.21683203,16938.5637963423,10742.4211641603,10213.0068208039,7422.35006348159,26329.0509158568,3802.92169656078,1210.84900310045,2695.94507388405,0.838390434427515,0.531706421802332,0.685048428114923,2.81097667005042,2.04289032911384,2.42693349958213,0.177840921502488,0.15670050908997,8776.3503052856,1267.64056552026
19,21415845.5922266,8665747.73335294,16597.2250411139,10659.5836410357,10757.6990463418,7416.36805555393,23523.7970901182,3384.96400527899,1059.99778408466,2415.38986482658,0.821495545892476,0.527606299275161,0.674550922583819,2.99847607441659,2.06715228580483,2.53281418011071,0.158077603708355,0.144165747278756,7841.26569670606,1128.321335093
21,23488783.3892461,9089888.9222238,18501.6336917489,11603.6569163606,11708.8396836076,8112.70634564728,26159.4047163804,3779.62951138926,1162.59982526596,2514.70887653637,0.915756075600322,0.574334110023908,0.745045092812115,3.23923904221986,2.24437227282873,2.74180565752429,0.171995308834908,0.147259598394296,8719.80157212679,1259.87650379642
23,22288889.1741146,9251315.4794957,16130.4439079463,10214.2050183207,10869.4421753144,7523.91317946071,23824.0523050462,3435.48255147051,1103.20991214308,2559.62594977964,0.798391766745425,0.505561857876686,0.651976812311055,3.00732434357332,2.08169351274642,2.54450892815987,0.162055300120342,0.147714598664866,7941.35076834874,1145.16085049017
25,23035871.4309305,8405978.75623459,14676.0242811248,9822.26369497689,8267.60901616985,6558.60598952288,25475.2514879209,3679.02202903596,1140.18251420848,2262.42053804938,0.726403874653054,0.486162346778865,0.60628311071596,2.22517912323676,1.76521084836967,1.99519498580321,0.164156401184672,0.133811537333244,8491.75049597363,1226.34067634532
27,23528955.4824893,9259060.73058308,17802.4617702502,11688.1175845194,11414.6163801257,8284.89751656667,25639.8950101347,3703.86109253757,1164.58818148736,2536.31080733393,0.881149891861688,0.57851457166877,0.729832231765229,3.12677664926178,2.26946077149219,2.69811871037698,0.17371370748117,0.155511475682385,8546.63167004492,1234.62036417919
29,23438902.6033099,9614926.28991189,18169.5270266548,11260.8571924173,11399.3634527039,7783.19087160184,25400.1371063939,3656.78847597454,1160.13092800327,2674.49942355301,0.899318138206561,0.557366909443388,0.728342523824975,3.17086060400856,2.16498170363955,2.66792115382406,0.170054746541272,0.154288341543249,8466.71236879795,1218.92949199151
31,22189800.9163279,8659688.78697873,15256.7680457841,9866.2315913492,8987.7741402965,6619.87475438389,25566.7301987542,3687.77607392606,1098.3054439431,2348.73110187055,0.7551483433694,0.488338579910768,0.621743461640084,2.43771631743214,1.79548088950824,2.11659860347019,0.1634315299139,0.138285981865869,8522.24339958475,1229.25869130869
33,22912120.1001372,9630584.12051113,16748.4545761737,10671.7487694339,9744.36122845985,7332.94977396065,24685.8540884782,3560.16910194742,1134.05732359419,2627.00729880234,0.828980796538368,0.52820842395381,0.678594610246089,2.65804314141352,2.00026419341667,2.3291536674151,0.168177380715536,0.158631167563022,8228.61802949274,1186.72303398247
35,21584897.5949966,7770362.05232588,14028.7283397617,9121.88229164781,8236.44156188294,6171.09434228608,24449.4128345601,3532.71326173139,1068.36517483557,2127.39541463392,0.69436534222448,0.45149629857891,0.572930820401695,2.25500020380712,1.68954261315572,1.97227140848142,0.154562960779616,0.123442449811182,8149.80427818669,1177.5710872438
37,24023403.763067,9574069.82178415,17346.0427216175,10913.6210452583,10307.1552801088,7529.27634464509,26083.8502525423,3766.90457506822,1189.06137258784,2633.58580780099,0.858558994010785,0.54018012384776,0.699369558929272,2.83523917934379,2.07111455142635,2.45317686538507,0.176411633704168,0.15812523931886,8694.61675084743,1255.63485835607
39,21664829.8374682,8921961.61266273,16085.4950406451,10099.1982920367,9237.84862879122,6703.93307552815,23702.2690720582,3414.82674312936,1072.3214977149,2455.28526364998,0.796166979518077,0.499869489835888,0.648018234676983,2.54221600481994,1.84489339939309,2.19355470210651,0.157877799864833,0.14486331806611,7900.75635735274,1138.27558104312
41,23528918.907543,8935787.24315627,17266.562685786,10753.5816128646,10033.5255031181,7346.81528645951,26303.181087491,3797.19155050837,1164.58637117537,2466.17026268964,0.854625053532111,0.532258818897513,0.693441936214812,2.76913287574962,2.02763303242439,2.39838295408701,0.172642090670838,0.147090946711862,8767.72702916365,1265.73051683612
43,22788095.4071829,9445331.3794909,15937.5753867918,10657.203437744,9754.96302594104,7635.35193289198,24173.1666571196,3490.27333451743,1127.918602658,2585.00651953546,0.788845554611837,0.527488488834103,0.65816702172297,2.66974677824846,2.08964976796159,2.37969827310503,0.164554382667779,0.152752084532664,8057.72221903986,1163.42444483914
45,21795407.3989298,7702683.74401596,15060.0456849963,9480.33871076261,8217.1149959722,6089.64532107927,25095.4415916237,3626.79924659579,1078.78455915249,2153.99647117432,0.745411381752966,0.469238442278831,0.607324912015899,2.29785322788413,1.70292263946294,2.00038793367354,0.15905984463427,0.126380600235074,8365.1471972079,1208.9330821986
47,23511510.7769021,9280937.01158371,17093.2227239708,11058.5301827669,10369.6418112641,7615.77685231823,25448.3051413874,3676.37867181341,1163.72473908034,2543.36341026863,0.846045426142374,0.547352540364831,0.696698983253602,2.84171388378601,2.08704015152579,2.4643770176559,0.171976667803687,0.15033966135267,8482.76838046245,1225.45955727114
49,22477576.1465659,9061905.73094031,16161.8256680989,10180.9034380111,9314.90223212237,6940.71449878502,24545.7822667959,3538.78322627607,1112.5491545196,2506.01484009643,0.799945037013419,0.503913564271717,0.651929300642568,2.57597948167177,1.91941232355138,2.24769590261157,0.166580468908527,0.149107764257452,8181.92742226529,1179.59440875869
