"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
1,23947104.0913418,9328884.68746986,16784.9598336269,10480.2283762464,9772.60968452027,7088.82915920181,26084.115175229,3764.05944294609,1185.28484727592,2582.61224245451,0.830787659211202,0.518728938704834,0.674758298958018,2.70545325164875,1.9624743562125,2.33396380393063,0.174888070062084,0.151614390881733,8694.70505840966,1254.68648098203
3,22637658.4362599,9116488.35279369,16841.9744627116,10619.2095584507,10071.3273096271,7315.31875066952,24694.6504123572,3562.65120375664,1120.47258073297,2497.61584461209,0.833609652871456,0.525607945397873,0.679608799134665,2.75921009179929,2.00415503349611,2.3816825626477,0.166314691376703,0.151398860853416,8231.55013745239,1187.55040125221
5,22796498.0237719,8237052.1136314,15774.7320186853,10113.7060138289,8339.44559025694,6512.1566474462,25631.2026920215,3701.11598796955,1128.3344982119,2244.67016161626,0.780785466178608,0.500587563417694,0.640686514798151,2.27257329717433,1.77462076391418,2.02359703054426,0.163859847307733,0.129408175103614,8543.73423067382,1233.70532932318
7,25234150.6528428,9805545.98202312,17583.2675523251,11195.9267776235,10600.9987814481,7701.38481675191,26351.9560376438,3809.6217659124,1248.98844923409,2702.21018923928,0.870300664158574,0.554153116389796,0.712226890274185,2.92142089546673,2.12234592150533,2.52188340848603,0.180471322533343,0.152178546755703,8783.98534588125,1269.8739219708
9,23604777.276287,9790138.17023573,15831.3344612914,10671.5920402293,9861.25146352615,7530.19665995318,25211.1159766105,3633.57770639415,1168.34105377367,2697.75717194617,0.783587058274418,0.528200666491751,0.655893862383085,2.71735305442087,2.07501076004371,2.39618190723229,0.173142870636183,0.161426888292129,8403.70532553683,1211.19256879805
11,22437666.2758036,8607762.48915555,14400.8954629607,9557.19666934874,8578.54844671243,6493.52456056069,25694.4465245557,3704.13596686542,1110.57377725098,2402.84485030478,0.712786110351576,0.473042600533509,0.592914355442542,2.39468979124855,1.81265829189968,2.10367404157412,0.165082534225559,0.141957217265282,8564.81550818524,1234.71198895514
13,23788680.4169249,9707941.28546723,17037.2082141995,11017.283450239,9650.76082512391,7341.98793972989,25252.5996920169,3644.39226056272,1177.44351581388,2626.31850353888,0.84327293434519,0.545310993843028,0.694291964094109,2.61084930192089,1.98625004126649,2.29854967159369,0.1732909867235,0.152265179308712,8417.53323067229,1214.79742018757
15,22272461.5626089,7946267.17398761,13931.0400142763,8852.15238369363,7487.39986950368,5668.247230494,25360.0486793613,3661.12031613161,1102.39681178153,2137.28486033651,0.689530165014247,0.438145758507937,0.563837961761092,2.01386462775392,1.52457232120724,1.76921847448058,0.160329492339554,0.125806875603964,8453.34955978711,1220.37343871054
17,24990856.8138119,9898045.85514742,17602.6897432462,11416.7698933867,11331.0061812503,8301.80618761419,26736.6301767371,3861.12453969247,1236.94638770803,2697.23560789027,0.871261984095709,0.565083957870287,0.718172970982998,3.08771991891706,2.26225737754003,2.67498864822854,0.181299121959168,0.156453053180422,8912.21005891237,1287.04151323082
19,22211411.7463603,9058693.46859921,13762.0686782341,9434.25755204149,8725.22091997285,6800.8060965526,23880.5813016383,3439.64184345103,1099.37509266876,2511.94681899597,0.681166766940269,0.466957611203444,0.574062189071857,2.4194759443993,1.88584184905479,2.15265889672705,0.161757621893063,0.147565584426982,7960.19376721275,1146.54728115034
