"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
1,34683675.5444709,13155280.5007887,23864.4881856186,15685.0034367631,13232.5562166834,10425.7783956509,40064.4514280314,5782.08923849085,1036.02312162767,2192.14029236115,0.712847215815123,0.468520881025441,0.590684048420282,2.20501719076127,1.73730760807148,1.97116239941637,0.154035588088064,0.130003183306756,13354.8171426771,1927.36307949695
3,33673918.85033,13784674.1978964,25000.6770592033,15693.0357208928,14158.7085245486,10441.5703581021,37424.6572771238,5405.32330205498,1005.86105645072,2294.42658997928,0.746785889415635,0.468760810385497,0.607773349900566,2.35668372368555,1.73797482093737,2.04732927231146,0.150286245780133,0.13885689300735,12474.8857590413,1801.77443401833
5,33506114.3486518,12613667.5734887,21535.9154843191,14060.8915932466,11478.2756347272,9049.14592284451,36391.9554502599,5262.86222907351,1000.84863083773,2059.13320620191,0.643291290121953,0.420007642575987,0.53164946634897,1.87378479508066,1.47723861826352,1.67551170667209,0.146074746029578,0.121428187101397,12130.6518167533,1754.28740969117
7,35255229.5373643,13937598.175878,24358.3793552601,16033.8899399714,14849.8469012456,11308.4286405248,39224.6115088479,5668.62853617499,1053.09579753645,2325.9958380875,0.727600054529127,0.478942339491807,0.603271197010467,2.47823776038498,1.8872231514533,2.18273045591914,0.154226103293724,0.133582421465689,13074.8705029493,1889.54284539166
9,34468097.1897942,14159060.543475,24804.2219915789,16154.1746666425,15118.4144966824,11257.5310743237,37465.7334087847,5415.07781998078,1029.58366109007,2381.78968222717,0.740917653445119,0.482535319649003,0.611726486547061,2.54316898704314,1.89370412520288,2.21843655612301,0.155127351762222,0.143497717839292,12488.5778029282,1805.02593999359
11,32670389.2623599,12503442.4107163,22871.9191835832,14953.5849094553,12864.3297637441,9983.53406794199,38170.115655695,5515.67702729422,975.884998837065,2079.50495799698,0.68319855777134,0.446672951301089,0.564935754536215,2.13952579188,1.66040742306483,1.89996660747242,0.144830723086641,0.123811909310343,12723.3718852317,1838.55900909807
13,35714748.2037599,14714249.7924768,24876.1272478937,15929.0546177351,15157.0740421066,10970.6281106223,38701.3249345235,5588.34183671394,1066.82190804037,2449.65630052597,0.743065508507745,0.475810842725817,0.609438175616781,2.52337852411402,1.82641104038166,2.17489478224784,0.157886497652206,0.144506777835214,12900.4416448412,1862.78061223798
15,33322229.7395221,12710588.9847673,21203.3871878836,13869.2793012091,11933.3061082319,9273.2844879468,36162.9208141571,5228.76241627303,995.35588233922,2072.05306022256,0.633358461542095,0.414284063346778,0.523821262444436,1.94534206634855,1.51171102492512,1.72852654563683,0.144490192604225,0.121237901745483,12054.3069380524,1742.92080542434
17,36652109.8188625,14591854.7891614,25734.0626241503,16814.2792028864,16112.6991137816,11844.8113431062,40122.5966648185,5794.62934454208,1094.82148684301,2399.34841775213,0.768692575786832,0.502253055774262,0.635472815780547,2.64942186466137,1.94765023126217,2.29853604796177,0.161696398261206,0.141743705748678,13374.1988882728,1931.54311484736
19,33249457.9026597,13397851.6486291,26060.6777284931,16479.7099839246,16429.5369755043,11786.7971476169,37142.9302168767,5358.05892965926,993.182141972629,2263.60473696951,0.77844877361362,0.492259263559682,0.635354018586651,2.7758165039671,1.99141254559081,2.38361452477895,0.148778961203646,0.133908621657292,12380.9767389589,1786.01964321975
21,33801896.9699076,12971169.714692,24493.6587400757,15522.3889197054,14330.7201786038,10248.7022603694,38729.2736028397,5598.58709364579,1009.68384307479,2162.01075917875,0.731640934520892,0.463663483505155,0.597652209013024,2.38861813501892,1.7082348810409,2.04842650802991,0.149353137288443,0.127005462749507,12909.7578676132,1866.19569788193
23,33791859.1883192,13991965.1033825,24226.0208159198,15235.2689376644,14513.904190973,10461.3951762889,37144.4639458115,5355.66551706023,1009.38400824898,2301.03618201542,0.723646422021936,0.455087029729533,0.589366725875735,2.38687121065365,1.72041944338348,2.05364532701856,0.149502700445679,0.136435123910754,12381.4879819372,1785.22183902008
25,33603837.0419578,12769597.4957441,23434.5387322936,15203.8328336389,13750.5466495883,10204.1215119906,36585.9835257963,5285.63260774953,1003.76766892073,2090.79418807624,0.700004356233971,0.454148013604137,0.577076184919054,2.25140714320967,1.67074318190564,1.96107516255765,0.145963152002684,0.12244931558292,12195.3278419321,1761.87753591651
27,35210161.4282067,13723975.0318778,24978.0438537584,16398.5506063284,14448.0281936082,11034.4750561122,39141.0003762568,5661.69911869584,1051.74958487582,2273.92019713751,0.74610982138682,0.489834982095662,0.617972401741241,2.39388828979549,1.82829797027621,2.11109313003585,0.157502671228754,0.13957848900497,13047.0001254189,1887.23303956528
29,34412908.409689,14023211.3966681,26606.2644726621,16950.6573112791,14964.9386845932,11302.6020536756,38077.2268200702,5489.63661214813,1027.93513764652,2329.29233098812,0.794745791531686,0.506326755327747,0.650536273429717,2.48571571273699,1.87739195674482,2.1815538347409,0.153899280481953,0.138754249355698,12692.4089400234,1829.87887071604
31,32776215.3714459,12278444.0869059,23897.6726431614,15055.7667424188,13968.6210458364,10230.6925165669,38394.3081515291,5544.17741539889,979.046091027092,2079.41636514887,0.713838456355617,0.449725186679798,0.581781821517707,2.36565634828695,1.73261932010119,2.04913783419407,0.146636297437041,0.122420884122421,12798.1027171764,1848.0591384663
33,35357495.3861154,14219649.6739302,26193.0260255391,16768.118925485,15584.1937555032,11521.5162725722,39476.0859823363,5700.94402713166,1056.15054251938,2361.58401914528,0.782402100177061,0.500874219363822,0.641638159770442,2.58820602252488,1.91348094570241,2.25084348411364,0.158881566845153,0.143091670494307,13158.6953274454,1900.31467571055
