"Run_Number","cases_U1_sum","deaths_1_U1_sum","deaths_2_U1_sum","incidence_U1","death_rate_1_U1","death_rate_2_U1","death_rate_mean_U1","average_PfPR_U1"
1,1496252.84935375,4983.22954864063,3772.36372692965,4479.71280921028,14.9195620579252,11.2942849972356,13.1069235275804,0.238887324174898
3,1679518.38048535,5065.84374401336,3718.96975412425,5079.9494398081,15.3223866964286,11.2485689580053,13.285477827217,0.277756345821878
5,1331902.64156444,3796.31988103169,2899.78243505937,4033.34673499628,11.496241481416,8.78129350573885,10.1387674935774,0.212573235666778
7,1658154.658631,4409.15931201108,3442.07517469674,5094.83130768088,13.5475438231638,10.5760896742375,12.0618167487006,0.246208487569914
9,1681195.90092345,4632.12761195822,3533.64945038933,5072.77196350106,13.9767929890823,10.6622897729704,12.3195413810264,0.263480447866
11,1457248.40149086,3883.62825909653,2974.96637538008,4387.7398928828,11.6935112943898,8.95755221408077,10.3255317542353,0.222303397402193
13,1743272.67733626,4869.31023982089,3576.65933700756,5355.3893647859,14.9586766380265,10.9876117625733,12.9731442002999,0.266437905278812
15,1307478.1689893,3392.65450917457,2690.59851711334,3962.90980536934,10.2829891462214,8.1550877855368,9.21903846587911,0.197842283955089
17,1677731.42152818,5548.52900505581,3872.36426328344,5111.12836893584,16.9033276957839,11.7969721416396,14.3501499187118,0.252984010154872
19,1568892.82856846,5634.39656711255,3939.55710234242,4886.92880997777,17.5505263388745,12.2712875930197,14.9109069659471,0.254451930352069
21,1444298.6005582,4830.01394131674,3299.29894491669,4512.8949289201,15.0919937289681,10.3090797649125,12.7005367469403,0.236091348849887
23,1701007.73510115,4894.84977717869,3414.9223123036,5245.1190874735,15.0934469413619,10.5300368910066,12.8117419161843,0.26620021253568
25,1367442.48932644,4636.42188276577,3336.53415410763,3960.88932826375,13.4297084521786,9.66449604100138,11.54710224659,0.201941876293075
27,1568192.86675465,4646.5126237533,3583.77203116138,4768.99434264669,14.1303999562082,10.8985246038732,12.5144622800407,0.258727235910469
29,1658966.17381607,5492.90567139175,3796.10139642023,5037.12983742792,16.6781453945498,11.526127483254,14.1021364389019,0.263010105418506
31,1457324.23909062,4682.47730256887,3218.84127839237,4538.85185967842,14.5836254160767,10.0251154345429,12.3043704253098,0.234902059036951
33,1613115.06237487,5023.74224310707,3734.86424815724,5219.85653975304,16.2562574817878,12.0855951478946,14.1709263148412,0.277245932378412
35,1285573.92440142,3788.001853673,2907.59642667854,3903.44480123728,11.5016770814496,8.82846325706159,10.1650701692556,0.202325579333039
37,1613121.64339646,4826.33757926092,3710.87205661473,4989.94509213623,14.9295371587217,11.4790151643258,13.2042761615238,0.265616440088366
39,1618026.8943517,4619.15539725601,3425.85891378271,4939.40762641992,14.1010581940708,10.4582400359649,12.2796491150179,0.253761207028643
41,1427461.31502221,4718.89086780123,3318.80962957766,4428.76283043502,14.6405708205635,10.2967559079068,12.4686633642352,0.242351593415018
43,1642249.47342985,5267.66266068303,3718.17582229436,5212.07064603391,16.7181846431737,11.8005183583341,14.2593515007539,0.281200124089247
45,1273587.89746106,3403.71947420868,2601.65703618674,4071.24800802453,10.8805887342928,8.31665489853804,9.5986218164154,0.209033229219476
47,1511945.50793578,5541.83243502581,3958.85666519915,4623.69144910205,16.9475176900844,12.1066080854281,14.5270628877562,0.247126699468716
49,1609458.55979381,5396.72551496224,3684.05227701919,4947.37691386469,16.5892032825059,11.3245507775797,13.9568770300428,0.261141132881403
