"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
1,4494953.74427983,2084734.73231585,2379.26330612972,1823.72256660033,1610.8511051113,1391.22036142536,4150.10870848349,598.814319065866,1512.38391865551,3936.36612284682,0.800533168337252,0.613614474971067,0.70707382165416,3.04158587700348,2.62688226719667,2.83423407210007,0.223151713010396,0.231362176883083,1383.3695694945,199.604773021955
3,5089315.1467049,2686887.98898189,3671.51431611934,2432.15472393822,2015.74878265851,1787.17232561408,4150.91306283087,598.949211921112,1712.36431401356,5229.74306212067,1.23532733031539,0.818329153408349,1.02682824186187,3.92344163743165,3.47854175872655,3.7009916980791,0.255958876431334,0.302316837615593,1383.63768761029,199.649737307037
5,4876806.30290962,2370882.32644134,3471.63207383824,2528.34524764732,2469.6977876036,2011.65026103451,4150.37419808437,598.870218568312,1640.86303141703,4434.88463605692,1.16807442716028,0.850693669143316,1.0093840481518,4.61972517648609,3.76291844444798,4.19132181046704,0.247031300033197,0.272498155974976,1383.45806602812,199.623406189437
7,5095526.46387919,2715087.18350917,3740.90548770147,2538.88047836121,2724.13014767699,1953.68821618909,4150.57364658585,598.89435851709,1714.45419007069,5044.32236785424,1.25867486578915,0.854238380483513,1.05645662313633,5.06112316404985,3.62972991386542,4.34542653895763,0.248357929349369,0.290250607169491,1383.52454886195,199.63145283903
9,4556289.22400279,2207187.68440835,4552.68385553334,2719.91541653186,3301.76671623386,2164.46315116201,4150.69294200069,598.914576213574,1533.02101493132,4534.85806953434,1.53180794320596,0.915149870296396,1.22347890675118,6.78376539639247,4.44707681933622,5.61542110786435,0.247071198519879,0.285964758227711,1383.56431400023,199.638192071191
11,4674228.62444595,2139608.35383251,4034.19884835506,2498.13789061873,2340.36090930756,1714.29366826216,4150.39886036489,598.871399832866,1572.70321473885,4096.90292957102,1.35735711867449,0.840530022620085,1.09894357064729,4.48130212635457,3.28251417558172,3.88190815096814,0.231143276298765,0.241547052900503,1383.4662867883,199.623799944289
13,4839680.41817057,2588445.49705,4224.05281446331,2722.30093082831,3149.77269506387,2094.02152605013,4150.87317788344,598.944359661565,1628.37155892599,5073.10260753248,1.42123588174307,0.915952506689324,1.1685941942162,6.17324957804759,4.10407948559902,5.1386645318233,0.25518855848125,0.315614255416256,1383.62439262781,199.648119887188
15,4861465.54743722,2398502.40103307,3863.30827472537,2453.04252687398,2620.61388976213,1890.35873596654,4150.66606392659,598.90987333399,1635.70144062069,4626.32145910007,1.29985882834475,0.825357118333749,1.06260797333925,5.05473843553393,3.64619488470494,4.35046666011943,0.244275136412071,0.267087905585754,1383.5553546422,199.636624444663
17,4863280.19629002,2522695.1333278,4062.3757112339,2719.50634028718,2696.20513593209,2082.04635997402,4150.26105343231,598.851629846522,1636.31200213013,4884.63141389331,1.36683757981391,0.91501223143087,1.14092490562239,5.22059448693718,4.03141422867676,4.62600435780697,0.246351279306717,0.284263075352668,1383.4203511441,199.617209948841
19,4845284.20486575,2436335.75948362,4060.5758966133,2617.14778470456,3187.13336029008,2063.10571378036,4150.4521510422,598.876739351648,1630.2570236857,4492.89641754995,1.36623200946911,0.880572403524529,1.12340220649682,5.87745757166748,3.80461528522457,4.84103642844602,0.24222586097948,0.262322221446018,1383.4840503474,199.625579783883
21,4380392.50968262,1976221.34626535,3462.91030236124,2465.84587807628,2351.03786484605,1787.58216376397,4150.36803965186,598.864095216985,1473.83834538312,3763.70980302565,1.16513987706824,0.829664967438514,0.997402422253377,4.47754715124784,3.40444683799549,3.94099699462167,0.224222531982316,0.220685885912585,1383.45601321729,199.621365072328
23,5034863.78674542,2610352.18117571,4574.95726289566,2967.26995171886,3174.04566273617,2292.01701770122,4150.75858304157,598.92691331494,1694.04346671754,5069.01178162226,1.53930211222856,0.998375425553642,1.2688387688911,6.16364143345977,4.45084052266592,5.30724097806285,0.256885928638195,0.31056117615575,1383.58619434719,199.642304438313
25,4731833.79972791,2305287.37495235,3929.19169605771,2532.70034176421,2426.23305060902,1756.2757418461,4150.35759899587,598.859053327569,1592.08520300484,4524.1805293777,1.32202613697519,0.85215899552515,1.08709256625017,4.76153925387496,3.44673232578769,4.10413578983132,0.246037655381093,0.269389437454651,1383.45253299862,199.619684442523
27,4816360.6554963,2362277.84515985,3303.31927326805,2120.75864334943,2500.17386960736,1687.30944724573,4150.45638496468,598.878636997638,1620.52533045249,4746.98187462982,1.11144346111082,0.713556011924044,0.912499736517431,5.02408303357142,3.39063729500675,4.20736016428908,0.249009528058493,0.293510515766139,1383.48546165489,199.626212332546
29,4832075.39760565,2417891.81657187,4673.0811193023,2945.85782732776,3422.11536237487,2240.98633677175,4150.45863046856,598.878383174832,1625.81275377297,4574.45005254207,1.57231712215046,0.991171046057068,1.28174408410376,6.47435741000839,4.23975961030631,5.35705851015735,0.247739458036826,0.28762806327519,1383.48621015619,199.626127724944
31,4633544.92339279,2205383.96744241,2996.58795768477,2030.00511763348,2084.30793294191,1494.93524432793,4150.29342529216,598.849474792237,1559.01467004526,4021.71039784695,1.00823983868722,0.683020842784926,0.845630340736073,3.80091766784199,2.72614506361623,3.26353136572911,0.227774487581061,0.231979203272757,1383.43114176405,199.616491597412
33,5034113.11344641,2763505.22444151,4088.85334999945,2663.03476321107,2512.01325746398,1892.89625281596,4150.853592003,598.939903725875,1693.79089321174,5173.28106199206,1.37574631555428,0.896011656588537,1.13587898607141,4.70248816516629,3.54350129335745,4.12299472926187,0.254809220695743,0.313659418719765,1383.617864001,199.646634575292
