"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
1,23203594.5343835,9167675.29908568,18116.7779010105,11390.5753059846,9697.82541722458,7254.84656021393,25773.3834277347,3718.8572202906,1148.48412981522,2552.59336728593,0.896707269723478,0.563787431684493,0.730247350703985,2.70020523518904,2.01999663013002,2.36010093265953,0.169445423467776,0.150618253338403,8591.1278092449,1239.6190734302
3,21463624.4154209,8854368.01272778,15945.1586883006,10348.7191617706,10045.2200329046,7221.6831103726,23814.3065855738,3438.81495422228,1062.36264268873,2454.71072209079,0.789220897381321,0.512219764209218,0.65072033079527,2.78485254792744,2.00207885385965,2.39346570089354,0.158429705210864,0.148048092707956,7938.10219519125,1146.27165140743
5,22280132.8782845,8027599.1725923,15875.1397941934,9760.43154899923,8273.59723629983,6089.77903172055,25579.367242788,3693.27360050837,1102.77651089648,2202.47800881716,0.785755245171694,0.483101905507039,0.634428575339366,2.2699708312512,1.67081142288636,1.97039112706878,0.160288429741291,0.126698683512259,8526.45574759602,1231.09120016946
7,23948385.8233429,9417568.82851402,16571.9012934475,10627.6800230782,9806.5647408252,7395.73980862441,25704.9606194602,3712.69400122387,1185.34828782862,2588.05169474535,0.820242122753263,0.526027199155411,0.673134660954337,2.69495205814464,2.03243079972543,2.36369142893503,0.172519196719208,0.145942965504494,8568.32020648673,1237.56466707462
9,22608764.3407244,9307642.35821817,15351.5324437061,10121.6015949003,9072.52711528553,6920.93134546937,24662.8947210043,3552.06134143998,1119.04243980723,2586.59316749053,0.759838797985111,0.500978362763151,0.630408580374131,2.5212546577437,1.92332634214892,2.22229049994631,0.167721299278456,0.154447483045014,8220.96490700143,1184.02044714666
11,22750044.6839473,8883787.14360734,16980.6943098349,10516.2602591443,9641.53988897383,6894.05955436962,25627.4477838907,3696.42045453728,1126.03524567642,2454.28700014063,0.840475724534424,0.520512371250782,0.680494047892603,2.66362820589116,1.90459321784404,2.2841107118676,0.164762734046601,0.141137404476351,8542.48259463023,1232.14015151243
13,22981688.2461519,9518766.56430745,16211.2577944345,10287.2494808805,9935.05900540439,7044.42733209549,24543.8753049828,3542.93010068188,1137.50066559537,2591.41484756463,0.802391727439567,0.509177263493971,0.655784495466769,2.7047474317287,1.91779401854788,2.31127072513829,0.166752311375345,0.149288831854642,8181.2917683276,1180.97670022729
15,21831487.5011887,7774452.91513879,15514.5998864705,9889.29843115175,9129.7158403433,6660.86328494805,25014.9627107907,3612.52299517212,1080.57037836188,2093.87559732829,0.767909977208096,0.489480295234183,0.628695136221139,2.45888545693188,1.79395505275161,2.12642025484174,0.156677150882099,0.123089670910742,8338.32090359691,1204.17433172404
17,24463593.8660845,9795067.22063796,16938.5638305277,10742.4211925222,10213.0068176531,7422.35002819049,26329.0509729845,3802.92169413678,1210.84900323567,2695.94507556474,0.838390436119557,0.53170642320613,0.685048429662844,2.81097666984339,2.04289031988028,2.42693349486184,0.177840921341651,0.156700509135858,8776.35032432815,1267.64056471226
19,21415845.5967326,8665747.73538684,16597.2249719544,10659.5836020743,10757.698962462,7416.36803841675,23523.7971887836,3384.96400717174,1059.99778430769,2415.38986662683,0.821495542469358,0.527606297346727,0.674550919908043,2.99847605256798,2.06715228208374,2.53281416732586,0.158077603619453,0.14416574712026,7841.26572959453,1128.32133572391
21,23488783.3861078,9089888.92210084,18501.6336781046,11603.6569141571,11708.8396114554,8112.70630318214,26159.4046995056,3779.62950916784,1162.59982511062,2514.70887626885,0.915756074924987,0.57433410991484,0.745045092419913,3.23923902195827,2.2443722608724,2.74180564141533,0.171995308629162,0.147259598064476,8719.80156650187,1259.87650305595
23,22288889.160146,9251315.46432712,16130.4438658978,10214.2050019827,10869.4421478349,7523.91314680221,23824.0522931008,3435.48254478888,1103.20991145169,2559.62594619344,0.798391764664191,0.505561857068025,0.651976810866108,3.00732433668775,2.08169350420714,2.54450892044744,0.162055300432664,0.147714598641287,7941.35076436692,1145.16084826296
25,23035871.4361648,8405978.76861768,14676.0242932855,9822.26364037141,8267.60898186074,6558.60595234223,25475.2515011913,3679.02202920065,1140.18251446755,2262.42053903505,0.726403875254962,0.486162344076115,0.606283109665538,2.22517911169413,1.76521083653138,1.99519497411275,0.164156401143343,0.133811537559713,8491.7505003971,1226.34067640022
27,23528955.4281678,9259060.70582252,17802.4617785917,11688.1175223513,11414.616472032,8284.89757487064,25639.8949637493,3703.86108217293,1164.58817879867,2536.31080515485,0.881149892274556,0.578514568591699,0.729832230433128,3.12677668011266,2.26946079158241,2.69811873584753,0.173713707476429,0.155511475361755,8546.63165458309,1234.62036072431
29,23438902.5572772,9614926.26083758,18169.5270681422,11260.8572255252,11399.3635508252,7783.19092734425,25400.1371257154,3656.78846919144,1160.13092572484,2674.49941753978,0.899318140260022,0.557366911082097,0.728342525671059,3.17086063376116,2.16498172082391,2.66792117729254,0.17005474667342,0.154288341695831,8466.71237523847,1218.92948973048
31,22189800.9209084,8659688.79571466,15256.7680179018,9866.23155273433,8987.77418421141,6619.87479061578,25566.7302207579,3687.77607643796,1098.30544416982,2348.73110310337,0.755148341989339,0.488338577999488,0.621743459994413,2.43771632816335,1.7954808984664,2.11659861331488,0.163431529938682,0.138285982123616,8522.2434069193,1229.25869214599
33,22912120.0518908,9630584.08775864,16748.4545325884,10671.7487896984,9744.36118529416,7332.94976794688,24685.8540485869,3560.16910009135,1134.05732120619,2627.00729347928,0.828980794381069,0.52820842495682,0.678594609668945,2.65804313329263,2.00026419452581,2.32915366390922,0.1681773809242,0.15863116726011,8228.61801619563,1186.72303336378
35,21584897.6346289,7770362.07175198,14028.7284041699,9121.88232647486,8236.44157372085,6171.09440139331,24449.4128518627,3532.71326910471,1068.36517679721,2127.3954208369,0.694365345412424,0.451496300302708,0.572930822857566,2.25500020798563,1.6895426300407,1.97227141901316,0.154562960597619,0.123442449755503,8149.80428395425,1177.57108970157
37,24023403.7602045,9574069.81441293,17346.0427483053,10913.6210260619,10307.1553112473,7529.27636632349,26083.8502900414,3766.90458028187,1189.06137244615,2633.58580283829,0.858558995331723,0.540180122897617,0.69936955911467,2.83523918474941,2.07111455508133,2.45317686991537,0.176411633951478,0.158125239633344,8694.61676334713,1255.63486009396
39,21664829.8451984,8921961.61943587,16085.4950263535,10099.1982920275,9237.84864355155,6703.93309510525,23702.2690223968,3414.8267453517,1072.32149809751,2455.28526275282,0.7961669788107,0.499869489835432,0.648018234323066,2.54221600602306,1.84489340270594,2.1935547043645,0.157877800037452,0.144863318418319,7900.75634079894,1138.2755817839
41,23528918.9076703,8935787.24259106,17266.5627025548,10753.5816100543,10033.5255264997,7346.81529545903,26303.181177394,3797.19154924519,1164.58637118167,2466.17026256783,0.854625054362097,0.532258818758414,0.693441936560256,2.76913288224104,2.02763303493626,2.39838295858865,0.172642090887997,0.147090946737138,8767.72705913134,1265.73051641506
43,22788095.3092693,9445331.31257717,15937.5752697078,10657.2033441251,9754.96289353221,7635.35186387447,24173.1665281394,3490.27332304952,1127.91859781167,2585.00651148215,0.788845548816653,0.527488484200343,0.658167016508498,2.66974675260673,2.08964975736648,2.37969825498661,0.16455438272979,0.152752083971049,8057.72217604645,1163.42444101651
45,21795407.2608117,7702683.65416281,15060.0455012612,9480.33855828107,8217.1148056975,6089.64522448281,25095.4415138979,3626.79923318858,1078.7845523162,2153.99645267399,0.745411372658821,0.469238434731611,0.607324903695216,2.29785318174424,1.70292261768925,2.00038789971674,0.159059844872647,0.126380599245889,8365.14717129928,1208.93307772953
47,23511510.775587,9280937.01663167,17093.2227228721,11058.5302184209,10369.6417834606,7615.77678707187,25448.3051652379,3676.37867752456,1163.72473901525,2543.36341057548,0.846045426087989,0.547352542129562,0.696698984108775,2.84171387496389,2.08704013276221,2.46437700386305,0.171976667755171,0.150339661473386,8482.76838841263,1225.45955917485
