"year","mean_burden","max_burden","min_burden","scenario"
2012,0.443981283839868,0.487424952405122,0.394897864171682,"to-present"
2013,0.423990129945844,0.46997399306242,0.372026889907722,"to-present"
2014,0.371542172646409,0.40720837548812,0.32963527516625,"to-present"
2015,0.343314960368268,0.381358835878663,0.296128267208505,"to-present"
2016,0.329591936393983,0.367401081447058,0.282408725566412,"to-present"
2017,0.296229935857554,0.33541414148351,0.254629824890542,"to-present"
2018,0.243299652059757,0.293268169688265,0.197794417719662,"to-present"
2019,0.287429428161452,0.336075368442973,0.23859745436073,"to-present"
2020,0.217981145338069,0.272904767087869,0.169221534630077,"to-present"
2021,0.285953867818738,0.339638686822858,0.230641204112646,"BAU"
2022,0.291647948793818,0.33000701206076,0.241501049318016,"BAU"
2023,0.266183127000769,0.311892936385861,0.208039762085915,"BAU"
2024,0.295875223968325,0.340429251871055,0.242245626476354,"BAU"
2025,0.295408481612162,0.343648589801048,0.24549406038807,"BAU"
2026,0.269372015037645,0.317439898589665,0.226370400184048,"BAU"
2027,0.300681939791951,0.34657454717043,0.254776405265366,"BAU"
2028,0.299474770034998,0.345176205572587,0.259522599798642,"BAU"
2029,0.27193450047152,0.314041152353397,0.230833706716093,"BAU"
2030,0.300872274668732,0.346756898947736,0.251497875962701,"BAU"
2021,0.248904199601385,0.293757752662129,0.212502794886253,"GF"
2022,0.257038904302551,0.296085578832464,0.215349469927237,"GF"
2023,0.258016455826868,0.300582943777179,0.215063477338448,"GF"
2024,0.25805562530918,0.297307517827766,0.212392889799344,"GF"
2025,0.26180269833257,0.300732890784161,0.223760670940863,"GF"
2026,0.263387135747763,0.299599035387408,0.226141066839504,"GF"
2027,0.264285239920967,0.295868866324095,0.223632933845659,"GF"
2028,0.263632078419365,0.296365436035507,0.215041666267656,"GF"
2029,0.264541003676054,0.303948981907326,0.224721030261919,"GF"
2030,0.265294331514619,0.30646984955005,0.221223465084824,"GF"
2021,0.247915752827749,0.294888217820207,0.205673789746407,"GF with PBO"
2022,0.251600108756659,0.292993129126114,0.204599686528003,"GF with PBO"
2023,0.253609051842796,0.291497591509595,0.197576906723866,"GF with PBO"
2024,0.253047476007241,0.294537298946169,0.205128407266011,"GF with PBO"
2025,0.255279708955946,0.303370177853091,0.208950815923946,"GF with PBO"
2026,0.254227605365736,0.289805522811239,0.217238805356179,"GF with PBO"
2027,0.254403023648042,0.296762946919395,0.213744728672287,"GF with PBO"
2028,0.258135106206379,0.300053389460688,0.215645277452942,"GF with PBO"
2029,0.259936116413186,0.302090989507596,0.215141460339171,"GF with PBO"
2030,0.259013093906473,0.298494134311266,0.217377436841593,"GF with PBO"
2021,0.238931582006712,0.288931103334265,0.195526619788416,"GF at 80%"
2022,0.245728461581987,0.285069775864391,0.20916420830224,"GF at 80%"
2023,0.246542678996886,0.288718472544737,0.194685793323496,"GF at 80%"
2024,0.250077616189376,0.291305522681356,0.209053379871148,"GF at 80%"
2025,0.251807416201249,0.293196482337636,0.201750327606301,"GF at 80%"
2026,0.252913117118235,0.293324824957784,0.201808260930883,"GF at 80%"
2027,0.254268508526371,0.304100577204113,0.204893272507749,"GF at 80%"
2028,0.253731253943667,0.299412987317175,0.207090347082817,"GF at 80%"
2029,0.253637344899067,0.294945310423354,0.213439368417367,"GF at 80%"
2030,0.256015813851951,0.298932069077261,0.21723295241368,"GF at 80%"
2021,0.236331397569247,0.283196823177659,0.191674333853111,"GF at 80% with PBO"
2022,0.241696713772025,0.285985225221837,0.197757291909067,"GF at 80% with PBO"
2023,0.243337412925206,0.289008713372946,0.203658231062749,"GF at 80% with PBO"
2024,0.243930333164944,0.29116367067401,0.198943807629386,"GF at 80% with PBO"
2025,0.245681804988964,0.293443280268304,0.205143327988071,"GF at 80% with PBO"
2026,0.245827485602421,0.287379065783427,0.21046794917208,"GF at 80% with PBO"
2027,0.245364964918668,0.294560077951472,0.209133772535403,"GF at 80% with PBO"
2028,0.246516172508341,0.284996603980658,0.207370971633773,"GF at 80% with PBO"
2029,0.246360252449231,0.285149420725705,0.199443788821123,"GF at 80% with PBO"
2030,0.248482990810285,0.287346224351068,0.203721563582191,"GF at 80% with PBO"
2020,0.217981145338069,0.272904767087869,0.169221534630077,"BAU"
2020,0.217981145338069,0.272904767087869,0.169221534630077,"GF"
2020,0.217981145338069,0.272904767087869,0.169221534630077,"GF with PBO"
2020,0.217981145338069,0.272904767087869,0.169221534630077,"GF at 80%"
2020,0.217981145338069,0.272904767087869,0.169221534630077,"GF at 80% with PBO"
