"year","mean_burden","max_burden","min_burden","scenario"
2012,0.436812730159628,0.479899984834854,0.384985413719587,"to-present"
2013,0.42015910556407,0.459463000695672,0.367051526556485,"to-present"
2014,0.36773673280338,0.406873916940264,0.323971686397131,"to-present"
2015,0.324855659703493,0.374256953411449,0.283071367944039,"to-present"
2016,0.316839939597765,0.360918056751123,0.273174231518872,"to-present"
2017,0.290290202129176,0.346962020030352,0.242098267807875,"to-present"
2018,0.231452438743258,0.281279771874436,0.181253545555906,"to-present"
2019,0.280399942284596,0.323276936159561,0.230753294954819,"to-present"
2020,0.214820845569248,0.268378267372179,0.165696397372502,"to-present"
2021,0.277318896802925,0.320133082532222,0.223534098213742,"BAU"
2022,0.292206889389313,0.329360487821219,0.244086857628984,"BAU"
2023,0.259304841481158,0.300256579798028,0.214307533432004,"BAU"
2024,0.290579913066952,0.330187997102943,0.2394428831098,"BAU"
2025,0.293573534915842,0.331693040679156,0.249602097306819,"BAU"
2026,0.261906506576542,0.301098204407052,0.22564042755501,"BAU"
2027,0.291579978712274,0.330967739172592,0.243382928129434,"BAU"
2028,0.294499786147596,0.334555965727414,0.248604333425145,"BAU"
2029,0.264520967940146,0.31587803291537,0.212755759663692,"BAU"
2030,0.295765227250445,0.332161730651113,0.245983481569191,"BAU"
2021,0.265967179633083,0.309561864918614,0.214559569459948,"GF"
2022,0.280603549005633,0.32403071659928,0.231279706757673,"GF"
2023,0.283551657968006,0.322040043980128,0.236180797011337,"GF"
2024,0.282620729224873,0.322707767156076,0.224671940466647,"GF"
2025,0.285052824774289,0.323200509014746,0.240114962242457,"GF"
2026,0.285654067845858,0.314900022934103,0.233156346993319,"GF"
2027,0.285426558871355,0.324322981613299,0.236246124867545,"GF"
2028,0.286097329730813,0.321104558159815,0.241521888533475,"GF"
2029,0.287687098547974,0.322488464418329,0.236974593808319,"GF"
2030,0.288028437199692,0.332279283404086,0.235453174398218,"GF"
2021,0.264799979911296,0.308635559053983,0.21525550623835,"GF with PBO"
2022,0.275661207992075,0.31600400771994,0.217085219251314,"GF with PBO"
2023,0.277433589522838,0.315457200122177,0.218957720504962,"GF with PBO"
2024,0.277543029672837,0.315848653597057,0.225769373055043,"GF with PBO"
2025,0.277123282041868,0.315681218986567,0.227899954732757,"GF with PBO"
2026,0.278974431540141,0.32021094852465,0.236562663143787,"GF with PBO"
2027,0.27923643315785,0.31960587442075,0.236697718841697,"GF with PBO"
2028,0.281392801446251,0.314753408091657,0.234659052572763,"GF with PBO"
2029,0.28217165056963,0.319675947213442,0.239013288390304,"GF with PBO"
2030,0.27978509005431,0.307964489152281,0.232150057376487,"GF with PBO"
2021,0.23442069935396,0.278110903436539,0.183464501635709,"GF at 80%"
2022,0.242995164175567,0.277791753450662,0.188056032024756,"GF at 80%"
2023,0.24783091783781,0.287220442051195,0.19651494874953,"GF at 80%"
2024,0.245763897122035,0.285017671695834,0.198987682553476,"GF at 80%"
2025,0.247526893757402,0.286688435671263,0.201307418785613,"GF at 80%"
2026,0.249079315702742,0.291097136986577,0.202172263907199,"GF at 80%"
2027,0.249138280811387,0.292936853609742,0.203971501266586,"GF at 80%"
2028,0.252145598781387,0.291111717851713,0.20692063632678,"GF at 80%"
2029,0.252463019884304,0.294594760228771,0.21695149332774,"GF at 80%"
2030,0.252190074387832,0.289034836540254,0.217352544397972,"GF at 80%"
2021,0.230766489800782,0.27495319845632,0.180656085791833,"GF at 80% with PBO"
2022,0.237711296417681,0.275402864409497,0.191284259825511,"GF at 80% with PBO"
2023,0.238097087032271,0.271227835825931,0.193419813227302,"GF at 80% with PBO"
2024,0.239108644935556,0.27243086568008,0.192693464157158,"GF at 80% with PBO"
2025,0.241947810764519,0.272873736480331,0.204258617024321,"GF at 80% with PBO"
2026,0.242247068894444,0.272522936787498,0.204666033089277,"GF at 80% with PBO"
2027,0.244217772176736,0.284731508119396,0.200546144183139,"GF at 80% with PBO"
2028,0.245072515403934,0.280669430128863,0.205567511500889,"GF at 80% with PBO"
2029,0.244764140995443,0.28780393315151,0.202853154824831,"GF at 80% with PBO"
2030,0.245855454457269,0.283290121427582,0.19971603046701,"GF at 80% with PBO"
2020,0.214820845569248,0.268378267372179,0.165696397372502,"BAU"
2020,0.214820845569248,0.268378267372179,0.165696397372502,"GF"
2020,0.214820845569248,0.268378267372179,0.165696397372502,"GF with PBO"
2020,0.214820845569248,0.268378267372179,0.165696397372502,"GF at 80%"
2020,0.214820845569248,0.268378267372179,0.165696397372502,"GF at 80% with PBO"
