"year","mean_burden","max_burden","min_burden","scenario"
2012,0.180339858334456,0.190378722202219,0.167933511016674,"to-present"
2013,0.191923753446388,0.201242742191591,0.178686658260557,"to-present"
2014,0.170499919280058,0.179723027530843,0.15732648510132,"to-present"
2015,0.118938219630784,0.134200140544225,0.100538126093436,"to-present"
2016,0.158919507251806,0.168606743974191,0.147897718050475,"to-present"
2017,0.171571466014237,0.182868742522908,0.160182546177587,"to-present"
2018,0.105666161980448,0.120052941964822,0.0898950053287751,"to-present"
2019,0.150064775208224,0.161147973810902,0.136593161266566,"to-present"
2020,0.134088619917168,0.148685512291529,0.119479948655236,"to-present"
2021,0.175464420309796,0.186305111701118,0.163782135723885,"BAU"
2022,0.202786302525906,0.215100059744863,0.188492162564255,"BAU"
2023,0.154106774373621,0.16357758411774,0.140928310679655,"BAU"
2024,0.194289042153629,0.201218281576156,0.185782090180512,"BAU"
2025,0.211824526274647,0.221907595587219,0.200246077182263,"BAU"
2026,0.156684766931369,0.166307429292325,0.145938653639568,"BAU"
2027,0.195340549593934,0.204482123441307,0.187047330623765,"BAU"
2028,0.2126317202548,0.222511245805886,0.201861404614287,"BAU"
2029,0.157102034861188,0.16773783442137,0.144434951578923,"BAU"
2030,0.194986955856806,0.203618604274917,0.186484050703315,"BAU"
2021,0.156238632625448,0.165871981573116,0.144083162258802,"GF"
2022,0.17495086448537,0.184475960723997,0.158466867310672,"GF"
2023,0.108460693918637,0.12180777554791,0.0895745406965982,"GF"
2024,0.148795497400218,0.158278573878032,0.133222291274969,"GF"
2025,0.181661665009402,0.192240735493077,0.167468154073145,"GF"
2026,0.115246792794359,0.129217454660868,0.100073637602395,"GF"
2027,0.159215832590672,0.166969080732205,0.147661306596217,"GF"
2028,0.189375971598163,0.198974397091224,0.180004373223178,"GF"
2029,0.119261529937431,0.133621151743081,0.102324546281183,"GF"
2030,0.16483723418744,0.176020726335047,0.153261215114609,"GF"
2021,0.151667037295288,0.161179290042362,0.139942974843033,"GF with PBO"
2022,0.167371647208622,0.17659341534941,0.154624927536817,"GF with PBO"
2023,0.0951423637269507,0.106733264897495,0.0803588365066272,"GF with PBO"
2024,0.132066249680867,0.141551864764736,0.118015901026021,"GF with PBO"
2025,0.165019802890498,0.174604471538695,0.153191355042381,"GF with PBO"
2026,0.101478382019267,0.11471455666601,0.0867102412832675,"GF with PBO"
2027,0.144061249501391,0.153799664612185,0.133790735746269,"GF with PBO"
2028,0.176705836168701,0.184150248161062,0.167232691850163,"GF with PBO"
2029,0.10789343470754,0.122828885637248,0.091798922047123,"GF with PBO"
2030,0.153033574787654,0.162838922373446,0.143386249958555,"GF with PBO"
2021,0.153432182944833,0.160727393659001,0.144727754414967,"GF at 80%"
2022,0.16434080300944,0.175251289107329,0.154561071093597,"GF at 80%"
2023,0.0970173910376399,0.110383609624354,0.084166710647836,"GF at 80%"
2024,0.135444403550593,0.148494963119268,0.112942599511489,"GF at 80%"
2025,0.164164747781182,0.177236904481953,0.144090130228134,"GF at 80%"
2026,0.103385490500898,0.116259091170948,0.0894067573650516,"GF at 80%"
2027,0.148344634905706,0.158958865513349,0.12954068795778,"GF at 80%"
2028,0.175864439346819,0.187880670676076,0.161977184229421,"GF at 80%"
2029,0.109176279445626,0.123190888389605,0.0949943711178802,"GF at 80%"
2030,0.156425122758966,0.167559328501607,0.141327837010128,"GF at 80%"
2021,0.149002743538617,0.157067141090014,0.140665725996116,"GF at 80% with PBO"
2022,0.157363302615192,0.165438299697706,0.145975281665701,"GF at 80% with PBO"
2023,0.0870150269033811,0.0999974052243557,0.0748895548789648,"GF at 80% with PBO"
2024,0.125420131561262,0.138757141813551,0.102930093045885,"GF at 80% with PBO"
2025,0.153298772919017,0.163938229560546,0.135430353713379,"GF at 80% with PBO"
2026,0.0935320271205684,0.105165453366224,0.0796995923410562,"GF at 80% with PBO"
2027,0.138191243509463,0.14848816485075,0.120409641041583,"GF at 80% with PBO"
2028,0.164675440266325,0.174298116630467,0.151135119018424,"GF at 80% with PBO"
2029,0.0998610775885814,0.113216627425335,0.085622543265037,"GF at 80% with PBO"
2030,0.147370304333176,0.157587168183898,0.130413668570441,"GF at 80% with PBO"
2020,0.134088619917168,0.148685512291529,0.119479948655236,"BAU"
2020,0.134088619917168,0.148685512291529,0.119479948655236,"GF"
2020,0.134088619917168,0.148685512291529,0.119479948655236,"GF with PBO"
2020,0.134088619917168,0.148685512291529,0.119479948655236,"GF at 80%"
2020,0.134088619917168,0.148685512291529,0.119479948655236,"GF at 80% with PBO"
